prospect_AgencyID,prospect_NumberCreditCards,prospect_MiddleInitial,prospect_Phone,prospect_OwnOrRentFlag,prospect_NumberCars,prospect_AddressLine2,prospect_LastName,prospect_City,prospect_NetWorth,prospect_State,prospect_Income,prospect_NumberChildren,prospect_MaritalStatus,prospect_Age,prospect_CreditRating,prospect_Employer
PEL0,,,1-712-522-6088,O,,,PELLAND,Fairbanks,1058868.0,MA,368776.0,3.0,W,20.0,760.0,Brink's
LED1,6.0,,1-626-426-4298,U,5.0,APT. 624,LEDUC,Quebec,1988185.0,PA,177967.0,1.0,U,3.0,555.0,
lat2,6.0,,1-524-787-8784,O,2.0,,latif,Henderson,3673128.0,Alberta,321772.0,1.0,S,,566.0,
RUD3,3.0,,1-741-997-1688,O,2.0,,RUDDICK,Salem,2005895.0,AR,25449.0,1.0,W,77.0,,Air Products & Chemicals
JAY4,4.0,M,1-002-194-1991,O,0.0,Apt. 619,JAYAMANNE,Toledo,624736.0,OR,166567.0,3.0,M,21.0,815.0,Oshkosh
tod5,10.0,Z,1-441-371-7651,R,1.0,,todo,Corpus Christi,3064615.0,VA,43631.0,4.0,M,77.0,333.0,
Kan6,1.0,R,1-957-940-5980,O,4.0,,Kanno,Salt Lake City,3489129.0,OH,466230.0,0.0,,23.0,528.0,VeraSun Energy
Din7,7.0,Z,1-768-633-4096,U,2.0,,Dinkel,Brownsville,3430744.0,Prince Edward Island,420243.0,2.0,M,9.0,680.0,IDT
Thi8,10.0,,1-107-689-2155,O,3.0,,Thibodeaux,Escondido,1743614.0,NV,141862.0,,U,63.0,761.0,Adams Resources & Energy
May9,,,1-173-594-6096,O,0.0,,Mayo,Los Angeles,216299.0,Ontario,402011.0,2.0,M,32.0,416.0,MGIC Investment
mah10,9.0,U,1-561-520-0611,O,2.0,,mahendra,West Covina,1528641.0,TX,79928.0,2.0,M,96.0,493.0,Iasis Healthcare
Siz11,0.0,,1-730-406-9727,R,1.0,,Sizto,San Buenaventura,3752907.0,NE,109496.0,0.0,M,46.0,564.0,AMR
cra12,0.0,,,U,1.0,,crawley,Lexington,582378.0,AR,267901.0,4.0,U,6.0,817.0,Embarq
dac13,8.0,,1-207-867-4589,R,3.0,,dacal,Hay River,3458824.0,MI,487273.0,5.0,U,39.0,653.0,Advanced Micro Devices
HIV14,2.0,W,1-478-629-9641,O,3.0,,HIVELY,Toronto,469408.0,MA,34013.0,4.0,M,73.0,587.0,Cenveo
Pes15,6.0,,1-026-208-8595,O,0.0,Apt. 290,Peschke,Denver,1504480.0,TN,473462.0,2.0,S,26.0,472.0,Kelly Services
CHI16,4.0,,1-432-681-4853,O,5.0,,CHILDERHOSE,St. Paul,2763009.0,TN,499493.0,4.0,M,54.0,817.0,Viacom
