AgencyID,AddressLine1,Employer,FirstName,Gender,NumberCreditCards,Income,OwnOrRentFlag,PostalCode,CreditRating,City,Country,Phone,LastName,MiddleInitial,NumberChildren,MaritalStatus,Age,NetWorth
PEL0,21847 olympia street,Brink's,Netti,f,,368776.0,O,T6b 1i1,760.0,Fairbanks,United States of America,1-712-522-6088,PELLAND,,3.0,W,20.0,1058868.0
LED1,245 congress court,,TRUDY,F,6.0,177967.0,U,77281,555.0,Quebec,United States of America,1-626-426-4298,LEDUC,,1.0,U,3.0,1988185.0
lat2,6517 frailing west,,ireland,,6.0,321772.0,O,91355,566.0,Henderson,United States of America,1-524-787-8784,latif,,1.0,S,,3673128.0
RUD3,11449 blalock park,Air Products & Chemicals,Misti,,3.0,25449.0,O,36615,,Salem,Canada,1-741-997-1688,RUDDICK,,1.0,W,77.0,2005895.0
JAY4,18354 dodd court,Oshkosh,sarena,f,4.0,166567.0,O,t6a 1i3,815.0,Toledo,Canada,1-002-194-1991,JAYAMANNE,M,3.0,M,21.0,624736.0
tod5,14117 roxboro street,,Paulette,M,10.0,43631.0,R,A2b 1v3,333.0,Corpus Christi,United States of America,1-441-371-7651,todo,Z,4.0,M,77.0,3064615.0
Kan6,24697 FLORENCE WEST,VeraSun Energy,AMALITA,m,1.0,466230.0,O,49513,528.0,Salt Lake City,Canada,1-957-940-5980,Kanno,R,0.0,,23.0,3489129.0
Din7,6488 applewood drive,IDT,Ernesto,,7.0,420243.0,U,M5d 1v6,680.0,Brownsville,United States of America,1-768-633-4096,Dinkel,Z,2.0,M,9.0,3430744.0
Thi8,17404 gale court,Adams Resources & Energy,Toby,,10.0,141862.0,O,V6c 1q1,761.0,Escondido,United States of America,1-107-689-2155,Thibodeaux,,,U,63.0,1743614.0
May9,15913 alexis street,MGIC Investment,evangelia,,,402011.0,O,99716,416.0,Los Angeles,United States of America,1-173-594-6096,Mayo,,2.0,M,32.0,216299.0
mah10,18313 5th lane,Iasis Healthcare,umakanth,,9.0,79928.0,O,A2b 1w1,493.0,West Covina,Canada,1-561-520-0611,mahendra,U,2.0,M,96.0,1528641.0
Siz11,13653 collier avenue,AMR,terrie,,0.0,109496.0,R,M5F 1W1,564.0,San Buenaventura,United States of America,1-730-406-9727,Sizto,,0.0,M,46.0,3752907.0
cra12,15306 pike park,Embarq,Mary-pat,,0.0,267901.0,U,95118,817.0,Lexington,United States of America,,crawley,,4.0,U,6.0,582378.0
dac13,1540 crestmere north,Advanced Micro Devices,Catherin,m,8.0,487273.0,R,H2f 1v7,653.0,Hay River,United States of America,1-207-867-4589,dacal,,5.0,U,39.0,3458824.0
HIV14,10790 bonita crescent,Cenveo,annissa,,2.0,34013.0,O,19217,587.0,Toronto,United States of America,1-478-629-9641,HIVELY,W,4.0,M,73.0,469408.0
Pes15,24679 AIRPORT CRESCENT,Kelly Services,Amour,,6.0,473462.0,O,21228,472.0,Denver,United States of America,1-026-208-8595,Peschke,,2.0,S,26.0,1504480.0
CHI16,7627 douglas road,Viacom,jenica,,4.0,499493.0,O,85097,817.0,St. Paul,Canada,1-432-681-4853,CHILDERHOSE,,4.0,M,54.0,2763009.0
Din17,6106 ashland east,Macy's,KATTIE,,0.0,266928.0,R,V6j 1q8,441.0,Bellevue,United States of America,,Dinnin,,4.0,M,87.0,2787199.0
De 18,1111 norden street,Gardner Denver,Roselle,,6.0,72444.0,O,43207,848.0,Detroit,United States of America,1-357-207-6320,De witte,M,3.0,M,85.0,2789368.0
Mck19,2798 1st east,Family Dollar Stores,arlyne,m,8.0,77290.0,R,V6t 1q8,843.0,Omaha,United States of America,1-462-774-1277,Mckeegan,,3.0,U,86.0,2784776.0
WIN20,11358 elle lee street,,Rong-chin,M,,395066.0,R,94467,,Costa Mesa,United States of America,1-702-382-2898,WINTERS,P,0.0,U,59.0,288747.0
BIT21,21074 MALLORY LOWER,Sun Microsystems,Darlleen,,0.0,119283.0,O,94321,300.0,Berkeley,United States of America,1-909-554-7120,BITTMAN,,3.0,U,94.0,876575.0
