indirizzo_id,nome,cognome,negozio_id,attivo,email,cliente_id,data_creazione
5,MARY,SMITH,1,1,MARY.SMITH@sakilacustomer.org,1,2006-02-14 22:04:36
6,PATRICIA,JOHNSON,1,1,PATRICIA.JOHNSON@sakilacustomer.org,2,2006-02-14 22:04:36
7,LINDA,WILLIAMS,1,1,LINDA.WILLIAMS@sakilacustomer.org,3,2006-02-14 22:04:36
8,BARBARA,JONES,2,1,BARBARA.JONES@sakilacustomer.org,4,2006-02-14 22:04:36
9,ELIZABETH,BROWN,1,1,ELIZABETH.BROWN@sakilacustomer.org,5,2006-02-14 22:04:36
10,JENNIFER,DAVIS,2,1,JENNIFER.DAVIS@sakilacustomer.org,6,2006-02-14 22:04:36
11,MARIA,MILLER,1,1,MARIA.MILLER@sakilacustomer.org,7,2006-02-14 22:04:36
12,SUSAN,WILSON,2,1,SUSAN.WILSON@sakilacustomer.org,8,2006-02-14 22:04:36
13,MARGARET,MOORE,2,1,MARGARET.MOORE@sakilacustomer.org,9,2006-02-14 22:04:36
14,DOROTHY,TAYLOR,1,1,DOROTHY.TAYLOR@sakilacustomer.org,10,2006-02-14 22:04:36
15,LISA,ANDERSON,2,1,LISA.ANDERSON@sakilacustomer.org,11,2006-02-14 22:04:36
16,NANCY,THOMAS,1,1,NANCY.THOMAS@sakilacustomer.org,12,2006-02-14 22:04:36
17,KAREN,JACKSON,2,1,KAREN.JACKSON@sakilacustomer.org,13,2006-02-14 22:04:36
18,BETTY,WHITE,2,1,BETTY.WHITE@sakilacustomer.org,14,2006-02-14 22:04:36
19,HELEN,HARRIS,1,1,HELEN.HARRIS@sakilacustomer.org,15,2006-02-14 22:04:36
20,SANDRA,MARTIN,2,0,SANDRA.MARTIN@sakilacustomer.org,16,2006-02-14 22:04:36
21,DONNA,THOMPSON,1,1,DONNA.THOMPSON@sakilacustomer.org,17,2006-02-14 22:04:36
22,CAROL,GARCIA,2,1,CAROL.GARCIA@sakilacustomer.org,18,2006-02-14 22:04:36
23,RUTH,MARTINEZ,1,1,RUTH.MARTINEZ@sakilacustomer.org,19,2006-02-14 22:04:36
24,SHARON,ROBINSON,2,1,SHARON.ROBINSON@sakilacustomer.org,20,2006-02-14 22:04:36
25,MICHELLE,CLARK,1,1,MICHELLE.CLARK@sakilacustomer.org,21,2006-02-14 22:04:36
26,LAURA,RODRIGUEZ,1,1,LAURA.RODRIGUEZ@sakilacustomer.org,22,2006-02-14 22:04:36
27,SARAH,LEWIS,2,1,SARAH.LEWIS@sakilacustomer.org,23,2006-02-14 22:04:36
28,KIMBERLY,LEE,2,1,KIMBERLY.LEE@sakilacustomer.org,24,2006-02-14 22:04:36
29,DEBORAH,WALKER,1,1,DEBORAH.WALKER@sakilacustomer.org,25,2006-02-14 22:04:36
30,JESSICA,HALL,2,1,JESSICA.HALL@sakilacustomer.org,26,2006-02-14 22:04:36
31,SHIRLEY,ALLEN,2,1,SHIRLEY.ALLEN@sakilacustomer.org,27,2006-02-14 22:04:36
32,CYNTHIA,YOUNG,1,1,CYNTHIA.YOUNG@sakilacustomer.org,28,2006-02-14 22:04:36
33,ANGELA,HERNANDEZ,2,1,ANGELA.HERNANDEZ@sakilacustomer.org,29,2006-02-14 22:04:36
34,MELISSA,KING,1,1,MELISSA.KING@sakilacustomer.org,30,2006-02-14 22:04:36
35,BRENDA,WRIGHT,2,1,BRENDA.WRIGHT@sakilacustomer.org,31,2006-02-14 22:04:36
36,AMY,LOPEZ,1,1,AMY.LOPEZ@sakilacustomer.org,32,2006-02-14 22:04:36
37,ANNA,HILL,2,1,ANNA.HILL@sakilacustomer.org,33,2006-02-14 22:04:36
38,REBECCA,SCOTT,2,1,REBECCA.SCOTT@sakilacustomer.org,34,2006-02-14 22:04:36
39,VIRGINIA,GREEN,2,1,VIRGINIA.GREEN@sakilacustomer.org,35,2006-02-14 22:04:36
40,KATHLEEN,ADAMS,2,1,KATHLEEN.ADAMS@sakilacustomer.org,36,2006-02-14 22:04:36
41,PAMELA,BAKER,1,1,PAMELA.BAKER@sakilacustomer.org,37,2006-02-14 22:04:36
42,MARTHA,GONZALEZ,1,1,MARTHA.GONZALEZ@sakilacustomer.org,38,2006-02-14 22:04:36
43,DEBRA,NELSON,1,1,DEBRA.NELSON@sakilacustomer.org,39,2006-02-14 22:04:36
44,AMANDA,CARTER,2,1,AMANDA.CARTER@sakilacustomer.org,40,2006-02-14 22:04:36
45,STEPHANIE,MITCHELL,1,1,STEPHANIE.MITCHELL@sakilacustomer.org,41,2006-02-14 22:04:36
46,CAROLYN,PEREZ,2,1,CAROLYN.PEREZ@sakilacustomer.org,42,2006-02-14 22:04:36
47,CHRISTINE,ROBERTS,2,1,CHRISTINE.ROBERTS@sakilacustomer.org,43,2006-02-14 22:04:36
48,MARIE,TURNER,1,1,MARIE.TURNER@sakilacustomer.org,44,2006-02-14 22:04:36
49,JANET,PHILLIPS,1,1,JANET.PHILLIPS@sakilacustomer.org,45,2006-02-14 22:04:36
50,CATHERINE,CAMPBELL,2,1,CATHERINE.CAMPBELL@sakilacustomer.org,46,2006-02-14 22:04:36
51,FRANCES,PARKER,1,1,FRANCES.PARKER@sakilacustomer.org,47,2006-02-14 22:04:36
52,ANN,EVANS,1,1,ANN.EVANS@sakilacustomer.org,48,2006-02-14 22:04:36
53,JOYCE,EDWARDS,2,1,JOYCE.EDWARDS@sakilacustomer.org,49,2006-02-14 22:04:36
54,DIANE,COLLINS,1,1,DIANE.COLLINS@sakilacustomer.org,50,2006-02-14 22:04:36
55,ALICE,STEWART,1,1,ALICE.STEWART@sakilacustomer.org,51,2006-02-14 22:04:36
56,JULIE,SANCHEZ,1,1,JULIE.SANCHEZ@sakilacustomer.org,52,2006-02-14 22:04:36
57,HEATHER,MORRIS,1,1,HEATHER.MORRIS@sakilacustomer.org,53,2006-02-14 22:04:36
58,TERESA,ROGERS,1,1,TERESA.ROGERS@sakilacustomer.org,54,2006-02-14 22:04:36
59,DORIS,REED,2,1,DORIS.REED@sakilacustomer.org,55,2006-02-14 22:04:36
60,GLORIA,COOK,1,1,GLORIA.COOK@sakilacustomer.org,56,2006-02-14 22:04:36
61,EVELYN,MORGAN,2,1,EVELYN.MORGAN@sakilacustomer.org,57,2006-02-14 22:04:36
62,JEAN,BELL,1,1,JEAN.BELL@sakilacustomer.org,58,2006-02-14 22:04:36
63,CHERYL,MURPHY,1,1,CHERYL.MURPHY@sakilacustomer.org,59,2006-02-14 22:04:36
64,MILDRED,BAILEY,1,1,MILDRED.BAILEY@sakilacustomer.org,60,2006-02-14 22:04:36
65,KATHERINE,RIVERA,2,1,KATHERINE.RIVERA@sakilacustomer.org,61,2006-02-14 22:04:36
66,JOAN,COOPER,1,1,JOAN.COOPER@sakilacustomer.org,62,2006-02-14 22:04:36
67,ASHLEY,RICHARDSON,1,1,ASHLEY.RICHARDSON@sakilacustomer.org,63,2006-02-14 22:04:36
68,JUDITH,COX,2,0,JUDITH.COX@sakilacustomer.org,64,2006-02-14 22:04:36
69,ROSE,HOWARD,2,1,ROSE.HOWARD@sakilacustomer.org,65,2006-02-14 22:04:36
70,JANICE,WARD,2,1,JANICE.WARD@sakilacustomer.org,66,2006-02-14 22:04:36
71,KELLY,TORRES,1,1,KELLY.TORRES@sakilacustomer.org,67,2006-02-14 22:04:36
72,NICOLE,PETERSON,1,1,NICOLE.PETERSON@sakilacustomer.org,68,2006-02-14 22:04:36
73,JUDY,GRAY,2,1,JUDY.GRAY@sakilacustomer.org,69,2006-02-14 22:04:36
74,CHRISTINA,RAMIREZ,2,1,CHRISTINA.RAMIREZ@sakilacustomer.org,70,2006-02-14 22:04:36
75,KATHY,JAMES,1,1,KATHY.JAMES@sakilacustomer.org,71,2006-02-14 22:04:36
