indirizzo2,città_id,indirizzo_id,distretto,codice_postale,indirizzo,telefono
,300,3,Alberta,,23 Workhaven Lane,14033335568
,576,4,QLD,,1411 Lillydale Drive,6172235589
,463,5,Nagasaki,35200.0,1913 Hanoi Way,28303384290
,449,6,California,17886.0,1121 Loja Avenue,838635286649
,38,7,Attika,83579.0,692 Joliet Street,448477190408
,349,8,Mandalay,53561.0,1566 Inegöl Manor,705814003527
,361,9,Nantou,42399.0,53 Idfu Parkway,10655648674
,295,10,Texas,18743.0,1795 Santiago de Compostela Way,860452626434
,280,11,Central Serbia,93896.0,900 Santiago de Compostela Parkway,716571220373
,200,12,Hamilton,77948.0,478 Joliet Way,657282285970
,329,13,Masqat,45844.0,613 Korolev Drive,380657522649
,162,14,Esfahan,53628.0,1531 Salé Drive,648856936185
,440,15,Kanagawa,1027.0,1542 Tarlac Parkway,635297277345
,582,16,Haryana,10672.0,808 Bhopal Manor,465887807014
,384,17,Osmaniye,29610.0,270 Amroha Parkway,695479687538
,120,18,California,16266.0,770 Bydgoszcz Avenue,517338314235
,76,19,Madhya Pradesh,72878.0,419 Iligan Lane,990911107354
,495,20,England,54308.0,360 Toulouse Parkway,949312333307
,156,21,Kalmykia,81766.0,270 Toulon Boulevard,407752414682
,252,22,Kaduna,43331.0,320 Brest Avenue,747791594069
,267,23,Northern Cape,72192.0,1417 Lancaster Avenue,272572357893
,327,24,Nothwest Border Prov,21954.0,1688 Okara Way,144453869132
,525,25,Dhaka,34418.0,262 A Coruña (La Coruña) Parkway,892775750063
,443,26,Rabat-Sal-Zammour-Z,37551.0,28 Charlotte Amalie Street,161968374323
,303,27,Liepaja,7716.0,1780 Hino Boulevard,902731229323
,128,28,Córdoba,99865.0,96 Tafuna Way,934730187245
,472,29,Sind,99780.0,934 San Felipe de Puerto Plata Street,196495945706
,121,30,,58327.0,18 Duisburg Boulevard,998009777982
,138,31,Southern Mindanao,49521.0,217 Botshabelo Place,665356572025
,346,32,Bihar,65599.0,1425 Shikarpur Manor,678220867005
,474,33,Yamaguchi,65750.0,786 Aurora Avenue,18461860151
,316,34,Taipei,50199.0,1668 Anápolis Street,525255540978
,257,35,West Bengali,30348.0,33 Gorontalo Way,745994947458
