prospect_AgeID,prospect_Em,prospect_AddLi2,prospect_Ag,prospect_In,prospect_LaN,prospect_OwOReFl,prospect_Ph,prospect_MidIn,prospect_MariSt,prospect_Co,prospect_NuCa,prospect_AdLi1,prospect_NuCh,prospect_CreRat,prospect_Ci,prospect_St,prospect_NuCreCa,prospect_NWor
Iok7501,FM Global,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,7.0,94490.0,Iokwiqojocjanndatkdzgymym,U,1-637-119-9996,n,U,United States of America,3.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,580.0,Baltimore,MO,,321776.0
tia7502,MGIC Investment,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,48.0,7037.0,tiabxgseasiibxakctfzhfwotp,R,1-560-405-0048,,S,Canada,4.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,683.0,Kitchener,TX,2.0,2292324.0
AOI7503,Ross Stores,Cdrxeolwrrxmwmhgexvcstvzz,14.0,419269.0,AOIWIWTIHIXOJ,O,1-261-306-5079,u,M,,1.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,5.0,411.0,Saint John,CT,2.0,969707.0
PJQ7504,,WKSBVOFGJHQGAEKUYRZHHPH,29.0,76681.0,PJQSPMBUHYQKBOZ,U,1-642-299-6655,,W,United States of America,4.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,5.0,818.0,Berkeley,UT,9.0,3899461.0
SDV7505,Alliance One International,skxijfqpzshmts,69.0,209116.0,SDVLJWXENNGWCQMIW,R,,,U,United States of America,2.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,4.0,370.0,Missoula,RI,7.0,3749223.0
Hga7506,Sally Beauty Holdings,ZETOHHRKIBHCQCKZODIXJJSXCFY,47.0,212203.0,Hgakmykzeunwkiaxayulpwyxrcuev,O,1-388-257-4273,F,U,,0.0,Ajpkrmtlcbdzr,0.0,833.0,Salinas,DE,6.0,3658531.0
Beo7507,Wisconsin Energy,LJXAXKUJXQBGWBHJJAAM,0.0,42018.0,Beotomyndkiqryllkvpavllytov,U,,D,M,Canada,5.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,536.0,San Jose,NM,2.0,1738460.0
Qum7508,Carpenter Technology,Jmlgjkjbqhrudrkqrm,46.0,90446.0,Qumxrssnd,R,1-632-118-1891,,S,United States of America,0.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,775.0,Cleveland,WV,0.0,3307296.0
Hud7509,Liberty Mutual Insurance Group,Qqcilgblxyikgr,6.0,16274.0,Hudlpfwjagzbnznyhamjkhbf,R,1-853-806-4986,v,M,United States of America,1.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,765.0,Huntington,NH,3.0,1816419.0
jba7510,Black & Decker,Ahtohqjfzfarn,22.0,22215.0,jbabemsfwdyeihxq,O,1-220-687-2027,,M,Canada,5.0,Ycltsquohmuugxihqyluhkoy,2.0,555.0,Paterson,WY,6.0,2599250.0
