gncd,pstlcd,ddrssln2,nmbrcrs,frstnm,wnrrntflg,ncm,mrtlstts,lstnm,mddlntl,ddrssln1,stt,phn,mplr,nmbrcrdtcrds,nmbrchldrn,g,crdtrtng,ntwrth
Iok7501,Guudshirvcu,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,3.0,wbwsqgtaa,U,94490.0,U,Iokwiqojocjanndatkdzgymym,n,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,MO,1-637-119-9996,FM Global,,,7.0,580.0,321776.0
tia7502,wyggjewbe,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,4.0,QGJWCPAPZMWHYHZTNOYSSOQBI,R,7037.0,S,tiabxgseasiibxakctfzhfwotp,,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,TX,1-560-405-0048,MGIC Investment,2.0,4.0,48.0,683.0,2292324.0
AOI7503,YMZRQICUTHT,Cdrxeolwrrxmwmhgexvcstvzz,1.0,BHGXDDPUMBESLQMNEPREPTZNNKM,O,419269.0,M,AOIWIWTIHIXOJ,u,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,CT,1-261-306-5079,Ross Stores,2.0,5.0,14.0,411.0,969707.0
PJQ7504,Bcjuycmcen,WKSBVOFGJHQGAEKUYRZHHPH,4.0,Xgnvppcxgfnmawlupgfa,U,76681.0,W,PJQSPMBUHYQKBOZ,,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,UT,1-642-299-6655,,9.0,5.0,29.0,818.0,3899461.0
SDV7505,Nujxguyehf,skxijfqpzshmts,2.0,Tfiozpstcftslqtwkgngiiwo,R,209116.0,U,SDVLJWXENNGWCQMIW,,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,RI,,Alliance One International,7.0,4.0,69.0,370.0,3749223.0
Hga7506,Neigswk,ZETOHHRKIBHCQCKZODIXJJSXCFY,0.0,fbcahlrhhjoslfzqvvwwvhk,O,212203.0,U,Hgakmykzeunwkiaxayulpwyxrcuev,F,Ajpkrmtlcbdzr,DE,1-388-257-4273,Sally Beauty Holdings,6.0,0.0,47.0,833.0,3658531.0
Beo7507,WNCEOQPLW,LJXAXKUJXQBGWBHJJAAM,5.0,Dcgkohfcwyoaxckalqnkrzwq,U,42018.0,M,Beotomyndkiqryllkvpavllytov,D,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,NM,,Wisconsin Energy,2.0,5.0,0.0,536.0,1738460.0
Qum7508,Cskdwtkf,Jmlgjkjbqhrudrkqrm,0.0,Vmnmcsinflxxmmifydckncc,R,90446.0,S,Qumxrssnd,,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,WV,1-632-118-1891,Carpenter Technology,0.0,0.0,46.0,775.0,3307296.0
Hud7509,tcxswloetdt,Qqcilgblxyikgr,1.0,Vrkbkkxkddtximspigmlbwzt,R,16274.0,M,Hudlpfwjagzbnznyhamjkhbf,v,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,NH,1-853-806-4986,Liberty Mutual Insurance Group,3.0,1.0,6.0,765.0,1816419.0
jba7510,Fkpemasoukih,Ahtohqjfzfarn,5.0,RMWCTFTLSVTMCBI,O,22215.0,M,jbabemsfwdyeihxq,,Ycltsquohmuugxihqyluhkoy,WY,1-220-687-2027,Black & Decker,6.0,2.0,22.0,555.0,2599250.0
dgc7511,NCEVKLQEEWTA,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,5.0,Zaijioc,O,210038.0,M,dgcnbxfhc,,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Saskatchewan,,Interstate Bakeries,3.0,1.0,72.0,,490443.0
lql7512,DODDIDDHXS,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,4.0,Mdwdjpdfmbqjaygkfqzqx,O,307402.0,M,lqlslgqsvyfxqnzuwbfg,,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,NE,1-268-630-3843,eBay,9.0,5.0,40.0,318.0,3348923.0
Wsk7513,Oqnzttrldq,ucxdpiwilpxxhv,4.0,Ccbccgvldfvoqtzestvkwunn,R,,D,Wskjvrujdwku,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,AR,1-915-548-9541,Boise,4.0,1.0,8.0,613.0,331799.0
Ffs7514,Lwbawk,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0,nyakrhdyxravdnhgbtol,R,432425.0,U,Ffshsiomkzjonhxjhunfsao,v,,IL,1-536-880-0961,MDU Resources Group,4.0,1.0,10.0,786.0,1167013.0
Kvv7515,Ppsrzjdtg,,0.0,NDNBTVCLKSC,O,122041.0,U,Kvvverfkpazpzzkrqniixrhnw,F,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,VA,1-494-335-6022,Freescale Semiconductor,10.0,3.0,24.0,,3960216.0
mpz7516,,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,1.0,Zmstbluqkipzaojfsomtbdddguq,O,302205.0,M,mpzqnwnrmaozfsstcqtrc,G,,ID,1-814-158-3550,Superior Energy Services,5.0,4.0,18.0,623.0,242246.0
Jhc7517,,Havgczldcpfmwfzj,1.0,dpqgvuaoijmkxsesvililpxcrwqe,O,367555.0,S,Jhcbaxyzijphmmvpampdgvgisnab,s,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,TX,1-420-580-0795,Monsanto,1.0,1.0,79.0,845.0,1217660.0
dbq7518,Rxdsunq,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,4.0,IHUGYGSRDWILVOFBAKUR,U,106025.0,M,dbqcukoddoiwg,l,rpikmvtgwsrsoehxgmxwypaueiaheabrf,New Brunswick,1-924-305-1666,Newfield Exploration,7.0,5.0,36.0,645.0,1229655.0
Xch7519,JXHVEEOU,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,2.0,aefotdcronamhkzsfpvifmobgchmsp,O,106690.0,W,Xchoxlbkffuvox,,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Alberta,1-450-082-2122,Loews,1.0,2.0,21.0,495.0,1157831.0
oir7520,XHJQCDPOO,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,2.0,jdeyqkerjerjpht,O,29373.0,M,oirfujtvl,Z,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,PA,1-573-009-1404,Apache,8.0,2.0,4.0,371.0,
Fqb7521,rapkjpmvp,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,2.0,Lwihnxoihqqrvjydsijd,R,168189.0,S,Fqbovz,O,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Nova Scotia,1-603-897-9894,Robert Half International,1.0,3.0,72.0,462.0,
qex7522,Slskxm,Rirmrpvlknyho,,nmnervucuk,U,264756.0,S,qextfjyytqwbmdrlykbfnhvqrmota,,Dmyivtczopuqajpnjqvvgbhxynvduub,RI,1-947-161-6502,Viacom,7.0,,1.0,375.0,3467922.0
Hpi7523,FXHXLG,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,1.0,hgjkxxbf,U,44480.0,S,Hpiedhvkedqqdxsoedt,,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,OR,1-586-826-9847,Robert Half International,10.0,2.0,98.0,516.0,46859.0
Fjd7524,ovlziicdezok,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,1.0,Zangtryzlhmxo,R,87207.0,,Fjdafgbcrml,,Esuycdxsjfbrqbtluspxsehk,CA,1-217-243-2668,CSX,,5.0,35.0,703.0,2937668.0
Cgt7525,jsxcpvao,Rpzwirgfyiw,4.0,FFJGEQD,O,238434.0,W,Cgtcmbl,,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,MO,1-857-211-5728,Country Financial Services,7.0,2.0,99.0,734.0,2388613.0
Lwx7526,Ykerbceq,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,0.0,Pdcxrihnl,U,,M,Lwxudfgcqawccntqaucdaeym,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Prince Edward Island,1-089-966-6281,Procter & Gamble,4.0,2.0,49.0,469.0,3116283.0
epy7527,VVMSNWEBT,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,3.0,Zckhcacwaelzutaodqalxyjrkh,O,391354.0,S,epyxtfsrijhddstgaxkbgmlayjtk,,vnyndcximwxhecv,Quebec,,Ingles Markets,2.0,0.0,72.0,595.0,2671950.0
Aff7528,bibueqwbejem,Acdrcqabtcdgmgl,3.0,sqrosgqnpifxjx,O,419165.0,U,Affcha,M,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,KS,1-231-342-6874,Forest Laboratories,1.0,0.0,41.0,410.0,3899593.0
mfc7529,gehpynlk,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,3.0,Erqzkkllazeobgthnmgsbtj,O,396509.0,W,mfcestd,S,,NV,,Dentsply International,10.0,2.0,54.0,475.0,2537332.0
Slf7530,Piwlxtg,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,0.0,Lcziayaozecoqqluasolkmmcldm,R,145161.0,,Slfbmvc,S,GVSBHGBDDVJFNNOZNNPJWCOI,TN,1-602-637-1838,RadioShack,2.0,2.0,11.0,,733236.0
Cxu7531,Ujlshmosjkid,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,2.0,Gcnczmuxviqaxtsdzmzhtro,O,263206.0,W,Cxuousxqyrfgjvpvuopyfguqva,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,WY,1-003-982-8627,Century Aluminum,3.0,5.0,0.0,519.0,
GZO7532,cwburwnupuj,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,3.0,Rsoobsqytvjycob,U,190371.0,D,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,F,BIQIOQOHLQSTBRUFOI,British Columbia,1-136-358-6852,,5.0,3.0,27.0,841.0,3397276.0
DRW7533,CNEZMHTKIAEV,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,3.0,Pjvadgt,O,203968.0,U,DRWTVTDSG,A,Llfaqkbemnoy,LA,1-123-528-2965,FPL Group,6.0,1.0,95.0,540.0,2444257.0
set7534,kixvppuqtd,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,1.0,GUBKOKITTSKVYM,R,428323.0,U,setksinlvlrjwnfu,N,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,HI,1-136-565-2501,Lockheed Martin,10.0,3.0,35.0,540.0,71520.0
Pyo7535,jrhynxfi,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,4.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,O,159980.0,M,Pyoixliri,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,NY,1-317-986-1984,Sanmina-SCI,6.0,1.0,96.0,,1911091.0
FSH7536,dnhtjyu,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,0.0,Kuteauo,O,266852.0,W,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,TX,1-265-603-1262,Iron Mountain,6.0,0.0,96.0,424.0,988775.0
Tdx7537,YKOVOTYB,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,5.0,Hkfofpndygljbeo,R,206973.0,M,Tdxyljuxporjhdumcvfmv,,,AZ,,OfficeMax,2.0,5.0,49.0,623.0,3919363.0
Sbn7538,WNNMWJ,XHQNMCEJKXOQYVSZVESLKC,5.0,Kengxgsu,O,258221.0,S,Sbnxcsrozzcufdoyvckpplofysx,O,atydogjpqphuwhegtbukkqiaeakrtrn,ME,1-156-668-6882,AMR,4.0,1.0,,792.0,428918.0
