AgencyID,AddressLine1,FirstName,MaritalStatus,NetWorth,OwnOrRentFlag,State,NumberChildren,Country,PostalCode,NumberCreditCards,Phone,Income,NumberCars,Age,CreditRating,Employer
Iok7501,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,wbwsqgtaa,U,321776.0,U,MO,,United States of America,Guudshirvcu,,1-637-119-9996,94490.0,3.0,7.0,580.0,FM Global
tia7502,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,QGJWCPAPZMWHYHZTNOYSSOQBI,S,2292324.0,R,TX,4.0,Canada,wyggjewbe,2.0,1-560-405-0048,7037.0,4.0,48.0,683.0,MGIC Investment
AOI7503,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,BHGXDDPUMBESLQMNEPREPTZNNKM,M,969707.0,O,CT,5.0,,YMZRQICUTHT,2.0,1-261-306-5079,419269.0,1.0,14.0,411.0,Ross Stores
PJQ7504,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Xgnvppcxgfnmawlupgfa,W,3899461.0,U,UT,5.0,United States of America,Bcjuycmcen,9.0,1-642-299-6655,76681.0,4.0,29.0,818.0,
SDV7505,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Tfiozpstcftslqtwkgngiiwo,U,3749223.0,R,RI,4.0,United States of America,Nujxguyehf,7.0,,209116.0,2.0,69.0,370.0,Alliance One International
Hga7506,Ajpkrmtlcbdzr,fbcahlrhhjoslfzqvvwwvhk,U,3658531.0,O,DE,0.0,,Neigswk,6.0,1-388-257-4273,212203.0,0.0,47.0,833.0,Sally Beauty Holdings
Beo7507,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Dcgkohfcwyoaxckalqnkrzwq,M,1738460.0,U,NM,5.0,Canada,WNCEOQPLW,2.0,,42018.0,5.0,0.0,536.0,Wisconsin Energy
Qum7508,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Vmnmcsinflxxmmifydckncc,S,3307296.0,R,WV,0.0,United States of America,Cskdwtkf,0.0,1-632-118-1891,90446.0,0.0,46.0,775.0,Carpenter Technology
Hud7509,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Vrkbkkxkddtximspigmlbwzt,M,1816419.0,R,NH,1.0,United States of America,tcxswloetdt,3.0,1-853-806-4986,16274.0,1.0,6.0,765.0,Liberty Mutual Insurance Group
jba7510,Ycltsquohmuugxihqyluhkoy,RMWCTFTLSVTMCBI,M,2599250.0,O,WY,2.0,Canada,Fkpemasoukih,6.0,1-220-687-2027,22215.0,5.0,22.0,555.0,Black & Decker
