prospect_AgencyID,prospect_AddressLine2,prospect_AddressLine1,prospect_OwnOrRentFlag,prospect_NumberCreditCards,prospect_State,prospect_Gender,prospect_MiddleInitial,prospect_Age,prospect_Phone,prospect_Employer,prospect_Income,prospect_NumberCars,prospect_NumberChildren,prospect_MaritalStatus,prospect_CreditRating,prospect_NetWorth
PEL0,,21847 olympia street,O,,MA,f,,20.0,1-712-522-6088,Brink's,368776.0,,3.0,W,760.0,1058868.0
LED1,APT. 624,245 congress court,U,6.0,PA,F,,3.0,1-626-426-4298,,177967.0,5.0,1.0,U,555.0,1988185.0
lat2,,6517 frailing west,O,6.0,Alberta,,,,1-524-787-8784,,321772.0,2.0,1.0,S,566.0,3673128.0
RUD3,,11449 blalock park,O,3.0,AR,,,77.0,1-741-997-1688,Air Products & Chemicals,25449.0,2.0,1.0,W,,2005895.0
JAY4,Apt. 619,18354 dodd court,O,4.0,OR,f,M,21.0,1-002-194-1991,Oshkosh,166567.0,0.0,3.0,M,815.0,624736.0
tod5,,14117 roxboro street,R,10.0,VA,M,Z,77.0,1-441-371-7651,,43631.0,1.0,4.0,M,333.0,3064615.0
Kan6,,24697 FLORENCE WEST,O,1.0,OH,m,R,23.0,1-957-940-5980,VeraSun Energy,466230.0,4.0,0.0,,528.0,3489129.0
Din7,,6488 applewood drive,U,7.0,Prince Edward Island,,Z,9.0,1-768-633-4096,IDT,420243.0,2.0,2.0,M,680.0,3430744.0
Thi8,,17404 gale court,O,10.0,NV,,,63.0,1-107-689-2155,Adams Resources & Energy,141862.0,3.0,,U,761.0,1743614.0
May9,,15913 alexis street,O,,Ontario,,,32.0,1-173-594-6096,MGIC Investment,402011.0,0.0,2.0,M,416.0,216299.0
mah10,,18313 5th lane,O,9.0,TX,,U,96.0,1-561-520-0611,Iasis Healthcare,79928.0,2.0,2.0,M,493.0,1528641.0
Siz11,,13653 collier avenue,R,0.0,NE,,,46.0,1-730-406-9727,AMR,109496.0,1.0,0.0,M,564.0,3752907.0
cra12,,15306 pike park,U,0.0,AR,,,6.0,,Embarq,267901.0,1.0,4.0,U,817.0,582378.0
dac13,,1540 crestmere north,R,8.0,MI,m,,39.0,1-207-867-4589,Advanced Micro Devices,487273.0,3.0,5.0,U,653.0,3458824.0
HIV14,,10790 bonita crescent,O,2.0,MA,,W,73.0,1-478-629-9641,Cenveo,34013.0,3.0,4.0,M,587.0,469408.0
Pes15,Apt. 290,24679 AIRPORT CRESCENT,O,6.0,TN,,,26.0,1-026-208-8595,Kelly Services,473462.0,0.0,2.0,S,472.0,1504480.0
CHI16,,7627 douglas road,O,4.0,TN,,,54.0,1-432-681-4853,Viacom,499493.0,5.0,4.0,M,817.0,2763009.0
Din17,,6106 ashland east,R,0.0,OK,,,87.0,,Macy's,266928.0,5.0,4.0,M,441.0,2787199.0
