prospect_AgeID,prospect_AdL1,prospect_Ge,prospect_MidIn,prospect_Pho,prospect_In,prospect_NWo,prospect_C,prospect_FiN,prospect_PosC,prospect_Empl,prospect_NumChil,prospect_MaSta,prospect_Ag,prospect_CrRa,prospect_OOReFl,prospect_NumCreCa
Iok7501,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,n,1-637-119-9996,94490.0,321776.0,Baltimore,wbwsqgtaa,Guudshirvcu,FM Global,,U,7.0,580.0,U,
tia7502,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,M,,1-560-405-0048,7037.0,2292324.0,Kitchener,QGJWCPAPZMWHYHZTNOYSSOQBI,wyggjewbe,MGIC Investment,4.0,S,48.0,683.0,R,2.0
AOI7503,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,,u,1-261-306-5079,419269.0,969707.0,Saint John,BHGXDDPUMBESLQMNEPREPTZNNKM,YMZRQICUTHT,Ross Stores,5.0,M,14.0,411.0,O,2.0
PJQ7504,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,m,,1-642-299-6655,76681.0,3899461.0,Berkeley,Xgnvppcxgfnmawlupgfa,Bcjuycmcen,,5.0,W,29.0,818.0,U,9.0
SDV7505,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,,,209116.0,3749223.0,Missoula,Tfiozpstcftslqtwkgngiiwo,Nujxguyehf,Alliance One International,4.0,U,69.0,370.0,R,7.0
Hga7506,Ajpkrmtlcbdzr,F,F,1-388-257-4273,212203.0,3658531.0,Salinas,fbcahlrhhjoslfzqvvwwvhk,Neigswk,Sally Beauty Holdings,0.0,U,47.0,833.0,O,6.0
Beo7507,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,D,,42018.0,1738460.0,San Jose,Dcgkohfcwyoaxckalqnkrzwq,WNCEOQPLW,Wisconsin Energy,5.0,M,0.0,536.0,U,2.0
Qum7508,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,,,1-632-118-1891,90446.0,3307296.0,Cleveland,Vmnmcsinflxxmmifydckncc,Cskdwtkf,Carpenter Technology,0.0,S,46.0,775.0,R,0.0
Hud7509,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,,v,1-853-806-4986,16274.0,1816419.0,Huntington,Vrkbkkxkddtximspigmlbwzt,tcxswloetdt,Liberty Mutual Insurance Group,1.0,M,6.0,765.0,R,3.0
jba7510,Ycltsquohmuugxihqyluhkoy,m,,1-220-687-2027,22215.0,2599250.0,Paterson,RMWCTFTLSVTMCBI,Fkpemasoukih,Black & Decker,2.0,M,22.0,555.0,O,6.0
dgc7511,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,m,,,210038.0,490443.0,Greensboro,Zaijioc,NCEVKLQEEWTA,Interstate Bakeries,1.0,M,72.0,,O,3.0
lql7512,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,,,1-268-630-3843,307402.0,3348923.0,Concord,Mdwdjpdfmbqjaygkfqzqx,DODDIDDHXS,eBay,5.0,M,40.0,318.0,O,9.0
Wsk7513,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,m,,1-915-548-9541,,331799.0,Colorado Springs,Ccbccgvldfvoqtzestvkwunn,Oqnzttrldq,Boise,1.0,D,8.0,613.0,R,4.0
Ffs7514,,,v,1-536-880-0961,432425.0,1167013.0,Mobile,nyakrhdyxravdnhgbtol,Lwbawk,MDU Resources Group,1.0,U,10.0,786.0,R,4.0
Kvv7515,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,F,1-494-335-6022,122041.0,3960216.0,Thousand Oaks,NDNBTVCLKSC,Ppsrzjdtg,Freescale Semiconductor,3.0,U,24.0,,O,10.0
mpz7516,,f,G,1-814-158-3550,302205.0,242246.0,Rochester,Zmstbluqkipzaojfsomtbdddguq,,Superior Energy Services,4.0,M,18.0,623.0,O,5.0
Jhc7517,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,F,s,1-420-580-0795,367555.0,1217660.0,Garden Grove,dpqgvuaoijmkxsesvililpxcrwqe,,Monsanto,1.0,S,79.0,845.0,O,1.0
dbq7518,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,l,1-924-305-1666,106025.0,1229655.0,Tampa,IHUGYGSRDWILVOFBAKUR,Rxdsunq,Newfield Exploration,5.0,M,36.0,645.0,U,7.0
Xch7519,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,m,,1-450-082-2122,106690.0,1157831.0,Fullerton,aefotdcronamhkzsfpvifmobgchmsp,JXHVEEOU,Loews,2.0,W,21.0,495.0,O,1.0
oir7520,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,m,Z,1-573-009-1404,29373.0,,Washington,jdeyqkerjerjpht,XHJQCDPOO,Apache,2.0,M,4.0,371.0,O,8.0
Fqb7521,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,M,O,1-603-897-9894,168189.0,,Norfolk,Lwihnxoihqqrvjydsijd,rapkjpmvp,Robert Half International,3.0,S,72.0,462.0,R,1.0
qex7522,Dmyivtczopuqajpnjqvvgbhxynvduub,,,1-947-161-6502,264756.0,3467922.0,Sydney,nmnervucuk,Slskxm,Viacom,,S,1.0,375.0,U,7.0
Hpi7523,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,,,1-586-826-9847,44480.0,46859.0,Winnipeg,hgjkxxbf,FXHXLG,Robert Half International,2.0,S,98.0,516.0,U,10.0
Fjd7524,Esuycdxsjfbrqbtluspxsehk,,,1-217-243-2668,87207.0,2937668.0,Wilmington,Zangtryzlhmxo,ovlziicdezok,CSX,5.0,,35.0,703.0,R,
Cgt7525,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,,,1-857-211-5728,238434.0,2388613.0,El Monte,FFJGEQD,jsxcpvao,Country Financial Services,2.0,W,99.0,734.0,O,7.0
Lwx7526,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,,1-089-966-6281,,3116283.0,Sterling Heights,Pdcxrihnl,Ykerbceq,Procter & Gamble,2.0,M,49.0,469.0,U,4.0
epy7527,vnyndcximwxhecv,,,,391354.0,2671950.0,Pembroke Pines,Zckhcacwaelzutaodqalxyjrkh,VVMSNWEBT,Ingles Markets,0.0,S,72.0,595.0,O,2.0
Aff7528,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,m,M,1-231-342-6874,419165.0,3899593.0,Philadelphia,sqrosgqnpifxjx,bibueqwbejem,Forest Laboratories,0.0,U,41.0,410.0,O,1.0
mfc7529,,,S,,396509.0,2537332.0,Glendale,Erqzkkllazeobgthnmgsbtj,gehpynlk,Dentsply International,2.0,W,54.0,475.0,O,10.0
Slf7530,GVSBHGBDDVJFNNOZNNPJWCOI,,S,1-602-637-1838,145161.0,733236.0,El Monte,Lcziayaozecoqqluasolkmmcldm,Piwlxtg,RadioShack,2.0,,11.0,,R,2.0
Cxu7531,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,,,1-003-982-8627,263206.0,,Warwick,Gcnczmuxviqaxtsdzmzhtro,Ujlshmosjkid,Century Aluminum,5.0,W,0.0,519.0,O,3.0
GZO7532,BIQIOQOHLQSTBRUFOI,,F,1-136-358-6852,190371.0,3397276.0,Milwaukee,Rsoobsqytvjycob,cwburwnupuj,,3.0,D,27.0,841.0,U,5.0
DRW7533,Llfaqkbemnoy,,A,1-123-528-2965,203968.0,2444257.0,Phoenix,Pjvadgt,CNEZMHTKIAEV,FPL Group,1.0,U,95.0,540.0,O,6.0
set7534,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,f,N,1-136-565-2501,428323.0,71520.0,Anchorage,GUBKOKITTSKVYM,kixvppuqtd,Lockheed Martin,3.0,U,35.0,540.0,R,10.0
Pyo7535,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,,1-317-986-1984,159980.0,1911091.0,Madison,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,jrhynxfi,Sanmina-SCI,1.0,M,96.0,,O,6.0
FSH7536,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,M,,1-265-603-1262,266852.0,988775.0,Fontana,Kuteauo,dnhtjyu,Iron Mountain,0.0,W,96.0,424.0,O,6.0
Tdx7537,,,,,206973.0,3919363.0,Charlotte,Hkfofpndygljbeo,YKOVOTYB,OfficeMax,5.0,M,49.0,623.0,R,2.0
Sbn7538,atydogjpqphuwhegtbukkqiaeakrtrn,,O,1-156-668-6882,258221.0,428918.0,Richmond,Kengxgsu,WNNMWJ,AMR,1.0,S,,792.0,O,4.0
Piq7539,Hlotorcbtobuceb,f,C,1-164-648-3203,428508.0,58134.0,Santa Clarita,Plywuoa,Oktkljv,Kohl's,4.0,S,27.0,718.0,O,6.0
IXD7540,gsrdigbqfwrahybxrtm,M,,1-839-795-1027,,3703767.0,Yellow Knife,zfcwsxpjzyqelkxg,,Cigna,0.0,M,98.0,401.0,O,6.0
wsn7541,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,,1-958-412-4252,58953.0,433859.0,Oxnard,Yxvczhqjwgnhowiu,GXFLSISZUY,West,5.0,M,,557.0,R,2.0
