AgencyID,AddressLine1,PostalCode,Income,FirstName,Phone,CreditRating,Employer,MaritalStatus,Age,NumberChildren,LastName,MiddleInitial,Gender,AddressLine2,City
PEL0,21847 olympia street,T6b 1i1,368776.0,Netti,1-712-522-6088,760.0,Brink's,W,20.0,3.0,PELLAND,,f,,Fairbanks
LED1,245 congress court,77281,177967.0,TRUDY,1-626-426-4298,555.0,,U,3.0,1.0,LEDUC,,F,APT. 624,Quebec
lat2,6517 frailing west,91355,321772.0,ireland,1-524-787-8784,566.0,,S,,1.0,latif,,,,Henderson
RUD3,11449 blalock park,36615,25449.0,Misti,1-741-997-1688,,Air Products & Chemicals,W,77.0,1.0,RUDDICK,,,,Salem
JAY4,18354 dodd court,t6a 1i3,166567.0,sarena,1-002-194-1991,815.0,Oshkosh,M,21.0,3.0,JAYAMANNE,M,f,Apt. 619,Toledo
tod5,14117 roxboro street,A2b 1v3,43631.0,Paulette,1-441-371-7651,333.0,,M,77.0,4.0,todo,Z,M,,Corpus Christi
Kan6,24697 FLORENCE WEST,49513,466230.0,AMALITA,1-957-940-5980,528.0,VeraSun Energy,,23.0,0.0,Kanno,R,m,,Salt Lake City
Din7,6488 applewood drive,M5d 1v6,420243.0,Ernesto,1-768-633-4096,680.0,IDT,M,9.0,2.0,Dinkel,Z,,,Brownsville
Thi8,17404 gale court,V6c 1q1,141862.0,Toby,1-107-689-2155,761.0,Adams Resources & Energy,U,63.0,,Thibodeaux,,,,Escondido
May9,15913 alexis street,99716,402011.0,evangelia,1-173-594-6096,416.0,MGIC Investment,M,32.0,2.0,Mayo,,,,Los Angeles
mah10,18313 5th lane,A2b 1w1,79928.0,umakanth,1-561-520-0611,493.0,Iasis Healthcare,M,96.0,2.0,mahendra,U,,,West Covina
Siz11,13653 collier avenue,M5F 1W1,109496.0,terrie,1-730-406-9727,564.0,AMR,M,46.0,0.0,Sizto,,,,San Buenaventura
cra12,15306 pike park,95118,267901.0,Mary-pat,,817.0,Embarq,U,6.0,4.0,crawley,,,,Lexington
dac13,1540 crestmere north,H2f 1v7,487273.0,Catherin,1-207-867-4589,653.0,Advanced Micro Devices,U,39.0,5.0,dacal,,m,,Hay River
HIV14,10790 bonita crescent,19217,34013.0,annissa,1-478-629-9641,587.0,Cenveo,M,73.0,4.0,HIVELY,W,,,Toronto
Pes15,24679 AIRPORT CRESCENT,21228,473462.0,Amour,1-026-208-8595,472.0,Kelly Services,S,26.0,2.0,Peschke,,,Apt. 290,Denver
