data_creazione,indirizzo_id,email,cognome,nome,cliente_id,negozio_id,attivo
2006-02-14 22:04:36,168,JOANN.GARDNER@sakilacustomer.org,GARDNER,JOANN,164,2,1
2006-02-14 22:04:37,367,NICHOLAS.BARFIELD@sakilacustomer.org,BARFIELD,NICHOLAS,362,1,1
2006-02-14 22:04:36,107,GLADYS.HAMILTON@sakilacustomer.org,HAMILTON,GLADYS,103,1,1
2006-02-14 22:04:37,502,GILBERT.SLEDGE@sakilacustomer.org,SLEDGE,GILBERT,497,2,1
2006-02-14 22:04:37,508,ANGEL.BARCLAY@sakilacustomer.org,BARCLAY,ANGEL,503,1,1
2006-02-14 22:04:36,231,COLLEEN.BURTON@sakilacustomer.org,BURTON,COLLEEN,227,1,1
2006-02-14 22:04:36,133,CARRIE.PORTER@sakilacustomer.org,PORTER,CARRIE,129,1,1
2006-02-14 22:04:37,403,ANTONIO.MEEK@sakilacustomer.org,MEEK,ANTONIO,398,1,1
2006-02-14 22:04:37,576,IVAN.CROMWELL@sakilacustomer.org,CROMWELL,IVAN,570,2,1
2006-02-14 22:04:37,321,STEVEN.CURLEY@sakilacustomer.org,CURLEY,STEVEN,316,1,1
2006-02-14 22:04:36,53,JOYCE.EDWARDS@sakilacustomer.org,EDWARDS,JOYCE,49,2,1
2006-02-14 22:04:37,476,DEAN.SAUER@sakilacustomer.org,SAUER,DEAN,471,1,1
2006-02-14 22:04:37,443,BARRY.LOVELACE@sakilacustomer.org,LOVELACE,BARRY,438,1,1
2006-02-14 22:04:37,589,MARSHALL.THORN@sakilacustomer.org,THORN,MARSHALL,583,1,1
2006-02-14 22:04:36,272,MARGIE.WADE@sakilacustomer.org,WADE,MARGIE,267,1,1
2006-02-14 22:04:36,37,ANNA.HILL@sakilacustomer.org,HILL,ANNA,33,2,1
2006-02-14 22:04:36,223,WILLIE.HOWELL@sakilacustomer.org,HOWELL,WILLIE,219,2,1
2006-02-14 22:04:37,535,ERIK.GUILLEN@sakilacustomer.org,GUILLEN,ERIK,529,2,1
2006-02-14 22:04:37,402,JIMMY.SCHRADER@sakilacustomer.org,SCHRADER,JIMMY,397,1,1
2006-02-14 22:04:36,52,ANN.EVANS@sakilacustomer.org,EVANS,ANN,48,1,1
2006-02-14 22:04:37,450,MICHEAL.FORMAN@sakilacustomer.org,FORMAN,MICHEAL,445,1,1
2006-02-14 22:04:37,304,JAMES.GANNON@sakilacustomer.org,GANNON,JAMES,299,2,1
2006-02-14 22:04:37,427,MELVIN.ELLINGTON@sakilacustomer.org,ELLINGTON,MELVIN,422,1,1
2006-02-14 22:04:37,538,NEIL.RENNER@sakilacustomer.org,RENNER,NEIL,532,2,1
2006-02-14 22:04:37,310,RICHARD.MCCRARY@sakilacustomer.org,MCCRARY,RICHARD,305,1,1
2006-02-14 22:04:37,393,CRAIG.MORRELL@sakilacustomer.org,MORRELL,CRAIG,388,2,1
2006-02-14 22:04:37,279,NAOMI.JENNINGS@sakilacustomer.org,JENNINGS,NAOMI,274,1,1
2006-02-14 22:04:37,408,MIKE.WAY@sakilacustomer.org,WAY,MIKE,403,1,1
2006-02-14 22:04:37,396,CLARENCE.GAMEZ@sakilacustomer.org,GAMEZ,CLARENCE,391,1,1
2006-02-14 22:04:36,234,JOY.GEORGE@sakilacustomer.org,GEORGE,JOY,230,2,1
2006-02-14 22:04:36,51,FRANCES.PARKER@sakilacustomer.org,PARKER,FRANCES,47,1,1
