distretto,stato_id,indirizzo2,stato,codice_postale,indirizzo_id,città,telefono,città_id,indirizzo
Slaskie,76,,Poland,75442.0,385,Tychy,821476736117.0,549,1642 Charlotte Amalie Drive
Lilongwe,58,,Malawi,76901.0,170,Lilongwe,843801144113.0,304,710 San Felipe del Progreso Avenue
Taipei,92,,Taiwan,400.0,523,Chungho,627425618482.0,116,608 Birgunj Parkway
Kyongsangbuk,86,,South Korea,51540.0,103,Kimchon,333339908719.0,268,588 Vila Velha Manor
Texas,103,,United States,42141.0,310,Arlington,262088367001.0,33,913 Coacalco de Berriozábal Loop
Maharashtra,44,,India,56883.0,305,Parbhani,51917807050.0,398,41 El Alto Parkway
Aceh,45,,Indonesia,69221.0,478,Lhokseumawe,932992626595.0,301,1078 Stara Zagora Drive
Saitama,50,,Japan,7664.0,409,Omiya,1483365694.0,380,1266 Laredo Parkway
Tokyo-to,50,,Japan,33384.0,580,Akishima,315528269898.0,10,923 Tangail Boulevard
Ponce,77,,Puerto Rico,8160.0,287,Ponce,62781725285.0,411,1405 Chisinau Place
Komi,80,,Russian Federation,33191.0,433,Syktyvkar,307133768620.0,510,1823 Hoshiarpur Lane
Hanoi,105,,Vietnam,85926.0,345,Hanoi,870635127812.0,201,68 Ponce Parkway
Ynlin,92,,Taiwan,57519.0,143,Touliu,33173584456.0,542,1029 Dzerzinsk Manor
Sarawak,59,,Malaysia,69226.0,62,Kuching,212869228936.0,282,1114 Liepaja Street
Maharashtra,44,,India,3924.0,206,Bhusawal,369050085652.0,77,642 Nador Drive
Loja,28,,Ecuador,22474.0,595,Loja,154124128457.0,311,1074 Sanaa Parkway
Shandong,23,,China,90920.0,440,Junan,746251338300.0,249,722 Bradford Lane
Buenos Aires,6,,Argentina,86760.0,536,Ezeiza,717566026669.0,165,166 Jinchang Street
Tianjin,23,,China,38140.0,253,Tianjin,56257502250.0,535,1760 Oshawa Manor
Gois,15,,Brazil,93323.0,233,Anápolis,22326410776.0,26,356 Olomouc Manor
Khanh Hoa,105,,Vietnam,94707.0,526,Nha Trang,574973479129.0,366,617 Klerksdorp Place
British Colombia,20,,Canada,47472.0,441,Vancouver,145720452260.0,565,983 Santa Fé Way
São Paulo,15,,Brazil,66255.0,130,Poá,582835362905.0,410,1666 Qomsheh Drive
Central Java,45,,Indonesia,23636.0,455,Surakarta,834061016202.0,509,1947 Paarl Way
Skne ln,90,,Sweden,96109.0,70,Malmö,663449333709.0,321,1150 Kimchon Manor
Gifu,50,,Japan,57844.0,167,Kakamigahara,819416131190.0,253,1287 Xi´angfan Boulevard
La Romana,27,,Dominican Republic,40926.0,442,La Romana,331888642162.0,290,1245 Ibirité Way
Central Luzon,75,,Philippines,1570.0,510,Talavera,82671830126.0,519,48 Maracaíbo Place
Gujarat,44,,India,73644.0,121,Gandhinagar,577812616052.0,176,1967 Sincelejo Place
California,103,,United States,16266.0,18,Citrus Heights,517338314235.0,120,770 Bydgoszcz Avenue
al-Manama,11,,Bahrain,39414.0,596,al-Manama,864392582257.0,14,1759 Niznekamsk Avenue
Tucumn,6,,Argentina,37288.0,247,San Miguel de Tucumán,686015532180.0,454,1483 Pathankot Street
Xinxiang,23,,China,58492.0,288,Korla,790651020929.0,277,226 Halifax Street
Tokat,97,,Turkey,52196.0,572,Tokat,525518075499.0,538,539 Hami Way
England,102,,United Kingdom,41060.0,482,Stockport,553452430707.0,500,808 Naçala-Porto Parkway
Slaskie,76,,Poland,86587.0,578,Czestochowa,867287719310.0,133,1405 Hagonoy Avenue
Moskova,80,,Russian Federation,57807.0,59,Balašiha,499352017190.0,49,1697 Kowloon and New Kowloon Loop
Andhra Pradesh,44,,India,2738.0,372,Adoni,166898395731.0,8,230 Urawa Drive
Brunei and Muara,16,,Brunei,52163.0,95,Bandar Seri Begawan,345679835036.0,53,1370 Le Mans Avenue
Cear,15,,Brazil,52535.0,51,Juazeiro do Norte,69493378813.0,247,686 Garland Manor
Kalmykia,80,,Russian Federation,81766.0,21,Elista,407752414682.0,156,270 Toulon Boulevard
Hamilton,68,,New Zealand,77948.0,12,Hamilton,657282285970.0,200,478 Joliet Way
Lipetsk,80,,Russian Federation,76022.0,48,Lipetsk,177727722820.0,308,1998 Halifax Drive
Batman,97,,Turkey,47753.0,176,Batman,734780743462.0,58,29 Pyongyang Loop
Arecibo,77,,Puerto Rico,64875.0,365,Arecibo,102396298916.0,32,1009 Zanzibar Lane
Gelderland,67,,Netherlands,504.0,346,Ede,718917251754.0,151,1217 Konotop Avenue
Baja California Sur,60,,Mexico,94239.0,493,La Paz,488425406814.0,288,184 Mandaluyong Street
Nothwest Border Prov,72,,Pakistan,21954.0,24,Mardan,144453869132.0,327,1688 Okara Way
Shandong,23,,China,72349.0,501,Rizhao,211256301880.0,432,1060 Tandil Lane
Nantou,92,,Taiwan,42399.0,9,Nantou,10655648674.0,361,53 Idfu Parkway
Cayenne,35,,French Guiana,71110.0,69,Cayenne,409983924481.0,105,698 Otsu Street
Vilna,56,,Lithuania,47498.0,563,Vilnius,107092893983.0,570,1059 Yuncheng Avenue
KwaZulu-Natal,85,,South Africa,63104.0,437,Newcastle,617567598243.0,364,1766 Almirante Brown Street
Nampula,63,,Mozambique,65892.0,438,Naçala-Porto,342709348083.0,351,596 Huixquilucan Place
Taipei,92,,Taiwan,87272.0,353,Hsichuh,55477302294.0,209,381 Kabul Way
Buenos Aires,6,,Argentina,86868.0,410,Tandil,779461480495.0,524,88 Nagaon Manor
Bauchi & Gombe,69,,Nigeria,7122.0,414,Deba Habe,653436985797.0,141,1936 Lapu-Lapu Parkway
Callao,74,,Peru,79047.0,309,Callao,504434452842.0,99,827 Yuncheng Drive
Guanajuato,60,,Mexico,55566.0,419,Allende,680851640676.0,19,397 Sunnyvale Avenue
Gurico,104,,Venezuela,53145.0,295,Valle de la Pascua,892523334.0,562,544 Tarsus Boulevard
Vaud,91,,Switzerland,61960.0,604,Lausanne,145308717464.0,296,1331 Usak Boulevard
Shandong,23,,China,22813.0,539,Binzhou,383353187467.0,80,1332 Gaziantep Lane
Sichuan,23,,China,70385.0,68,Daxian,333489324603.0,139,1966 Amroha Avenue
Oyo & Osun,69,,Nigeria,98332.0,254,Oyo,716256596301.0,390,786 Stara Zagora Way
Caquet,24,,Colombia,70664.0,465,Florencia,366776723320.0,170,734 Tanshui Avenue
Coquimbo,22,,Chile,92568.0,521,Coquimbo,602101369463.0,127,568 Dhule (Dhulia) Loop
Andhra Pradesh,44,,India,75474.0,513,Vijayawada,441628280920.0,568,758 Korolev Parkway
Chihuahua,60,,Mexico,41545.0,472,Cuauhtémoc,769370126331.0,129,1447 Chatsworth Place
Chimborazo,28,,Ecuador,63667.0,499,Ríobamba,898559280434.0,434,1954 Kowloon and New Kowloon Way
East Java,45,,Indonesia,69504.0,505,Madiun,793996678771.0,318,519 Brescia Parkway
Rio de Janeiro,15,,Brazil,80184.0,312,Angra dos Reis,573441801529.0,25,1354 Siegen Street
Haryana,44,,India,85548.0,279,Karnal,959949395183.0,263,1884 Shikarpur Avenue
Usak,97,,Turkey,25238.0,208,Usak,646237101779.0,557,1215 Pyongyang Parkway
Jharkhand,44,,India,5373.0,363,Ranchi,620719383725.0,429,604 Bern Place
Gauteng,85,,South Africa,9668.0,476,Johannesburg,248446668735.0,244,270 Tambaram Parkway
West Java,45,,Indonesia,22236.0,243,Ciomas,63937119031.0,118,47 Syktyvkar Lane
Gois,15,,Brazil,17119.0,96,Goiânia,132986892228.0,183,984 Effon-Alaiye Avenue
Free State,85,,South Africa,49757.0,136,Botshabelo,707169393853.0,87,898 Belém Manor
England,102,,United Kingdom,57197.0,502,York,959467760895.0,589,1515 Korla Way
Puebla,60,,Mexico,67912.0,88,Atlixco,48417642933.0,40,125 Città del Vaticano Boulevard
Madhya Pradesh,44,,India,48960.0,72,Shivapuri,990214419142.0,475,57 Arlington Manor
Ha Darom,48,,Israel,49708.0,106,Ashdod,709935135487.0,34,659 Vaduz Drive
Moskova,80,,Russian Federation,8816.0,398,Korolev,737229003916.0,278,954 Lapu-Lapu Way
Kujawsko-Pomorskie,76,,Poland,25787.0,323,Bydgoszcz,556100547674.0,97,1769 Iwaki Lane
Xinxiang,23,,China,62250.0,169,Hami,935508855935.0,199,154 Tallahassee Loop
Saarland,38,,Germany,47446.0,231,Saarbrücken,669828224459.0,439,430 Alessandria Loop
Volgograd,80,,Russian Federation,19450.0,515,Kamyšin,711928348157.0,259,886 Tonghae Place
,65,,Nauru,65952.0,519,Yangor,282667506728.0,583,962 Tama Loop
Kowloon and New Kowl,42,,Hong Kong,58124.0,294,Kowloon and New Kowloon,172262454487.0,279,1912 Allende Manor
Florida,103,,United States,31342.0,532,Cape Coral,214756839122.0,101,1427 Tabuk Place
East Kasai,25,,"Congo, The Democratic Republic of the",22025.0,380,Mwene-Ditu,409315295763.0,348,1519 Santiago de los Caballeros Loop
,41,,Holy See (Vatican City State),58327.0,30,Città del Vaticano,998009777982.0,121,18 Duisburg Boulevard
Northern Mindanao,75,,Philippines,41775.0,439,Ozamis,959834530529.0,391,1351 Aparecida de Goiânia Parkway
Shaba,25,,"Congo, The Democratic Republic of the",69973.0,392,Lubumbashi,900235712074.0,315,514 Ife Way
Shandong,23,,China,44274.0,570,Xintai,203202500108.0,580,415 Pune Avenue
Qina,29,,Egypt,98775.0,237,Idfu,431770603551.0,216,1736 Cavite Place
Central Java,45,,Indonesia,64709.0,463,Tegal,335052544020.0,532,935 Aden Boulevard
Rajasthan,44,,India,63337.0,174,Udaipur,264541743403.0,550,1877 Ezhou Lane
Tabora,93,,Tanzania,49348.0,194,Tabora,352469351088.0,513,605 Rio Claro Parkway
Nyanza,52,,Kenya,10428.0,197,Kisumu,940830176580.0,271,447 Surakarta Loop
Buenos Aires,6,,Argentina,73942.0,450,Escobar,411549550611.0,161,203 Tambaram Street
Scotland,102,,United Kingdom,60562.0,146,Dundee,581174211853.0,149,483 Ljubertsy Parkway
Saitama,50,,Japan,73824.0,401,Iwatsuki,679095087143.0,228,168 Cianjur Manor
Hunan,23,,China,53928.0,272,Lengshuijiang,192459639410.0,298,1762 Paarl Parkway
Utrecht,67,,Netherlands,33711.0,420,Amersfoort,855290087237.0,23,992 Klerksdorp Loop
Sind,72,,Pakistan,99780.0,29,Shikarpur,196495945706.0,472,934 San Felipe de Puerto Plata Street
Esfahan,46,,Iran,13203.0,373,Najafabad,320471479776.0,356,1922 Miraj Way
Ji´angxi,23,,China,70618.0,173,Pingxiang,161801569569.0,407,1294 Firozabad Drive
Noord-Brabant,67,,Netherlands,43310.0,188,´s-Hertogenbosch,302590383819.0,438,741 Ambattur Manor
Coahuila de Zaragoza,60,,Mexico,37815.0,576,Monclova,203804046132.0,341,1351 Sousse Lane
Guanajuato,60,,Mexico,2012.0,278,Salamanca,45387294817.0,445,144 South Hill Loop
Asir,82,,Saudi Arabia,77459.0,105,Abha,196568435814.0,2,733 Mandaluyong Place
Liaoning,23,,China,41214.0,527,Yingkou,25865528181.0,588,1993 0 Loop
Uttar Pradesh,44,,India,67521.0,540,Amroha,122981120653.0,24,949 Allende Lane
São Paulo,15,,Brazil,47288.0,182,Santa Bárbara d´Oeste,391065549876.0,456,1891 Rizhao Boulevard
Gois,15,,Brazil,55709.0,187,Luziânia,947468818183.0,317,1839 Székesfehérvár Parkway
Rio Grande do Sul,15,,Brazil,26284.0,557,Alvorada,380077794770.0,21,1407 Pachuca de Soto Place
Kabol,1,,Afghanistan,40301.0,222,Kabul,886649065861.0,251,1168 Najafabad Parkway
al-Qalyubiya,29,,Egypt,4285.0,138,Qalyub,23712411567.0,421,765 Southampton Drive
Central Serbia,108,,Yugoslavia,93896.0,11,Kragujevac,716571220373.0,280,900 Santiago de Compostela Parkway
Hubei,23,,China,46875.0,427,Laohekou,368284120423.0,293,1557 Cape Coral Parkway
São Paulo,15,,Brazil,9223.0,81,Araçatuba,918711376618.0,30,1692 Ede Loop
Sumy,100,,Ukraine,11363.0,480,Šostka,726875628268.0,385,421 Yaoundé Street
Sagaing,64,,Myanmar,68146.0,261,Monywa,884536620568.0,342,51 Laredo Avenue
Bukarest,78,,Romania,10714.0,569,Bucuresti,997453607116.0,95,1342 Abha Boulevard
California,103,,United States,8862.0,186,Compton,662227486184.0,126,533 al-Ayn Boulevard
Kaohsiung,92,,Taiwan,34750.0,582,Fengshan,278669994384.0,168,1568 Celaya Parkway
Vaduz,55,,Liechtenstein,45428.0,61,Vaduz,889318963672.0,560,943 Tokat Street
Baskimaa,87,,Spain,61391.0,298,Donostia-San Sebastián,96604821070.0,146,44 Najafabad Way
Sucre,24,,Colombia,29932.0,91,Sincelejo,198123170793.0,480,1740 Portoviejo Avenue
Kitaa,40,,Greenland,10800.0,211,Nuuk,403404780639.0,371,850 Salala Loop
Québec,20,,Canada,20336.0,481,Gatineau,856872225376.0,179,1153 Allende Way
Ningxia,23,,China,11839.0,489,Yinchuan,508348602835.0,587,1297 Alvorada Parkway
Madhya Pradesh,44,,India,7431.0,361,Satna,650496654258.0,464,45 Aparecida de Goiânia Place
Mxico,60,,Mexico,75149.0,119,Nezahualcóyotl,867546627903.0,365,1107 Nakhon Sawan Avenue
Uttar Pradesh,44,,India,65213.0,36,Jhansi,627705991774.0,239,176 Mandaluyong Place
Alberta,20,,Canada,,3,Lethbridge,14033335568.0,300,23 Workhaven Lane
Cagayan Valley,75,,Philippines,30065.0,266,Tuguegarao,265153400632.0,548,862 Xintai Lane
Guangdong,23,,China,47394.0,429,Shanwei,736517327853.0,468,1269 Botosani Manor
Osmaniye,97,,Turkey,29610.0,17,Osmaniye,695479687538.0,384,270 Amroha Parkway
Mxico,60,,Mexico,73170.0,324,San Felipe del Progreso,674805712553.0,451,1145 Vilnius Manor
California,103,,United States,89420.0,425,El Monte,546793516940.0,155,1866 al-Qatif Avenue
Miyazaki,50,,Japan,32474.0,258,Miyakonojo,134673576619.0,338,752 Ondo Loop
Sokoto & Kebbi & Zam,69,,Nigeria,93655.0,568,Sokoto,946114054231.0,488,1342 Sharja Way
Bretagne,34,,France,61507.0,407,Brest,516647474029.0,92,1346 Mysore Drive
Kirov,80,,Russian Federation,35109.0,183,Kirovo-Tšepetsk,866092335135.0,270,1089 Iwatsuki Avenue
Gansu,23,,China,98030.0,500,Baiyin,962020153680.0,47,362 Rajkot Lane
Washington,103,,United States,25053.0,216,Bellevue,168758068397.0,65,660 Jedda Boulevard
Central,73,,Paraguay,60079.0,350,San Lorenzo,20064292617.0,453,1628 Nagareyama Lane
Kerala,44,,India,4854.0,179,Allappuzha (Alleppey),230250973122.0,18,431 Xi´angtan Avenue
Tamil Nadu,44,,India,11763.0,276,Kumbakonam,271149517630.0,283,1675 Xi´angfan Manor
Texas,103,,United States,77464.0,567,Garland,239357986667.0,178,1894 Boa Vista Way
Okinawa,50,,Japan,45750.0,370,Okinawa,634445428822.0,377,1565 Tangail Manor
Gaziantep,97,,Turkey,28165.0,485,Gaziantep,435118527255.0,180,984 Novotšerkassk Loop
Okayama,50,,Japan,87212.0,434,Tsuyama,572068624538.0,547,1404 Taguig Drive
Sumy,100,,Ukraine,15414.0,551,Konotop,426346224043.0,275,182 Nuku´alofa Drive
Heilongjiang,23,,China,27107.0,605,Tieli,288241215394.0,537,1325 Fukuyama Street
Nakhon Sawan,94,,Thailand,29810.0,395,Nakhon Sawan,175283210378.0,358,1337 Mit Ghamr Avenue
Nordrhein-Westfalen,38,,Germany,4662.0,205,Witten,146640639760.0,575,68 Molodetšno Manor
Mekka,82,,Saudi Arabia,74428.0,53,Jedda,876295323994.0,237,725 Isesaki Place
Galicia,87,,Spain,77642.0,555,Santiago de Compostela,84794532510.0,459,1764 Jalib al-Shuyukh Parkway
Eastern Visayas,75,,Philippines,50805.0,75,Baybay,565018274456.0,61,492 Cam Ranh Street
Gauteng,85,,South Africa,60304.0,129,Boksburg,490211944645.0,85,569 Baicheng Lane
Gujarat,44,,India,12905.0,560,Rajkot,62127829280.0,426,1447 Imus Place
Skikda,2,,Algeria,89668.0,180,Skikda,506134035434.0,483,757 Rustenburg Avenue
Eskisehir,97,,Turkey,54674.0,512,Eskisehir,402630109080.0,163,1269 Ipoh Avenue
Tokyo-to,50,,Japan,32114.0,198,Hino,104491201771.0,204,345 Oshawa Boulevard
Kwara & Kogi,69,,Nigeria,3305.0,107,Ilorin,484292626944.0,220,1177 Jelets Way
Béchar,2,,Algeria,59025.0,73,Béchar,107137400143.0,63,1031 Daugavpils Parkway
Liaoning,23,,China,58979.0,307,Tiefa,108053751300.0,536,1908 Gaziantep Place
Virginia,103,,United States,61195.0,296,Roanoke,976798660411.0,433,1936 Cumaná Avenue
Gois,15,,Brazil,82639.0,134,Águas Lindas de Goiás,935448624185.0,190,758 Junan Lane
East Java,45,,Indonesia,72771.0,377,Probolinggo,440365973660.0,415,154 Oshawa Manor
Roraima,15,,Brazil,71583.0,347,Boa Vista,697656479977.0,84,1293 Nam Dinh Way
Maharashtra,44,,India,3.0,445,Dhule (Dhulia),82088937724.0,144,495 Bhimavaram Lane
Shandong,23,,China,77777.0,155,Laiwu,189446090264.0,291,1560 Jelets Boulevard
Punjab,44,,India,40509.0,417,Hoshiarpur,129953030512.0,208,791 Salinas Street
Sichuan,23,,China,77397.0,575,Leshan,128499386727.0,299,1052 Pathankot Avenue
Okayama,50,,Japan,94065.0,38,Kurashiki,708403338270.0,284,61 Tama Street
Drenthe,67,,Netherlands,42123.0,479,Emmen,131912793873.0,158,1854 Okara Boulevard
Central Visayas,75,,Philippines,27722.0,248,Lapu-Lapu,569868543137.0,294,582 Papeete Loop
Shanxi,23,,China,76990.0,158,Yuncheng,499408708580.0,590,798 Cianjur Avenue
Ontario,20,,Canada,5379.0,193,Oshawa,247646995453.0,383,891 Novi Sad Manor
Piemonte,49,,Italy,79388.0,37,Alessandria,911872220378.0,17,127 Purnea (Purnia) Manor
Pohjois-Pohjanmaa,33,,Finland,40070.0,303,Oulu,161643343536.0,387,898 Jining Lane
California,103,,United States,75090.0,274,Salinas,685010736240.0,446,920 Kumbakonam Loop
Severn Morava,26,,Czech Republic,20536.0,270,Olomouc,475553436330.0,378,682 Halisahar Place
Nagano,50,,Japan,90797.0,508,Ueda,759586584889.0,552,496 Celaya Drive
Hiroshima,50,,Japan,52368.0,342,Onomichi,647899404952.0,382,124 al-Manama Way
Fejr,43,,Hungary,14684.0,598,Székesfehérvár,437829801725.0,512,42 Fontana Avenue
Jakarta Raya,45,,Indonesia,36061.0,157,Jakarta,719202533520.0,232,456 Escobar Way
Punjab,44,,India,22870.0,99,Pathankot,4764773857.0,399,1697 Tanauan Lane
Ruse,17,,Bulgaria,13629.0,546,Ruse,932156667696.0,436,191 José Azueta Parkway
Oyo & Osun,69,,Nigeria,20936.0,84,Ife,701457319790.0,217,1888 Kabul Drive
São Paulo,15,,Brazil,55676.0,550,São Bernardo do Campo,169352919175.0,485,1715 Okayama Street
Pays de la Loire,34,,France,22853.0,166,Le Mans,168476538960.0,297,1740 Le Mans Loop
Western Cape,85,,South Africa,31483.0,343,Paarl,231383037471.0,392,1443 Mardan Street
Yamaguchi,50,,Japan,48980.0,58,Iwakuni,920811325222.0,227,1964 Allappuzha (Alleppey) Street
Hebei,23,,China,28349.0,246,Qinhuangdao,890283544295.0,422,1246 Boksburg Parkway
Haskovo,17,,Bulgaria,99124.0,219,Stara Zagora,352679173732.0,498,1229 Valencia Parkway
Yerevan,7,,Armenia,16744.0,45,Yerevan,42384721397.0,586,42 Brindisi Place
Ibaragi,50,,Japan,14073.0,390,Tama,776031833752.0,521,102 Chapra Drive
Sumqayit,10,,Azerbaijan,49812.0,339,Sumqayit,834626715837.0,505,503 Sogamoso Loop
England,102,,United Kingdom,88002.0,89,Bradford,720998247660.0,88,1557 Kütahya Boulevard
São Paulo,15,,Brazil,20207.0,78,Rio Claro,241832790687.0,431,1206 Dos Quebradas Place
Central Luzon,75,,Philippines,841.0,554,Tarlac,50898428626.0,528,947 Tórshavn Place
North West,85,,South Africa,9827.0,412,Rustenburg,328494873422.0,437,1639 Saarbrücken Drive
West Java,45,,Indonesia,70809.0,416,Cianjur,598912394463.0,117,1445 Carmen Parkway
Southern Tagalog,75,,Philippines,18841.0,354,Imus,53912826864.0,221,953 Hodeida Street
Mandalay,64,,Myanmar,53561.0,8,Myingyan,705814003527.0,349,1566 Inegöl Manor
California,103,,United States,2299.0,218,Sunnyvale,785881412500.0,508,226 Brest Manor
Kerman,46,,Iran,21872.0,454,Sirjan,474047727727.0,481,956 Nam Dinh Manor
Karnataka,44,,India,14408.0,242,Shimoga,918119601885.0,473,1964 Gijón Manor
Antofagasta,22,,Chile,37359.0,49,Antofagasta,675292816413.0,27,1718 Valencia Street
Buenos Aires,6,,Argentina,91299.0,364,Almirante Brown,296394569728.0,20,1623 Kingstown Drive
Pernambuco,15,,Brazil,2800.0,379,Vitória de Santo Antão,600264533987.0,572,1133 Rizhao Avenue
Tatarstan,80,,Russian Federation,52671.0,452,Nabereznyje Tšelny,782900030287.0,352,207 Cuernavaca Loop
Batna,2,,Algeria,52625.0,446,Batna,406784385440.0,59,1924 Shimonoseki Drive
Inner Mongolia,23,,China,85769.0,142,Hohhot,468060467018.0,207,1587 Sullana Lane
West Java,45,,Indonesia,25972.0,530,Purwakarta,35533115997.0,419,1003 Qinhuangdao Street
Jilin,23,,China,69953.0,544,Baicheng,488600270038.0,46,183 Haiphong Street
Central Luzon,75,,Philippines,20777.0,260,Hagonoy,987442542471.0,192,127 Iwakuni Boulevard
Tongatapu,95,,Tonga,46069.0,349,Nuku´alofa,64536069371.0,370,1516 Escobar Drive
al-Qalyubiya,29,,Egypt,96065.0,123,Shubra al-Khayma,787654415858.0,476,1987 Coacalco de Berriozábal Loop
Buenos Aires,6,,Argentina,9599.0,111,Merlo,330838016880.0,334,1532 Dzerzinsk Way
Veracruz,60,,Mexico,71182.0,487,Coatzacoalcos,684529463244.0,125,1785 São Bernardo do Campo Street
North West,85,,South Africa,30418.0,113,Klerksdorp,622255216127.0,273,682 Junan Way
Abu Dhabi,101,,United Arab Emirates,92265.0,102,al-Ayn,412903167998.0,12,669 Firozabad Loop
Dhaka,12,,Bangladesh,1195.0,337,Dhaka,38988715447.0,143,1838 Tabriz Lane
Aden,107,,Yemen,99405.0,214,Aden,756460337785.0,7,751 Lima Loop
Campeche,60,,Mexico,53829.0,584,Carmen,377633994405.0,103,1819 Alessandria Loop
Qaraghandy,51,,Kazakstan,95093.0,579,Zhezqazghan,844018348565.0,598,521 San Juan Bautista Tuxtepec Place
Steiermark,9,,Austria,6802.0,177,Graz,493008546874.0,186,1010 Klerksdorp Way
Perak,59,,Malaysia,58194.0,175,Ipoh,275788967899.0,223,316 Uruapan Street
QLD,8,,Australia,,4,Woodridge,6172235589.0,576,1411 Lillydale Drive
National Capital Reg,75,,Philippines,51990.0,268,Mandaluyong,322888976727.0,323,1831 Nam Dinh Loop
Puerto Plata,27,,Dominican Republic,59489.0,423,San Felipe de Puerto Plata,491271355190.0,450,437 Chungho Drive
Bratislava,84,,Slovakia,97056.0,362,Bratislava,738968474939.0,90,482 Kowloon and New Kowloon Manor
Basel-Stadt,91,,Switzerland,83980.0,65,Basel,1395251317.0,56,915 Ponce Place
West Bengali,44,,India,2834.0,451,Uluberia,39463554936.0,554,1704 Tambaram Manor
Sind,72,,Pakistan,94018.0,421,Dadu,15273765306.0,134,966 Arecibo Loop
Ji´angsu,23,,China,95509.0,389,Huai´an,550306965159.0,210,500 Lincoln Parkway
Buenos Aires,6,,Argentina,40195.0,566,Avellaneda,817740355461.0,43,1229 Varanasi (Benares) Manor
Baden-Wrttemberg,38,,Germany,36490.0,200,Mannheim,331132568928.0,325,1074 Binzhou Manor
Galicia,87,,Spain,4166.0,56,A Coruña (La Coruña),680428310138.0,1,939 Probolinggo Loop
Kurgan,80,,Russian Federation,26385.0,381,Kurgan,96846695220.0,285,1618 Olomouc Manor
Texas,103,,United States,11067.0,405,Dallas,775235029633.0,135,530 Lausanne Lane
Gujarat,44,,India,89294.0,384,Bhavnagar,924815207181.0,73,97 Mogiljov Lane
St George,81,,Saint Vincent and the Grenadines,49833.0,331,Kingstown,961370847344.0,269,1016 Iwakuni Street
Okayama,50,,Japan,46400.0,494,Okayama,37247325001.0,376,591 Sungai Petani Drive
Streymoyar,32,,Faroe Islands,29763.0,322,Tórshavn,46568045367.0,545,1359 Zhoushan Parkway
Adana,97,,Turkey,3313.0,168,Tarsus,697151428760.0,529,842 Salzburg Lane
Ahal,98,,Turkmenistan,8073.0,204,Ashgabat,764477681869.0,35,387 Mwene-Ditu Drive
Oyo & Osun,69,,Nigeria,55802.0,282,Ogbomosho,363982224739.0,374,556 Baybay Manor
Zhejiang,23,,China,39976.0,556,Zhoushan,978430786151.0,599,346 Cam Ranh Avenue
Ha Darom,48,,Israel,73085.0,483,Ashqelon,667648979883.0,36,632 Usolje-Sibirskoje Parkway
Rio Grande do Sul,15,,Brazil,10417.0,403,Bagé,841876514789.0,44,1190 0 Place
Rajasthan,44,,India,55561.0,64,Jaipur,250767749542.0,231,81 Hodeida Way
Texas,103,,United States,18743.0,10,Laredo,860452626434.0,295,1795 Santiago de Compostela Way
Moskova,80,,Russian Federation,81511.0,164,Ljubertsy,149981248346.0,310,1623 Bahía Blanca Manor
Ivanovo,80,,Russian Federation,78311.0,110,Ivanovo,547003310357.0,225,1867 San Juan Bautista Tuxtepec Avenue
Karnataka,44,,India,94352.0,63,Mysore,800024380485.0,350,1213 Ranchi Parkway
Moscow (City),80,,Russian Federation,23616.0,50,Moscow,262076994845.0,343,46 Pjatigorsk Lane
West Bengali,44,,India,58888.0,418,Berhampore (Baharampur),480039662421.0,71,126 Acuña Parkway
Moskova,80,,Russian Federation,33224.0,573,Serpuhov,324346485054.0,466,1407 Surakarta Manor
Asunción,73,,Paraguay,64344.0,230,Asunción,684192903087.0,37,201 Effon-Alaiye Way
Esfahan,46,,Iran,23343.0,464,Qomsheh,762361821578.0,423,76 Kermanshah Manor
Stavropol,80,,Russian Federation,23661.0,492,Pjatigorsk,589377568313.0,408,185 Mannheim Lane
Tamil Nadu,44,,India,79940.0,408,Valparai,206169448769.0,564,990 Etawah Loop
Hubei,23,,China,91400.0,318,Ezhou,613124286867.0,166,1774 Yaoundé Place
Songkhla,94,,Thailand,84931.0,90,Songkhla,135117278909.0,489,870 Ashqelon Loop
Nordrhein-Westfalen,38,,Germany,24321.0,118,Duisburg,886636413768.0,148,442 Rae Bareli Place
Hubei,23,,China,35156.0,520,Zaoyang,288910576761.0,594,1778 Gijón Manor
Northern Mindanao,75,,Philippines,10447.0,466,Gingoog,325526730021.0,182,118 Jaffna Loop
Yamaguchi,50,,Japan,65750.0,33,Shimonoseki,18461860151.0,474,786 Aurora Avenue
Morelos,60,,Mexico,54949.0,328,Cuautla,869051782691.0,130,479 San Felipe del Progreso Avenue
Caraga,75,,Philippines,53182.0,98,Bislig,835433605312.0,82,152 Kitwe Parkway
Madhya Pradesh,44,,India,72878.0,19,Bhopal,990911107354.0,76,419 Iligan Lane
Illinois,103,,United States,83183.0,462,Rockford,924663855568.0,435,1485 Bratislava Place
Copperbelt,109,,Zambia,55405.0,443,Kitwe,689681677428.0,272,1836 Korla Parkway
Lipetsk,80,,Russian Federation,97287.0,104,Jelets,942570536750.0,238,1913 Kamakura Place
Osaka,50,,Japan,19428.0,269,Higashiosaka,303967439816.0,203,446 Kirovo-Tšepetsk Lane
California,103,,United States,87057.0,116,Lancaster,824370924746.0,292,793 Cam Ranh Avenue
Mie,50,,Japan,88408.0,537,Kuwana,427274926505.0,287,958 Sagamihara Lane
