FirstName,NumberChildren,LastName,CreditRating,AddressLine1,NumberCars,MaritalStatus,OwnOrRentFlag,State,AddressLine2,NumberCreditCards,City,Employer,Gender,MiddleInitial,Phone,Age,AgencyID,PostalCode,Income,Country,NetWorth
Netti,3.0,PELLAND,760.0,21847 olympia street,,W,O,MA,,,Fairbanks,Brink's,f,,1-712-522-6088,20.0,PEL0,T6b 1i1,368776.0,United States of America,1058868.0
TRUDY,1.0,LEDUC,555.0,245 congress court,5.0,U,U,PA,APT. 624,6.0,Quebec,,F,,1-626-426-4298,3.0,LED1,77281,177967.0,United States of America,1988185.0
ireland,1.0,latif,566.0,6517 frailing west,2.0,S,O,Alberta,,6.0,Henderson,,,,1-524-787-8784,,lat2,91355,321772.0,United States of America,3673128.0
Misti,1.0,RUDDICK,,11449 blalock park,2.0,W,O,AR,,3.0,Salem,Air Products & Chemicals,,,1-741-997-1688,77.0,RUD3,36615,25449.0,Canada,2005895.0
sarena,3.0,JAYAMANNE,815.0,18354 dodd court,0.0,M,O,OR,Apt. 619,4.0,Toledo,Oshkosh,f,M,1-002-194-1991,21.0,JAY4,t6a 1i3,166567.0,Canada,624736.0
Paulette,4.0,todo,333.0,14117 roxboro street,1.0,M,R,VA,,10.0,Corpus Christi,,M,Z,1-441-371-7651,77.0,tod5,A2b 1v3,43631.0,United States of America,3064615.0
AMALITA,0.0,Kanno,528.0,24697 FLORENCE WEST,4.0,,O,OH,,1.0,Salt Lake City,VeraSun Energy,m,R,1-957-940-5980,23.0,Kan6,49513,466230.0,Canada,3489129.0
Ernesto,2.0,Dinkel,680.0,6488 applewood drive,2.0,M,U,Prince Edward Island,,7.0,Brownsville,IDT,,Z,1-768-633-4096,9.0,Din7,M5d 1v6,420243.0,United States of America,3430744.0
Toby,,Thibodeaux,761.0,17404 gale court,3.0,U,O,NV,,10.0,Escondido,Adams Resources & Energy,,,1-107-689-2155,63.0,Thi8,V6c 1q1,141862.0,United States of America,1743614.0
evangelia,2.0,Mayo,416.0,15913 alexis street,0.0,M,O,Ontario,,,Los Angeles,MGIC Investment,,,1-173-594-6096,32.0,May9,99716,402011.0,United States of America,216299.0
umakanth,2.0,mahendra,493.0,18313 5th lane,2.0,M,O,TX,,9.0,West Covina,Iasis Healthcare,,U,1-561-520-0611,96.0,mah10,A2b 1w1,79928.0,Canada,1528641.0
terrie,0.0,Sizto,564.0,13653 collier avenue,1.0,M,R,NE,,0.0,San Buenaventura,AMR,,,1-730-406-9727,46.0,Siz11,M5F 1W1,109496.0,United States of America,3752907.0
Mary-pat,4.0,crawley,817.0,15306 pike park,1.0,U,U,AR,,0.0,Lexington,Embarq,,,,6.0,cra12,95118,267901.0,United States of America,582378.0
Catherin,5.0,dacal,653.0,1540 crestmere north,3.0,U,R,MI,,8.0,Hay River,Advanced Micro Devices,m,,1-207-867-4589,39.0,dac13,H2f 1v7,487273.0,United States of America,3458824.0
annissa,4.0,HIVELY,587.0,10790 bonita crescent,3.0,M,O,MA,,2.0,Toronto,Cenveo,,W,1-478-629-9641,73.0,HIV14,19217,34013.0,United States of America,469408.0
Amour,2.0,Peschke,472.0,24679 AIRPORT CRESCENT,0.0,S,O,TN,Apt. 290,6.0,Denver,Kelly Services,,,1-026-208-8595,26.0,Pes15,21228,473462.0,United States of America,1504480.0
jenica,4.0,CHILDERHOSE,817.0,7627 douglas road,5.0,M,O,TN,,4.0,St. Paul,Viacom,,,1-432-681-4853,54.0,CHI16,85097,499493.0,Canada,2763009.0
KATTIE,4.0,Dinnin,441.0,6106 ashland east,5.0,M,R,OK,,0.0,Bellevue,Macy's,,,,87.0,Din17,V6j 1q8,266928.0,United States of America,2787199.0
Roselle,3.0,De witte,848.0,1111 norden street,2.0,M,O,Ontario,,6.0,Detroit,Gardner Denver,,M,1-357-207-6320,85.0,De 18,43207,72444.0,United States of America,2789368.0
arlyne,3.0,Mckeegan,843.0,2798 1st east,3.0,U,R,KY,,8.0,Omaha,Family Dollar Stores,m,,1-462-774-1277,86.0,Mck19,V6t 1q8,77290.0,United States of America,2784776.0
Rong-chin,0.0,WINTERS,,11358 elle lee street,2.0,U,R,PA,,,Costa Mesa,,M,P,1-702-382-2898,59.0,WIN20,94467,395066.0,United States of America,288747.0
Darlleen,3.0,BITTMAN,300.0,21074 MALLORY LOWER,5.0,U,O,MD,,0.0,Berkeley,Sun Microsystems,,,1-909-554-7120,94.0,BIT21,94321,119283.0,United States of America,876575.0
