prospect_Ag,prospect_Pho,prospect_NeWor,prospect_Inc,prospect_MariSt,prospect_PosCo,prospect_AgeID,prospect_AddrL2,prospect_C,prospect_CreRat,prospect_NuCrCar,prospect_Ge,prospect_NuChil,prospect_NumC,prospect_Cou,prospect_AddrL1,prospect_MiIn,prospect_LN,prospect_Sta,prospect_FirNa,prospect_Empl,prospect_OwORFl
7.0,1-637-119-9996,321776.0,94490.0,U,Guudshirvcu,Iok7501,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Baltimore,580.0,,,,3.0,United States of America,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,n,Iokwiqojocjanndatkdzgymym,MO,wbwsqgtaa,FM Global,U
48.0,1-560-405-0048,2292324.0,7037.0,S,wyggjewbe,tia7502,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,Kitchener,683.0,2.0,M,4.0,4.0,Canada,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,,tiabxgseasiibxakctfzhfwotp,TX,QGJWCPAPZMWHYHZTNOYSSOQBI,MGIC Investment,R
14.0,1-261-306-5079,969707.0,419269.0,M,YMZRQICUTHT,AOI7503,Cdrxeolwrrxmwmhgexvcstvzz,Saint John,411.0,2.0,,5.0,1.0,,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,u,AOIWIWTIHIXOJ,CT,BHGXDDPUMBESLQMNEPREPTZNNKM,Ross Stores,O
29.0,1-642-299-6655,3899461.0,76681.0,W,Bcjuycmcen,PJQ7504,WKSBVOFGJHQGAEKUYRZHHPH,Berkeley,818.0,9.0,m,5.0,4.0,United States of America,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,,PJQSPMBUHYQKBOZ,UT,Xgnvppcxgfnmawlupgfa,,U
69.0,,3749223.0,209116.0,U,Nujxguyehf,SDV7505,skxijfqpzshmts,Missoula,370.0,7.0,,4.0,2.0,United States of America,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,SDVLJWXENNGWCQMIW,RI,Tfiozpstcftslqtwkgngiiwo,Alliance One International,R
47.0,1-388-257-4273,3658531.0,212203.0,U,Neigswk,Hga7506,ZETOHHRKIBHCQCKZODIXJJSXCFY,Salinas,833.0,6.0,F,0.0,0.0,,Ajpkrmtlcbdzr,F,Hgakmykzeunwkiaxayulpwyxrcuev,DE,fbcahlrhhjoslfzqvvwwvhk,Sally Beauty Holdings,O
0.0,,1738460.0,42018.0,M,WNCEOQPLW,Beo7507,LJXAXKUJXQBGWBHJJAAM,San Jose,536.0,2.0,M,5.0,5.0,Canada,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,D,Beotomyndkiqryllkvpavllytov,NM,Dcgkohfcwyoaxckalqnkrzwq,Wisconsin Energy,U
46.0,1-632-118-1891,3307296.0,90446.0,S,Cskdwtkf,Qum7508,Jmlgjkjbqhrudrkqrm,Cleveland,775.0,0.0,,0.0,0.0,United States of America,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,,Qumxrssnd,WV,Vmnmcsinflxxmmifydckncc,Carpenter Technology,R
6.0,1-853-806-4986,1816419.0,16274.0,M,tcxswloetdt,Hud7509,Qqcilgblxyikgr,Huntington,765.0,3.0,,1.0,1.0,United States of America,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,v,Hudlpfwjagzbnznyhamjkhbf,NH,Vrkbkkxkddtximspigmlbwzt,Liberty Mutual Insurance Group,R
22.0,1-220-687-2027,2599250.0,22215.0,M,Fkpemasoukih,jba7510,Ahtohqjfzfarn,Paterson,555.0,6.0,m,2.0,5.0,Canada,Ycltsquohmuugxihqyluhkoy,,jbabemsfwdyeihxq,WY,RMWCTFTLSVTMCBI,Black & Decker,O
72.0,,490443.0,210038.0,M,NCEVKLQEEWTA,dgc7511,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Greensboro,,3.0,m,1.0,5.0,United States of America,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,dgcnbxfhc,Saskatchewan,Zaijioc,Interstate Bakeries,O
40.0,1-268-630-3843,3348923.0,307402.0,M,DODDIDDHXS,lql7512,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Concord,318.0,9.0,,5.0,4.0,Canada,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,,lqlslgqsvyfxqnzuwbfg,NE,Mdwdjpdfmbqjaygkfqzqx,eBay,O
