MaritalStatus,OwnOrRentFlag,Income,AddressLine1,FirstName,Country,LastName,AgencyID,NumberCars,Gender,AddressLine2,CreditRating,MiddleInitial,NetWorth,Age,Employer,City,NumberChildren,Phone,PostalCode,State,NumberCreditCards
W,O,368776.0,21847 olympia street,Netti,United States of America,PELLAND,PEL0,,f,,760.0,,1058868.0,20.0,Brink's,Fairbanks,3.0,1-712-522-6088,T6b 1i1,MA,
U,U,177967.0,245 congress court,TRUDY,United States of America,LEDUC,LED1,5.0,F,APT. 624,555.0,,1988185.0,3.0,,Quebec,1.0,1-626-426-4298,77281,PA,6.0
S,O,321772.0,6517 frailing west,ireland,United States of America,latif,lat2,2.0,,,566.0,,3673128.0,,,Henderson,1.0,1-524-787-8784,91355,Alberta,6.0
W,O,25449.0,11449 blalock park,Misti,Canada,RUDDICK,RUD3,2.0,,,,,2005895.0,77.0,Air Products & Chemicals,Salem,1.0,1-741-997-1688,36615,AR,3.0
M,O,166567.0,18354 dodd court,sarena,Canada,JAYAMANNE,JAY4,0.0,f,Apt. 619,815.0,M,624736.0,21.0,Oshkosh,Toledo,3.0,1-002-194-1991,t6a 1i3,OR,4.0
M,R,43631.0,14117 roxboro street,Paulette,United States of America,todo,tod5,1.0,M,,333.0,Z,3064615.0,77.0,,Corpus Christi,4.0,1-441-371-7651,A2b 1v3,VA,10.0
,O,466230.0,24697 FLORENCE WEST,AMALITA,Canada,Kanno,Kan6,4.0,m,,528.0,R,3489129.0,23.0,VeraSun Energy,Salt Lake City,0.0,1-957-940-5980,49513,OH,1.0
M,U,420243.0,6488 applewood drive,Ernesto,United States of America,Dinkel,Din7,2.0,,,680.0,Z,3430744.0,9.0,IDT,Brownsville,2.0,1-768-633-4096,M5d 1v6,Prince Edward Island,7.0
U,O,141862.0,17404 gale court,Toby,United States of America,Thibodeaux,Thi8,3.0,,,761.0,,1743614.0,63.0,Adams Resources & Energy,Escondido,,1-107-689-2155,V6c 1q1,NV,10.0
M,O,402011.0,15913 alexis street,evangelia,United States of America,Mayo,May9,0.0,,,416.0,,216299.0,32.0,MGIC Investment,Los Angeles,2.0,1-173-594-6096,99716,Ontario,
M,O,79928.0,18313 5th lane,umakanth,Canada,mahendra,mah10,2.0,,,493.0,U,1528641.0,96.0,Iasis Healthcare,West Covina,2.0,1-561-520-0611,A2b 1w1,TX,9.0
M,R,109496.0,13653 collier avenue,terrie,United States of America,Sizto,Siz11,1.0,,,564.0,,3752907.0,46.0,AMR,San Buenaventura,0.0,1-730-406-9727,M5F 1W1,NE,0.0
U,U,267901.0,15306 pike park,Mary-pat,United States of America,crawley,cra12,1.0,,,817.0,,582378.0,6.0,Embarq,Lexington,4.0,,95118,AR,0.0
U,R,487273.0,1540 crestmere north,Catherin,United States of America,dacal,dac13,3.0,m,,653.0,,3458824.0,39.0,Advanced Micro Devices,Hay River,5.0,1-207-867-4589,H2f 1v7,MI,8.0
M,O,34013.0,10790 bonita crescent,annissa,United States of America,HIVELY,HIV14,3.0,,,587.0,W,469408.0,73.0,Cenveo,Toronto,4.0,1-478-629-9641,19217,MA,2.0
S,O,473462.0,24679 AIRPORT CRESCENT,Amour,United States of America,Peschke,Pes15,0.0,,Apt. 290,472.0,,1504480.0,26.0,Kelly Services,Denver,2.0,1-026-208-8595,21228,TN,6.0
M,O,499493.0,7627 douglas road,jenica,Canada,CHILDERHOSE,CHI16,5.0,,,817.0,,2763009.0,54.0,Viacom,St. Paul,4.0,1-432-681-4853,85097,TN,4.0
M,R,266928.0,6106 ashland east,KATTIE,United States of America,Dinnin,Din17,5.0,,,441.0,,2787199.0,87.0,Macy's,Bellevue,4.0,,V6j 1q8,OK,0.0
M,O,72444.0,1111 norden street,Roselle,United States of America,De witte,De 18,2.0,,,848.0,M,2789368.0,85.0,Gardner Denver,Detroit,3.0,1-357-207-6320,43207,Ontario,6.0
U,R,77290.0,2798 1st east,arlyne,United States of America,Mckeegan,Mck19,3.0,m,,843.0,,2784776.0,86.0,Family Dollar Stores,Omaha,3.0,1-462-774-1277,V6t 1q8,KY,8.0
U,R,395066.0,11358 elle lee street,Rong-chin,United States of America,WINTERS,WIN20,2.0,M,,,P,288747.0,59.0,,Costa Mesa,0.0,1-702-382-2898,94467,PA,
U,O,119283.0,21074 MALLORY LOWER,Darlleen,United States of America,BITTMAN,BIT21,5.0,,,300.0,,876575.0,94.0,Sun Microsystems,Berkeley,3.0,1-909-554-7120,94321,MD,0.0
U,O,330991.0,16124 weyland park,Radoslav,United States of America,luzarraga,luz22,1.0,f,,795.0,V,2041224.0,,Costco Wholesale,St. Louis,1.0,1-752-296-7940,C2a 4w7,TX,8.0
,U,,23822 marvin crescent,Aryn,United States of America,donovan,don23,4.0,,,367.0,S,2231509.0,5.0,Illinois Tool Works,Colorado Springs,0.0,1-995-554-5056,35808,IN,5.0
M,O,252031.0,2203 valita boulevard,Allisan,United States of America,Giallo,Gia24,1.0,,,507.0,T,3206409.0,23.0,Southern Union,Fontana,5.0,1-090-303-3807,M5f 1v6,MD,1.0
M,O,101800.0,11538 COLLINWOOD AVENUE,Ammamaria,United States of America,SPRUELL,SPR25,3.0,M,,362.0,,3850037.0,61.0,Moog,St. Catharines,1.0,1-492-968-0932,99539,KY,9.0
D,O,436977.0,7818 EAST STREET,Mari,United States of America,SKALSKI,SKA26,0.0,F,,527.0,,528440.0,,Old Republic International,Hayward,1.0,1-960-227-2020,95055,CA,7.0
S,O,495334.0,10013 shaw road,Anica,United States of America,Gargul,Gar27,0.0,m,,354.0,,597140.0,51.0,,Palmdale,,1-431-122-8597,93686,FL,0.0
M,O,274685.0,6802 AMES STREET,Melba,United States of America,Dore,Dor28,1.0,,,511.0,,146931.0,97.0,Great Plains Energy,Phoenix,1.0,1-822-836-7200,75218,Newfoundland,1.0
,,320820.0,22501 SUMMIT RUE,Tracee,United States of America,DIOGO,DIO29,2.0,,,412.0,X,353495.0,52.0,Broadcom,Gary,2.0,1-530-117-0497,91174,TX,7.0
S,O,195835.0,291 frances rue,CANADIAN,Canada,Merrick,Mer30,4.0,m,,583.0,,295647.0,98.0,Discover Financial Services,Beaumont,0.0,1-051-257-2719,49515,WA,1.0
U,O,108085.0,16264 sanders east,Oue,United States of America,Atchison,Atc31,5.0,,,710.0,R,408941.0,47.0,UAL,Nashua,3.0,1-171-989-1363,16506,MN,5.0
M,O,260185.0,16068 cantey way,wallie,United States of America,Plamondon,Pla32,2.0,m,,380.0,X,362523.0,47.0,Charles Schwab,San Jose,1.0,1-042-705-3246,94383,WY,9.0
M,R,258323.0,21170 EDLOE BOULEVARD,Andromache,United States of America,SELCHOW,SEL33,0.0,F,,796.0,E,2102359.0,9.0,Coach,Nashua,0.0,1-098-328-2026,T6d 1b3,NY,2.0
M,U,79476.0,885 CROSBY LANE,THOR,United States of America,shane,sha34,1.0,f,,818.0,Z,3480265.0,85.0,DaVita,Fort Smith,3.0,1-209-754-5635,25339,SC,2.0
M,U,102156.0,12235 jay street,SALAH,United States of America,MERWIN,MER35,5.0,,,766.0,,3648900.0,81.0,Marshall & Ilsley Corp.,Lancaster,3.0,1-498-781-3456,V6o 1v4,MS,3.0
