NumberCars,State,Phone,PostalCode,MiddleInitial,AddressLine2,MaritalStatus,City,AgencyID,Gender,LastName,OwnOrRentFlag,CreditRating,NetWorth,Income,NumberChildren,FirstName,Age,Country,NumberCreditCards,AddressLine1,Employer
,MA,1-712-522-6088,T6b 1i1,,,W,Fairbanks,PEL0,f,PELLAND,O,760.0,1058868.0,368776.0,3.0,Netti,20.0,United States of America,,21847 olympia street,Brink's
5.0,PA,1-626-426-4298,77281,,APT. 624,U,Quebec,LED1,F,LEDUC,U,555.0,1988185.0,177967.0,1.0,TRUDY,3.0,United States of America,6.0,245 congress court,
2.0,Alberta,1-524-787-8784,91355,,,S,Henderson,lat2,,latif,O,566.0,3673128.0,321772.0,1.0,ireland,,United States of America,6.0,6517 frailing west,
2.0,AR,1-741-997-1688,36615,,,W,Salem,RUD3,,RUDDICK,O,,2005895.0,25449.0,1.0,Misti,77.0,Canada,3.0,11449 blalock park,Air Products & Chemicals
0.0,OR,1-002-194-1991,t6a 1i3,M,Apt. 619,M,Toledo,JAY4,f,JAYAMANNE,O,815.0,624736.0,166567.0,3.0,sarena,21.0,Canada,4.0,18354 dodd court,Oshkosh
1.0,VA,1-441-371-7651,A2b 1v3,Z,,M,Corpus Christi,tod5,M,todo,R,333.0,3064615.0,43631.0,4.0,Paulette,77.0,United States of America,10.0,14117 roxboro street,
4.0,OH,1-957-940-5980,49513,R,,,Salt Lake City,Kan6,m,Kanno,O,528.0,3489129.0,466230.0,0.0,AMALITA,23.0,Canada,1.0,24697 FLORENCE WEST,VeraSun Energy
2.0,Prince Edward Island,1-768-633-4096,M5d 1v6,Z,,M,Brownsville,Din7,,Dinkel,U,680.0,3430744.0,420243.0,2.0,Ernesto,9.0,United States of America,7.0,6488 applewood drive,IDT
3.0,NV,1-107-689-2155,V6c 1q1,,,U,Escondido,Thi8,,Thibodeaux,O,761.0,1743614.0,141862.0,,Toby,63.0,United States of America,10.0,17404 gale court,Adams Resources & Energy
0.0,Ontario,1-173-594-6096,99716,,,M,Los Angeles,May9,,Mayo,O,416.0,216299.0,402011.0,2.0,evangelia,32.0,United States of America,,15913 alexis street,MGIC Investment
2.0,TX,1-561-520-0611,A2b 1w1,U,,M,West Covina,mah10,,mahendra,O,493.0,1528641.0,79928.0,2.0,umakanth,96.0,Canada,9.0,18313 5th lane,Iasis Healthcare
1.0,NE,1-730-406-9727,M5F 1W1,,,M,San Buenaventura,Siz11,,Sizto,R,564.0,3752907.0,109496.0,0.0,terrie,46.0,United States of America,0.0,13653 collier avenue,AMR
1.0,AR,,95118,,,U,Lexington,cra12,,crawley,U,817.0,582378.0,267901.0,4.0,Mary-pat,6.0,United States of America,0.0,15306 pike park,Embarq
3.0,MI,1-207-867-4589,H2f 1v7,,,U,Hay River,dac13,m,dacal,R,653.0,3458824.0,487273.0,5.0,Catherin,39.0,United States of America,8.0,1540 crestmere north,Advanced Micro Devices
3.0,MA,1-478-629-9641,19217,W,,M,Toronto,HIV14,,HIVELY,O,587.0,469408.0,34013.0,4.0,annissa,73.0,United States of America,2.0,10790 bonita crescent,Cenveo
0.0,TN,1-026-208-8595,21228,,Apt. 290,S,Denver,Pes15,,Peschke,O,472.0,1504480.0,473462.0,2.0,Amour,26.0,United States of America,6.0,24679 AIRPORT CRESCENT,Kelly Services
5.0,TN,1-432-681-4853,85097,,,M,St. Paul,CHI16,,CHILDERHOSE,O,817.0,2763009.0,499493.0,4.0,jenica,54.0,Canada,4.0,7627 douglas road,Viacom
5.0,OK,,V6j 1q8,,,M,Bellevue,Din17,,Dinnin,R,441.0,2787199.0,266928.0,4.0,KATTIE,87.0,United States of America,0.0,6106 ashland east,Macy's
2.0,Ontario,1-357-207-6320,43207,M,,M,Detroit,De 18,,De witte,O,848.0,2789368.0,72444.0,3.0,Roselle,85.0,United States of America,6.0,1111 norden street,Gardner Denver
3.0,KY,1-462-774-1277,V6t 1q8,,,U,Omaha,Mck19,m,Mckeegan,R,843.0,2784776.0,77290.0,3.0,arlyne,86.0,United States of America,8.0,2798 1st east,Family Dollar Stores
2.0,PA,1-702-382-2898,94467,P,,U,Costa Mesa,WIN20,M,WINTERS,R,,288747.0,395066.0,0.0,Rong-chin,59.0,United States of America,,11358 elle lee street,
5.0,MD,1-909-554-7120,94321,,,U,Berkeley,BIT21,,BITTMAN,O,300.0,876575.0,119283.0,3.0,Darlleen,94.0,United States of America,0.0,21074 MALLORY LOWER,Sun Microsystems
1.0,TX,1-752-296-7940,C2a 4w7,V,,U,St. Louis,luz22,f,luzarraga,O,795.0,2041224.0,330991.0,1.0,Radoslav,,United States of America,8.0,16124 weyland park,Costco Wholesale
4.0,IN,1-995-554-5056,35808,S,,,Colorado Springs,don23,,donovan,U,367.0,2231509.0,,0.0,Aryn,5.0,United States of America,5.0,23822 marvin crescent,Illinois Tool Works
1.0,MD,1-090-303-3807,M5f 1v6,T,,M,Fontana,Gia24,,Giallo,O,507.0,3206409.0,252031.0,5.0,Allisan,23.0,United States of America,1.0,2203 valita boulevard,Southern Union
3.0,KY,1-492-968-0932,99539,,,M,St. Catharines,SPR25,M,SPRUELL,O,362.0,3850037.0,101800.0,1.0,Ammamaria,61.0,United States of America,9.0,11538 COLLINWOOD AVENUE,Moog
0.0,CA,1-960-227-2020,95055,,,D,Hayward,SKA26,F,SKALSKI,O,527.0,528440.0,436977.0,1.0,Mari,,United States of America,7.0,7818 EAST STREET,Old Republic International
0.0,FL,1-431-122-8597,93686,,,S,Palmdale,Gar27,m,Gargul,O,354.0,597140.0,495334.0,,Anica,51.0,United States of America,0.0,10013 shaw road,
1.0,Newfoundland,1-822-836-7200,75218,,,M,Phoenix,Dor28,,Dore,O,511.0,146931.0,274685.0,1.0,Melba,97.0,United States of America,1.0,6802 AMES STREET,Great Plains Energy
2.0,TX,1-530-117-0497,91174,X,,,Gary,DIO29,,DIOGO,,412.0,353495.0,320820.0,2.0,Tracee,52.0,United States of America,7.0,22501 SUMMIT RUE,Broadcom
4.0,WA,1-051-257-2719,49515,,,S,Beaumont,Mer30,m,Merrick,O,583.0,295647.0,195835.0,0.0,CANADIAN,98.0,Canada,1.0,291 frances rue,Discover Financial Services
5.0,MN,1-171-989-1363,16506,R,,U,Nashua,Atc31,,Atchison,O,710.0,408941.0,108085.0,3.0,Oue,47.0,United States of America,5.0,16264 sanders east,UAL
2.0,WY,1-042-705-3246,94383,X,,M,San Jose,Pla32,m,Plamondon,O,380.0,362523.0,260185.0,1.0,wallie,47.0,United States of America,9.0,16068 cantey way,Charles Schwab
0.0,NY,1-098-328-2026,T6d 1b3,E,,M,Nashua,SEL33,F,SELCHOW,R,796.0,2102359.0,258323.0,0.0,Andromache,9.0,United States of America,2.0,21170 EDLOE BOULEVARD,Coach
1.0,SC,1-209-754-5635,25339,Z,,M,Fort Smith,sha34,f,shane,U,818.0,3480265.0,79476.0,3.0,THOR,85.0,United States of America,2.0,885 CROSBY LANE,DaVita
5.0,MS,1-498-781-3456,V6o 1v4,,,M,Lancaster,MER35,,MERWIN,U,766.0,3648900.0,102156.0,3.0,SALAH,81.0,United States of America,3.0,12235 jay street,Marshall & Ilsley Corp.
2.0,UT,1-615-241-0440,01852,,,M,Colorado Springs,con36,,conrad,O,359.0,1161790.0,221481.0,3.0,HOR-LAM,0.0,United States of America,2.0,20340 LOMBARD CRESCENT,Cablevision Systems
1.0,PA,1-995-449-5200,78230,,,S,Washington,ons37,M,onsiteteam,R,401.0,2050587.0,41836.0,5.0,Vania,28.0,United States of America,2.0,22074 dexter upper,Barnes & Noble
1.0,OK,1-295-673-4452,93770,,,U,Lowell,Sum38,M,Summerlin,O,609.0,3579198.0,72389.0,1.0,Niel,65.0,Canada,0.0,1540 MURIE RUE,EMC
3.0,WY,1-914-675-2986,m4l 1n4,F,,S,Frederick,gro39,,grooms,O,630.0,889494.0,66486.0,0.0,ziad,20.0,United States of America,2.0,7075 glen loch drive,Fluor
3.0,RI,,22335,I,Apt. 382,M,Mesa,dil40,,dilkie,O,671.0,2205682.0,200185.0,1.0,Claude,55.0,United States of America,9.0,11237 balmoral way,Dollar General
0.0,HI,1-825-739-0336,V6C 1T4,,,U,Lakewood,DOL41,,DOLSON,O,715.0,1140117.0,289215.0,2.0,AVTAR,76.0,United States of America,10.0,8316 GARDEN BROOK NORTH,Lear
4.0,VA,1-956-713-3802,M6t 1h3,,,M,Cleveland,Pos42,,Posthumus,O,707.0,1421319.0,322484.0,1.0,Donny,1.0,United States of America,9.0,2240 clifton lower,J.P. Morgan Chase & Co.
4.0,OK,1-814-932-1579,95263,,,M,Grand Rapids,Mac43,,Machika,O,329.0,3525204.0,83458.0,2.0,Cocos,3.0,United States of America,0.0,20907 NOTINGHAM LOWER,Affinia Group Intermediate
0.0,Prince Edward Island,1-135-443-7282,v5b 1p5,,,D,Peoria,che44,,chenoweth,R,601.0,468976.0,,3.0,ruud,100.0,United States of America,8.0,601 carroll lower,
5.0,SD,1-720-975-0667,32318,,,W,Inglewood,hol45,,holbrooks,O,623.0,1685443.0,492407.0,1.0,Belvia,81.0,United States of America,2.0,18267 state drive,Goldman Sachs Group
4.0,OH,1-871-598-3505,93872,,,S,Akron,pfi46,f,pfieffer,O,376.0,337564.0,346630.0,4.0,ATHAR,76.0,United States of America,2.0,9270 LEAF SOUTH,E*Trade Financial
1.0,MA,1-607-222-4809,92824,Y,,W,Charlottetown,elk47,,elkington,O,560.0,84777.0,9572.0,3.0,Cherey,51.0,Canada,0.0,18582 PERIMETER BOULEVARD,Pfizer
1.0,MD,1-965-046-0642,e4a 1r2,,,,Bellevue,Lab48,F,Labenek,O,693.0,3146477.0,265369.0,5.0,RAZ,,United States of America,4.0,9612 park stream upper,Safeway
1.0,Saskatchewan,1-155-441-3579,H7G 1V4,Y,,S,Dover,laf49,,laferriere,U,346.0,495277.0,104172.0,2.0,kishore,58.0,United States of America,0.0,2803 clearwater north,Simon Property Group
