AgencyID,CreditRating,Employer,OwnOrRentFlag,AddressLine1,Phone,NetWorth,PostalCode,Income,MaritalStatus,Age,Country,Gender,State,NumberCreditCards,AddressLine2,City,NumberCars,NumberChildren
PEL0,760.0,Brink's,O,21847 olympia street,1-712-522-6088,1058868.0,T6b 1i1,368776.0,W,20.0,United States of America,f,MA,,,Fairbanks,,3.0
LED1,555.0,,U,245 congress court,1-626-426-4298,1988185.0,77281,177967.0,U,3.0,United States of America,F,PA,6.0,APT. 624,Quebec,5.0,1.0
lat2,566.0,,O,6517 frailing west,1-524-787-8784,3673128.0,91355,321772.0,S,,United States of America,,Alberta,6.0,,Henderson,2.0,1.0
RUD3,,Air Products & Chemicals,O,11449 blalock park,1-741-997-1688,2005895.0,36615,25449.0,W,77.0,Canada,,AR,3.0,,Salem,2.0,1.0
JAY4,815.0,Oshkosh,O,18354 dodd court,1-002-194-1991,624736.0,t6a 1i3,166567.0,M,21.0,Canada,f,OR,4.0,Apt. 619,Toledo,0.0,3.0
tod5,333.0,,R,14117 roxboro street,1-441-371-7651,3064615.0,A2b 1v3,43631.0,M,77.0,United States of America,M,VA,10.0,,Corpus Christi,1.0,4.0
Kan6,528.0,VeraSun Energy,O,24697 FLORENCE WEST,1-957-940-5980,3489129.0,49513,466230.0,,23.0,Canada,m,OH,1.0,,Salt Lake City,4.0,0.0
Din7,680.0,IDT,U,6488 applewood drive,1-768-633-4096,3430744.0,M5d 1v6,420243.0,M,9.0,United States of America,,Prince Edward Island,7.0,,Brownsville,2.0,2.0
Thi8,761.0,Adams Resources & Energy,O,17404 gale court,1-107-689-2155,1743614.0,V6c 1q1,141862.0,U,63.0,United States of America,,NV,10.0,,Escondido,3.0,
May9,416.0,MGIC Investment,O,15913 alexis street,1-173-594-6096,216299.0,99716,402011.0,M,32.0,United States of America,,Ontario,,,Los Angeles,0.0,2.0
mah10,493.0,Iasis Healthcare,O,18313 5th lane,1-561-520-0611,1528641.0,A2b 1w1,79928.0,M,96.0,Canada,,TX,9.0,,West Covina,2.0,2.0
Siz11,564.0,AMR,R,13653 collier avenue,1-730-406-9727,3752907.0,M5F 1W1,109496.0,M,46.0,United States of America,,NE,0.0,,San Buenaventura,1.0,0.0
cra12,817.0,Embarq,U,15306 pike park,,582378.0,95118,267901.0,U,6.0,United States of America,,AR,0.0,,Lexington,1.0,4.0
dac13,653.0,Advanced Micro Devices,R,1540 crestmere north,1-207-867-4589,3458824.0,H2f 1v7,487273.0,U,39.0,United States of America,m,MI,8.0,,Hay River,3.0,5.0
HIV14,587.0,Cenveo,O,10790 bonita crescent,1-478-629-9641,469408.0,19217,34013.0,M,73.0,United States of America,,MA,2.0,,Toronto,3.0,4.0
Pes15,472.0,Kelly Services,O,24679 AIRPORT CRESCENT,1-026-208-8595,1504480.0,21228,473462.0,S,26.0,United States of America,,TN,6.0,Apt. 290,Denver,0.0,2.0
CHI16,817.0,Viacom,O,7627 douglas road,1-432-681-4853,2763009.0,85097,499493.0,M,54.0,Canada,,TN,4.0,,St. Paul,5.0,4.0
Din17,441.0,Macy's,R,6106 ashland east,,2787199.0,V6j 1q8,266928.0,M,87.0,United States of America,,OK,0.0,,Bellevue,5.0,4.0
De 18,848.0,Gardner Denver,O,1111 norden street,1-357-207-6320,2789368.0,43207,72444.0,M,85.0,United States of America,,Ontario,6.0,,Detroit,2.0,3.0
Mck19,843.0,Family Dollar Stores,R,2798 1st east,1-462-774-1277,2784776.0,V6t 1q8,77290.0,U,86.0,United States of America,m,KY,8.0,,Omaha,3.0,3.0
WIN20,,,R,11358 elle lee street,1-702-382-2898,288747.0,94467,395066.0,U,59.0,United States of America,M,PA,,,Costa Mesa,2.0,0.0
BIT21,300.0,Sun Microsystems,O,21074 MALLORY LOWER,1-909-554-7120,876575.0,94321,119283.0,U,94.0,United States of America,,MD,0.0,,Berkeley,5.0,3.0
luz22,795.0,Costco Wholesale,O,16124 weyland park,1-752-296-7940,2041224.0,C2a 4w7,330991.0,U,,United States of America,f,TX,8.0,,St. Louis,1.0,1.0
don23,367.0,Illinois Tool Works,U,23822 marvin crescent,1-995-554-5056,2231509.0,35808,,,5.0,United States of America,,IN,5.0,,Colorado Springs,4.0,0.0
Gia24,507.0,Southern Union,O,2203 valita boulevard,1-090-303-3807,3206409.0,M5f 1v6,252031.0,M,23.0,United States of America,,MD,1.0,,Fontana,1.0,5.0
SPR25,362.0,Moog,O,11538 COLLINWOOD AVENUE,1-492-968-0932,3850037.0,99539,101800.0,M,61.0,United States of America,M,KY,9.0,,St. Catharines,3.0,1.0
SKA26,527.0,Old Republic International,O,7818 EAST STREET,1-960-227-2020,528440.0,95055,436977.0,D,,United States of America,F,CA,7.0,,Hayward,0.0,1.0
Gar27,354.0,,O,10013 shaw road,1-431-122-8597,597140.0,93686,495334.0,S,51.0,United States of America,m,FL,0.0,,Palmdale,0.0,
Dor28,511.0,Great Plains Energy,O,6802 AMES STREET,1-822-836-7200,146931.0,75218,274685.0,M,97.0,United States of America,,Newfoundland,1.0,,Phoenix,1.0,1.0
DIO29,412.0,Broadcom,,22501 SUMMIT RUE,1-530-117-0497,353495.0,91174,320820.0,,52.0,United States of America,,TX,7.0,,Gary,2.0,2.0
Mer30,583.0,Discover Financial Services,O,291 frances rue,1-051-257-2719,295647.0,49515,195835.0,S,98.0,Canada,m,WA,1.0,,Beaumont,4.0,0.0
Atc31,710.0,UAL,O,16264 sanders east,1-171-989-1363,408941.0,16506,108085.0,U,47.0,United States of America,,MN,5.0,,Nashua,5.0,3.0
Pla32,380.0,Charles Schwab,O,16068 cantey way,1-042-705-3246,362523.0,94383,260185.0,M,47.0,United States of America,m,WY,9.0,,San Jose,2.0,1.0
SEL33,796.0,Coach,R,21170 EDLOE BOULEVARD,1-098-328-2026,2102359.0,T6d 1b3,258323.0,M,9.0,United States of America,F,NY,2.0,,Nashua,0.0,0.0
sha34,818.0,DaVita,U,885 CROSBY LANE,1-209-754-5635,3480265.0,25339,79476.0,M,85.0,United States of America,f,SC,2.0,,Fort Smith,1.0,3.0
MER35,766.0,Marshall & Ilsley Corp.,U,12235 jay street,1-498-781-3456,3648900.0,V6o 1v4,102156.0,M,81.0,United States of America,,MS,3.0,,Lancaster,5.0,3.0
con36,359.0,Cablevision Systems,O,20340 LOMBARD CRESCENT,1-615-241-0440,1161790.0,01852,221481.0,M,0.0,United States of America,,UT,2.0,,Colorado Springs,2.0,3.0
ons37,401.0,Barnes & Noble,R,22074 dexter upper,1-995-449-5200,2050587.0,78230,41836.0,S,28.0,United States of America,M,PA,2.0,,Washington,1.0,5.0
Sum38,609.0,EMC,O,1540 MURIE RUE,1-295-673-4452,3579198.0,93770,72389.0,U,65.0,Canada,M,OK,0.0,,Lowell,1.0,1.0
gro39,630.0,Fluor,O,7075 glen loch drive,1-914-675-2986,889494.0,m4l 1n4,66486.0,S,20.0,United States of America,,WY,2.0,,Frederick,3.0,0.0
dil40,671.0,Dollar General,O,11237 balmoral way,,2205682.0,22335,200185.0,M,55.0,United States of America,,RI,9.0,Apt. 382,Mesa,3.0,1.0
DOL41,715.0,Lear,O,8316 GARDEN BROOK NORTH,1-825-739-0336,1140117.0,V6C 1T4,289215.0,U,76.0,United States of America,,HI,10.0,,Lakewood,0.0,2.0
Pos42,707.0,J.P. Morgan Chase & Co.,O,2240 clifton lower,1-956-713-3802,1421319.0,M6t 1h3,322484.0,M,1.0,United States of America,,VA,9.0,,Cleveland,4.0,1.0
Mac43,329.0,Affinia Group Intermediate,O,20907 NOTINGHAM LOWER,1-814-932-1579,3525204.0,95263,83458.0,M,3.0,United States of America,,OK,0.0,,Grand Rapids,4.0,2.0
che44,601.0,,R,601 carroll lower,1-135-443-7282,468976.0,v5b 1p5,,D,100.0,United States of America,,Prince Edward Island,8.0,,Peoria,0.0,3.0
hol45,623.0,Goldman Sachs Group,O,18267 state drive,1-720-975-0667,1685443.0,32318,492407.0,W,81.0,United States of America,,SD,2.0,,Inglewood,5.0,1.0
pfi46,376.0,E*Trade Financial,O,9270 LEAF SOUTH,1-871-598-3505,337564.0,93872,346630.0,S,76.0,United States of America,f,OH,2.0,,Akron,4.0,4.0
elk47,560.0,Pfizer,O,18582 PERIMETER BOULEVARD,1-607-222-4809,84777.0,92824,9572.0,W,51.0,Canada,,MA,0.0,,Charlottetown,1.0,3.0
Lab48,693.0,Safeway,O,9612 park stream upper,1-965-046-0642,3146477.0,e4a 1r2,265369.0,,,United States of America,F,MD,4.0,,Bellevue,1.0,5.0
laf49,346.0,Simon Property Group,U,2803 clearwater north,1-155-441-3579,495277.0,H7G 1V4,104172.0,S,58.0,United States of America,,Saskatchewan,0.0,,Dover,1.0,2.0
Nor50,342.0,Trinity Industries,O,11103 BISSONNET WEST,,746904.0,85039,65550.0,M,52.0,United States of America,,WA,0.0,,Fullerton,0.0,3.0
hag51,563.0,Solutia,R,4652 outervale lane,1-544-132-7237,1219620.0,v6m 1q3,,M,91.0,Canada,,OH,8.0,,Denver,2.0,0.0
Bet52,391.0,,O,341 dunbar west,1-821-089-2089,1718910.0,X7j 1r1,,M,17.0,United States of America,m,WY,4.0,,Dallas,2.0,3.0
Van53,381.0,A.O. Smith,O,16176 vernon drive,1-135-391-9787,,B8b 1z5,66244.0,S,6.0,United States of America,m,NJ,8.0,,San Jose,4.0,4.0
