prospect_PosCo,prospect_AdLi2,prospect_NuChi,prospect_St,prospect_AgeID,prospect_A,prospect_Coun,prospect_FirNa,prospect_MariSt,prospect_NumC,prospect_Empl,prospect_NuCreCar,prospect_Ge,prospect_AddLi1,prospect_CreRa,prospect_Ph,prospect_Ci,prospect_LaNa,prospect_OwOReF,prospect_NeWor,prospect_In,prospect_MidIn
Guudshirvcu,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,,MO,Iok7501,7.0,United States of America,wbwsqgtaa,U,3.0,FM Global,,,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,580.0,1-637-119-9996,Baltimore,Iokwiqojocjanndatkdzgymym,U,321776.0,94490.0,n
wyggjewbe,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,4.0,TX,tia7502,48.0,Canada,QGJWCPAPZMWHYHZTNOYSSOQBI,S,4.0,MGIC Investment,2.0,M,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,683.0,1-560-405-0048,Kitchener,tiabxgseasiibxakctfzhfwotp,R,2292324.0,7037.0,
YMZRQICUTHT,Cdrxeolwrrxmwmhgexvcstvzz,5.0,CT,AOI7503,14.0,,BHGXDDPUMBESLQMNEPREPTZNNKM,M,1.0,Ross Stores,2.0,,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,411.0,1-261-306-5079,Saint John,AOIWIWTIHIXOJ,O,969707.0,419269.0,u
Bcjuycmcen,WKSBVOFGJHQGAEKUYRZHHPH,5.0,UT,PJQ7504,29.0,United States of America,Xgnvppcxgfnmawlupgfa,W,4.0,,9.0,m,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,818.0,1-642-299-6655,Berkeley,PJQSPMBUHYQKBOZ,U,3899461.0,76681.0,
Nujxguyehf,skxijfqpzshmts,4.0,RI,SDV7505,69.0,United States of America,Tfiozpstcftslqtwkgngiiwo,U,2.0,Alliance One International,7.0,,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,370.0,,Missoula,SDVLJWXENNGWCQMIW,R,3749223.0,209116.0,
Neigswk,ZETOHHRKIBHCQCKZODIXJJSXCFY,0.0,DE,Hga7506,47.0,,fbcahlrhhjoslfzqvvwwvhk,U,0.0,Sally Beauty Holdings,6.0,F,Ajpkrmtlcbdzr,833.0,1-388-257-4273,Salinas,Hgakmykzeunwkiaxayulpwyxrcuev,O,3658531.0,212203.0,F
WNCEOQPLW,LJXAXKUJXQBGWBHJJAAM,5.0,NM,Beo7507,0.0,Canada,Dcgkohfcwyoaxckalqnkrzwq,M,5.0,Wisconsin Energy,2.0,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,536.0,,San Jose,Beotomyndkiqryllkvpavllytov,U,1738460.0,42018.0,D
Cskdwtkf,Jmlgjkjbqhrudrkqrm,0.0,WV,Qum7508,46.0,United States of America,Vmnmcsinflxxmmifydckncc,S,0.0,Carpenter Technology,0.0,,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,775.0,1-632-118-1891,Cleveland,Qumxrssnd,R,3307296.0,90446.0,
tcxswloetdt,Qqcilgblxyikgr,1.0,NH,Hud7509,6.0,United States of America,Vrkbkkxkddtximspigmlbwzt,M,1.0,Liberty Mutual Insurance Group,3.0,,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,765.0,1-853-806-4986,Huntington,Hudlpfwjagzbnznyhamjkhbf,R,1816419.0,16274.0,v
Fkpemasoukih,Ahtohqjfzfarn,2.0,WY,jba7510,22.0,Canada,RMWCTFTLSVTMCBI,M,5.0,Black & Decker,6.0,m,Ycltsquohmuugxihqyluhkoy,555.0,1-220-687-2027,Paterson,jbabemsfwdyeihxq,O,2599250.0,22215.0,
