prospect_gncd,prospect_ntwrth,prospect_ddrssln2,prospect_ddrssln1,prospect_pstlcd,prospect_nmbrchldrn,prospect_lstnm,prospect_phn,prospect_nmbrcrdtcrds,prospect_cntr,prospect_frstnm,prospect_nmbrcrs,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr
PEL0,1058868.0,,21847 olympia street,T6b 1i1,3.0,PELLAND,1-712-522-6088,,United States of America,Netti,,W,20.0,760.0,O,Brink's
LED1,1988185.0,APT. 624,245 congress court,77281,1.0,LEDUC,1-626-426-4298,6.0,United States of America,TRUDY,5.0,U,3.0,555.0,U,
lat2,3673128.0,,6517 frailing west,91355,1.0,latif,1-524-787-8784,6.0,United States of America,ireland,2.0,S,,566.0,O,
RUD3,2005895.0,,11449 blalock park,36615,1.0,RUDDICK,1-741-997-1688,3.0,Canada,Misti,2.0,W,77.0,,O,Air Products & Chemicals
JAY4,624736.0,Apt. 619,18354 dodd court,t6a 1i3,3.0,JAYAMANNE,1-002-194-1991,4.0,Canada,sarena,0.0,M,21.0,815.0,O,Oshkosh
tod5,3064615.0,,14117 roxboro street,A2b 1v3,4.0,todo,1-441-371-7651,10.0,United States of America,Paulette,1.0,M,77.0,333.0,R,
Kan6,3489129.0,,24697 FLORENCE WEST,49513,0.0,Kanno,1-957-940-5980,1.0,Canada,AMALITA,4.0,,23.0,528.0,O,VeraSun Energy
Din7,3430744.0,,6488 applewood drive,M5d 1v6,2.0,Dinkel,1-768-633-4096,7.0,United States of America,Ernesto,2.0,M,9.0,680.0,U,IDT
Thi8,1743614.0,,17404 gale court,V6c 1q1,,Thibodeaux,1-107-689-2155,10.0,United States of America,Toby,3.0,U,63.0,761.0,O,Adams Resources & Energy
May9,216299.0,,15913 alexis street,99716,2.0,Mayo,1-173-594-6096,,United States of America,evangelia,0.0,M,32.0,416.0,O,MGIC Investment
mah10,1528641.0,,18313 5th lane,A2b 1w1,2.0,mahendra,1-561-520-0611,9.0,Canada,umakanth,2.0,M,96.0,493.0,O,Iasis Healthcare
Siz11,3752907.0,,13653 collier avenue,M5F 1W1,0.0,Sizto,1-730-406-9727,0.0,United States of America,terrie,1.0,M,46.0,564.0,R,AMR
cra12,582378.0,,15306 pike park,95118,4.0,crawley,,0.0,United States of America,Mary-pat,1.0,U,6.0,817.0,U,Embarq
dac13,3458824.0,,1540 crestmere north,H2f 1v7,5.0,dacal,1-207-867-4589,8.0,United States of America,Catherin,3.0,U,39.0,653.0,R,Advanced Micro Devices
