indirizzo2,negozio_id,distretto,codice_postale,data_creazione,cognome,cliente_id,indirizzo_id,attivo,telefono,email,indirizzo,nome,città_id
,2,Michoacn de Ocampo,95444,2006-02-14 22:04:36,DANIELS,150,154,1,632316273199,DANIELLE.DANIELS@sakilacustomer.org,781 Shimonoseki Drive,DANIELLE,202
,2,Mekka,6856,2006-02-14 22:04:36,RAMIREZ,70,74,1,407733804223,CHRISTINA.RAMIREZ@sakilacustomer.org,1124 Buenaventura Drive,CHRISTINA,13
,1,Missouri,85505,2006-02-14 22:04:36,COOPER,62,66,1,914090181665,JOAN.COOPER@sakilacustomer.org,1717 Guadalajara Lane,JOAN,441
,2,Washington,25053,2006-02-14 22:04:36,RICHARDS,212,216,1,168758068397,WILMA.RICHARDS@sakilacustomer.org,660 Jedda Boulevard,WILMA,65
,2,Gois,55709,2006-02-14 22:04:36,ANDREWS,183,187,1,947468818183,IDA.ANDREWS@sakilacustomer.org,1839 Székesfehérvár Parkway,IDA,317
,1,Western Cape,31483,2006-02-14 22:04:37,GILMAN,338,343,1,231383037471,DENNIS.GILMAN@sakilacustomer.org,1443 Mardan Street,DENNIS,392
,1,Lubelskie,16370,2006-02-14 22:04:37,GEARY,501,506,1,52709222667,RUBEN.GEARY@sakilacustomer.org,414 Mandaluyong Street,RUBEN,314
,1,Bihar,60622,2006-02-14 22:04:37,CARBONE,419,424,1,987306329957,CHAD.CARBONE@sakilacustomer.org,1948 Bayugan Parkway,CHAD,264
,2,Texas,77464,2006-02-14 22:04:37,STILL,561,567,1,239357986667,IAN.STILL@sakilacustomer.org,1894 Boa Vista Way,IAN,178
,2,Okinawa,45750,2006-02-14 22:04:37,SCHWARZ,365,370,1,634445428822,BRUCE.SCHWARZ@sakilacustomer.org,1565 Tangail Manor,BRUCE,377
,1,Buenos Aires,75543,2006-02-14 22:04:36,FLORES,89,93,1,846225459260,JULIA.FLORES@sakilacustomer.org,1926 El Alto Avenue,JULIA,289
,2,Sichuan,77397,2006-02-14 22:04:37,GARDINER,569,575,1,128499386727,DAVE.GARDINER@sakilacustomer.org,1052 Pathankot Avenue,DAVE,299
,1,Zufar,50592,2006-02-14 22:04:37,SANBORN,498,503,1,144206758053,GENE.SANBORN@sakilacustomer.org,1416 San Juan Bautista Tuxtepec Avenue,GENE,444
,2,West Bengali,30348,2006-02-14 22:04:36,WRIGHT,31,35,1,745994947458,BRENDA.WRIGHT@sakilacustomer.org,33 Gorontalo Way,BRENDA,257
,2,Southern Tagalog,21615,2006-02-14 22:04:37,MORRELL,388,393,1,426255288071,CRAIG.MORRELL@sakilacustomer.org,717 Changzhou Lane,CRAIG,104
,2,São Paulo,47288,2006-02-14 22:04:36,SNYDER,178,182,1,391065549876,MARION.SNYDER@sakilacustomer.org,1891 Rizhao Boulevard,MARION,456
,2,Shandong,72349,2006-02-14 22:04:37,WREN,496,501,1,211256301880,TYLER.WREN@sakilacustomer.org,1060 Tandil Lane,TYLER,432
,2,Nordrhein-Westfalen,24321,2006-02-14 22:04:36,ELLIS,114,118,1,886636413768,GRACE.ELLIS@sakilacustomer.org,442 Rae Bareli Place,GRACE,148
,1,Central Java,23636,2006-02-14 22:04:37,ROBB,450,455,1,834061016202,JAY.ROBB@sakilacustomer.org,1947 Paarl Way,JAY,509
,2,Midi-Pyrnes,34021,2006-02-14 22:04:36,GREEN,35,39,1,440512153169,VIRGINIA.GREEN@sakilacustomer.org,391 Callao Drive,VIRGINIA,544
,1,Uttar Pradesh,15643,2006-02-14 22:04:37,MARK,336,341,1,869507847714,JOSHUA.MARK@sakilacustomer.org,1920 Weifang Avenue,JOSHUA,427
,1,Baja California,36170,2006-02-14 22:04:37,GRAF,343,348,1,895616862749,DOUGLAS.GRAF@sakilacustomer.org,785 Vaduz Street,DOUGLAS,335
,2,Mazowieckie,943,2006-02-14 22:04:37,CHISHOLM,571,577,1,770864062795,JOHNNIE.CHISHOLM@sakilacustomer.org,1501 Pangkal Pinang Avenue,JOHNNIE,409
,1,Uttar Pradesh,58186,2006-02-14 22:04:36,GOMEZ,121,125,1,665993880048,JOSEPHINE.GOMEZ@sakilacustomer.org,211 Chiayi Drive,JOSEPHINE,164
,1,West Java,25972,2006-02-14 22:04:37,ELY,524,530,1,35533115997,JARED.ELY@sakilacustomer.org,1003 Qinhuangdao Street,JARED,419
,1,Guerrero,64682,2006-02-14 22:04:37,WOFFORD,581,587,1,294449058179,VIRGIL.WOFFORD@sakilacustomer.org,760 Miyakonojo Drive,VIRGIL,246
,1,Kerala,49298,2006-02-14 22:04:36,SOTO,268,273,1,357445645426,NINA.SOTO@sakilacustomer.org,1519 Ilorin Place,NINA,395
,2,Puebla,67912,2006-02-14 22:04:36,PERRY,84,88,1,48417642933,SARA.PERRY@sakilacustomer.org,125 Città del Vaticano Boulevard,SARA,40
,1,Gauteng,3439,2006-02-14 22:04:36,HOLMES,145,149,1,918032330119,LUCILLE.HOLMES@sakilacustomer.org,999 Sanaa Loop,LUCILLE,491
,2,Jakarta Raya,36061,2006-02-14 22:04:36,NICHOLS,153,157,1,719202533520,SUZANNE.NICHOLS@sakilacustomer.org,456 Escobar Way,SUZANNE,232
,1,Shiga,46044,2006-02-14 22:04:37,MCKINNEY,285,290,1,341242939532,MIRIAM.MCKINNEY@sakilacustomer.org,1336 Benin City Drive,MIRIAM,386
,2,Nothwest Border Prov,21954,2006-02-14 22:04:36,ROBINSON,20,24,1,144453869132,SHARON.ROBINSON@sakilacustomer.org,1688 Okara Way,SHARON,327
,2,Tianjin,38140,2006-02-14 22:04:36,MEDINA,249,253,1,56257502250,DORA.MEDINA@sakilacustomer.org,1760 Oshawa Manor,DORA,535
,2,Baskimaa,61391,2006-02-14 22:04:37,FLETCHER,293,298,1,96604821070,MAE.FLETCHER@sakilacustomer.org,44 Najafabad Way,MAE,146
,1,Osaka,19428,2006-02-14 22:04:36,MAY,264,269,1,303967439816,GWENDOLYN.MAY@sakilacustomer.org,446 Kirovo-Tšepetsk Lane,GWENDOLYN,203
,2,Kaduna,31390,2006-02-14 22:04:36,REID,232,236,1,588964509072,CONSTANCE.REID@sakilacustomer.org,885 Yingkou Manor,CONSTANCE,596
,2,Rio de Janeiro,80184,2006-02-14 22:04:37,JOY,307,312,1,573441801529,JOSEPH.JOY@sakilacustomer.org,1354 Siegen Street,JOSEPH,25
,1,Shandong,46063,2006-02-14 22:04:37,CALDWELL,272,277,1,170739645687,KAY.CALDWELL@sakilacustomer.org,85 San Felipe de Puerto Plata Drive,KAY,584
,2,Saitama,7664,2006-02-14 22:04:37,SCROGGINS,404,409,1,1483365694,STANLEY.SCROGGINS@sakilacustomer.org,1266 Laredo Parkway,STANLEY,380
,1,Vojvodina,11892,2006-02-14 22:04:37,PITT,553,559,1,698182547686,MAX.PITT@sakilacustomer.org,1917 Kumbakonam Parkway,MAX,368
,1,Distrito Federal,75834,2006-02-14 22:04:36,OWENS,111,115,1,272234298332,CARMEN.OWENS@sakilacustomer.org,1378 Alvorada Avenue,CARMEN,102
,1,Shandong,22813,2006-02-14 22:04:37,MILAM,533,539,1,383353187467,JESSIE.MILAM@sakilacustomer.org,1332 Gaziantep Lane,JESSIE,80
,2,Lombardia,57833,2006-02-14 22:04:37,FENNELL,439,444,1,575081026569,ALEXANDER.FENNELL@sakilacustomer.org,231 Kaliningrad Place,ALEXANDER,70
,1,Tennessee,13377,2006-02-14 22:04:36,RAMOS,140,144,1,9099941466,EVA.RAMOS@sakilacustomer.org,1666 Beni-Mellal Place,EVA,123
,1,Ontario,5379,2006-02-14 22:04:36,CARPENTER,189,193,1,247646995453,LORETTA.CARPENTER@sakilacustomer.org,891 Novi Sad Manor,LORETTA,383
,2,Adana,3313,2006-02-14 22:04:36,GARDNER,164,168,1,697151428760,JOANN.GARDNER@sakilacustomer.org,842 Salzburg Lane,JOANN,529
,1,Nampula,65892,2006-02-14 22:04:37,BONE,433,438,1,342709348083,DON.BONE@sakilacustomer.org,596 Huixquilucan Place,DON,351
,2,East Kasai,22025,2006-02-14 22:04:37,SELBY,375,380,1,409315295763,AARON.SELBY@sakilacustomer.org,1519 Santiago de los Caballeros Loop,AARON,348
,2,California,87057,2006-02-14 22:04:36,REYNOLDS,112,116,1,824370924746,ROSA.REYNOLDS@sakilacustomer.org,793 Cam Ranh Avenue,ROSA,292
,2,Taipei,400,2006-02-14 22:04:37,MCCURDY,517,523,1,627425618482,BRAD.MCCURDY@sakilacustomer.org,608 Birgunj Parkway,BRAD,116
,2,Tabora,49348,2006-02-14 22:04:36,WEAVER,190,194,1,352469351088,YOLANDA.WEAVER@sakilacustomer.org,605 Rio Claro Parkway,YOLANDA,513
,1,Kabol,40301,2006-02-14 22:04:36,MCCOY,218,222,1,886649065861,VERA.MCCOY@sakilacustomer.org,1168 Najafabad Parkway,VERA,251
,2,Córdoba,99865,2006-02-14 22:04:36,LEE,24,28,1,934730187245,KIMBERLY.LEE@sakilacustomer.org,96 Tafuna Way,KIMBERLY,128
,1,Hodeida,14122,2006-02-14 22:04:37,ALLARD,470,475,1,562370137426,GORDON.ALLARD@sakilacustomer.org,434 Ourense (Orense) Manor,GORDON,206
