prospect_FirN,prospect_Ag,prospect_Sta,prospect_NumC,prospect_LNa,prospect_AddL1,prospect_AgeID,prospect_Pho,prospect_MaSt,prospect_NWor,prospect_Gen,prospect_Coun,prospect_CrRat,prospect_MiIni,prospect_Emp,prospect_PoCo,prospect_Ci,prospect_OORFl,prospect_In,prospect_NuCh,prospect_AddLi2,prospect_NuCreCar
wbwsqgtaa,7.0,MO,3.0,Iokwiqojocjanndatkdzgymym,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Iok7501,1-637-119-9996,U,321776.0,,United States of America,580.0,n,FM Global,Guudshirvcu,Baltimore,U,94490.0,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,
QGJWCPAPZMWHYHZTNOYSSOQBI,48.0,TX,4.0,tiabxgseasiibxakctfzhfwotp,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,tia7502,1-560-405-0048,S,2292324.0,M,Canada,683.0,,MGIC Investment,wyggjewbe,Kitchener,R,7037.0,4.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,2.0
BHGXDDPUMBESLQMNEPREPTZNNKM,14.0,CT,1.0,AOIWIWTIHIXOJ,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,AOI7503,1-261-306-5079,M,969707.0,,,411.0,u,Ross Stores,YMZRQICUTHT,Saint John,O,419269.0,5.0,Cdrxeolwrrxmwmhgexvcstvzz,2.0
Xgnvppcxgfnmawlupgfa,29.0,UT,4.0,PJQSPMBUHYQKBOZ,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,PJQ7504,1-642-299-6655,W,3899461.0,m,United States of America,818.0,,,Bcjuycmcen,Berkeley,U,76681.0,5.0,WKSBVOFGJHQGAEKUYRZHHPH,9.0
Tfiozpstcftslqtwkgngiiwo,69.0,RI,2.0,SDVLJWXENNGWCQMIW,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,SDV7505,,U,3749223.0,,United States of America,370.0,,Alliance One International,Nujxguyehf,Missoula,R,209116.0,4.0,skxijfqpzshmts,7.0
fbcahlrhhjoslfzqvvwwvhk,47.0,DE,0.0,Hgakmykzeunwkiaxayulpwyxrcuev,Ajpkrmtlcbdzr,Hga7506,1-388-257-4273,U,3658531.0,F,,833.0,F,Sally Beauty Holdings,Neigswk,Salinas,O,212203.0,0.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,6.0
Dcgkohfcwyoaxckalqnkrzwq,0.0,NM,5.0,Beotomyndkiqryllkvpavllytov,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Beo7507,,M,1738460.0,M,Canada,536.0,D,Wisconsin Energy,WNCEOQPLW,San Jose,U,42018.0,5.0,LJXAXKUJXQBGWBHJJAAM,2.0
Vmnmcsinflxxmmifydckncc,46.0,WV,0.0,Qumxrssnd,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Qum7508,1-632-118-1891,S,3307296.0,,United States of America,775.0,,Carpenter Technology,Cskdwtkf,Cleveland,R,90446.0,0.0,Jmlgjkjbqhrudrkqrm,0.0
Vrkbkkxkddtximspigmlbwzt,6.0,NH,1.0,Hudlpfwjagzbnznyhamjkhbf,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Hud7509,1-853-806-4986,M,1816419.0,,United States of America,765.0,v,Liberty Mutual Insurance Group,tcxswloetdt,Huntington,R,16274.0,1.0,Qqcilgblxyikgr,3.0
RMWCTFTLSVTMCBI,22.0,WY,5.0,jbabemsfwdyeihxq,Ycltsquohmuugxihqyluhkoy,jba7510,1-220-687-2027,M,2599250.0,m,Canada,555.0,,Black & Decker,Fkpemasoukih,Paterson,O,22215.0,2.0,Ahtohqjfzfarn,6.0
Zaijioc,72.0,Saskatchewan,5.0,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,dgc7511,,M,490443.0,m,United States of America,,,Interstate Bakeries,NCEVKLQEEWTA,Greensboro,O,210038.0,1.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,3.0
Mdwdjpdfmbqjaygkfqzqx,40.0,NE,4.0,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,lql7512,1-268-630-3843,M,3348923.0,,Canada,318.0,,eBay,DODDIDDHXS,Concord,O,307402.0,5.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,9.0
Ccbccgvldfvoqtzestvkwunn,8.0,AR,4.0,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Wsk7513,1-915-548-9541,D,331799.0,m,United States of America,613.0,,Boise,Oqnzttrldq,Colorado Springs,R,,1.0,ucxdpiwilpxxhv,4.0
nyakrhdyxravdnhgbtol,10.0,IL,4.0,Ffshsiomkzjonhxjhunfsao,,Ffs7514,1-536-880-0961,U,1167013.0,,,786.0,v,MDU Resources Group,Lwbawk,Mobile,R,432425.0,1.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0
NDNBTVCLKSC,24.0,VA,0.0,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Kvv7515,1-494-335-6022,U,3960216.0,,United States of America,,F,Freescale Semiconductor,Ppsrzjdtg,Thousand Oaks,O,122041.0,3.0,,10.0
Zmstbluqkipzaojfsomtbdddguq,18.0,ID,1.0,mpzqnwnrmaozfsstcqtrc,,mpz7516,1-814-158-3550,M,242246.0,f,United States of America,623.0,G,Superior Energy Services,,Rochester,O,302205.0,4.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,5.0
dpqgvuaoijmkxsesvililpxcrwqe,79.0,TX,1.0,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Jhc7517,1-420-580-0795,S,1217660.0,F,United States of America,845.0,s,Monsanto,,Garden Grove,O,367555.0,1.0,Havgczldcpfmwfzj,1.0
IHUGYGSRDWILVOFBAKUR,36.0,New Brunswick,4.0,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,dbq7518,1-924-305-1666,M,1229655.0,M,United States of America,645.0,l,Newfield Exploration,Rxdsunq,Tampa,U,106025.0,5.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,7.0
aefotdcronamhkzsfpvifmobgchmsp,21.0,Alberta,2.0,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Xch7519,1-450-082-2122,W,1157831.0,m,Canada,495.0,,Loews,JXHVEEOU,Fullerton,O,106690.0,2.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,1.0
