AgID,MidInit,CrRat,Sta,LNa,Inc,NuCreCar,Ci,AdLi2,MaSta,NuCh,Ag,Emp,Coun,AddrL1,Ph,NumCa,OORF,NeWo
Iok7501,n,580.0,MO,Iokwiqojocjanndatkdzgymym,94490.0,,Baltimore,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,U,,7.0,FM Global,United States of America,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,1-637-119-9996,3.0,U,321776.0
tia7502,,683.0,TX,tiabxgseasiibxakctfzhfwotp,7037.0,2.0,Kitchener,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,S,4.0,48.0,MGIC Investment,Canada,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,1-560-405-0048,4.0,R,2292324.0
AOI7503,u,411.0,CT,AOIWIWTIHIXOJ,419269.0,2.0,Saint John,Cdrxeolwrrxmwmhgexvcstvzz,M,5.0,14.0,Ross Stores,,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,1-261-306-5079,1.0,O,969707.0
PJQ7504,,818.0,UT,PJQSPMBUHYQKBOZ,76681.0,9.0,Berkeley,WKSBVOFGJHQGAEKUYRZHHPH,W,5.0,29.0,,United States of America,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,1-642-299-6655,4.0,U,3899461.0
SDV7505,,370.0,RI,SDVLJWXENNGWCQMIW,209116.0,7.0,Missoula,skxijfqpzshmts,U,4.0,69.0,Alliance One International,United States of America,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,2.0,R,3749223.0
Hga7506,F,833.0,DE,Hgakmykzeunwkiaxayulpwyxrcuev,212203.0,6.0,Salinas,ZETOHHRKIBHCQCKZODIXJJSXCFY,U,0.0,47.0,Sally Beauty Holdings,,Ajpkrmtlcbdzr,1-388-257-4273,0.0,O,3658531.0
Beo7507,D,536.0,NM,Beotomyndkiqryllkvpavllytov,42018.0,2.0,San Jose,LJXAXKUJXQBGWBHJJAAM,M,5.0,0.0,Wisconsin Energy,Canada,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,,5.0,U,1738460.0
Qum7508,,775.0,WV,Qumxrssnd,90446.0,0.0,Cleveland,Jmlgjkjbqhrudrkqrm,S,0.0,46.0,Carpenter Technology,United States of America,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,1-632-118-1891,0.0,R,3307296.0
Hud7509,v,765.0,NH,Hudlpfwjagzbnznyhamjkhbf,16274.0,3.0,Huntington,Qqcilgblxyikgr,M,1.0,6.0,Liberty Mutual Insurance Group,United States of America,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1-853-806-4986,1.0,R,1816419.0
jba7510,,555.0,WY,jbabemsfwdyeihxq,22215.0,6.0,Paterson,Ahtohqjfzfarn,M,2.0,22.0,Black & Decker,Canada,Ycltsquohmuugxihqyluhkoy,1-220-687-2027,5.0,O,2599250.0
