gncd,mrtlstts,g,ncm,crdtrtng,ddrssln1,phn,gndr,nmbrchldrn,ct,cntr,stt,nmbrcrs,wnrrntflg,mplr,nmbrcrdtcrds,ntwrth
Iok7501,U,7.0,94490.0,580.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,1-637-119-9996,,,Baltimore,United States of America,MO,3.0,U,FM Global,,321776.0
tia7502,S,48.0,7037.0,683.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,1-560-405-0048,M,4.0,Kitchener,Canada,TX,4.0,R,MGIC Investment,2.0,2292324.0
AOI7503,M,14.0,419269.0,411.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,1-261-306-5079,,5.0,Saint John,,CT,1.0,O,Ross Stores,2.0,969707.0
PJQ7504,W,29.0,76681.0,818.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,1-642-299-6655,m,5.0,Berkeley,United States of America,UT,4.0,U,,9.0,3899461.0
SDV7505,U,69.0,209116.0,370.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,,4.0,Missoula,United States of America,RI,2.0,R,Alliance One International,7.0,3749223.0
Hga7506,U,47.0,212203.0,833.0,Ajpkrmtlcbdzr,1-388-257-4273,F,0.0,Salinas,,DE,0.0,O,Sally Beauty Holdings,6.0,3658531.0
Beo7507,M,0.0,42018.0,536.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,,M,5.0,San Jose,Canada,NM,5.0,U,Wisconsin Energy,2.0,1738460.0
Qum7508,S,46.0,90446.0,775.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,1-632-118-1891,,0.0,Cleveland,United States of America,WV,0.0,R,Carpenter Technology,0.0,3307296.0
Hud7509,M,6.0,16274.0,765.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1-853-806-4986,,1.0,Huntington,United States of America,NH,1.0,R,Liberty Mutual Insurance Group,3.0,1816419.0
jba7510,M,22.0,22215.0,555.0,Ycltsquohmuugxihqyluhkoy,1-220-687-2027,m,2.0,Paterson,Canada,WY,5.0,O,Black & Decker,6.0,2599250.0
dgc7511,M,72.0,210038.0,,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,m,1.0,Greensboro,United States of America,Saskatchewan,5.0,O,Interstate Bakeries,3.0,490443.0
lql7512,M,40.0,307402.0,318.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,1-268-630-3843,,5.0,Concord,Canada,NE,4.0,O,eBay,9.0,3348923.0
Wsk7513,D,8.0,,613.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1-915-548-9541,m,1.0,Colorado Springs,United States of America,AR,4.0,R,Boise,4.0,331799.0
Ffs7514,U,10.0,432425.0,786.0,,1-536-880-0961,,1.0,Mobile,,IL,4.0,R,MDU Resources Group,4.0,1167013.0
Kvv7515,U,24.0,122041.0,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,1-494-335-6022,,3.0,Thousand Oaks,United States of America,VA,0.0,O,Freescale Semiconductor,10.0,3960216.0
mpz7516,M,18.0,302205.0,623.0,,1-814-158-3550,f,4.0,Rochester,United States of America,ID,1.0,O,Superior Energy Services,5.0,242246.0
