AgeID,CrRa,AddLi1,Sta,NWo,C,Ag,Coun,Ph,NumChi,FirN,OORF,NumCrCa,In,NumC,AddL2,PoC,MaSt,Empl
PEL0,760.0,21847 olympia street,MA,1058868.0,Fairbanks,20.0,United States of America,1-712-522-6088,3.0,Netti,O,,368776.0,,,T6b 1i1,W,Brink's
LED1,555.0,245 congress court,PA,1988185.0,Quebec,3.0,United States of America,1-626-426-4298,1.0,TRUDY,U,6.0,177967.0,5.0,APT. 624,77281,U,
lat2,566.0,6517 frailing west,Alberta,3673128.0,Henderson,,United States of America,1-524-787-8784,1.0,ireland,O,6.0,321772.0,2.0,,91355,S,
RUD3,,11449 blalock park,AR,2005895.0,Salem,77.0,Canada,1-741-997-1688,1.0,Misti,O,3.0,25449.0,2.0,,36615,W,Air Products & Chemicals
JAY4,815.0,18354 dodd court,OR,624736.0,Toledo,21.0,Canada,1-002-194-1991,3.0,sarena,O,4.0,166567.0,0.0,Apt. 619,t6a 1i3,M,Oshkosh
tod5,333.0,14117 roxboro street,VA,3064615.0,Corpus Christi,77.0,United States of America,1-441-371-7651,4.0,Paulette,R,10.0,43631.0,1.0,,A2b 1v3,M,
Kan6,528.0,24697 FLORENCE WEST,OH,3489129.0,Salt Lake City,23.0,Canada,1-957-940-5980,0.0,AMALITA,O,1.0,466230.0,4.0,,49513,,VeraSun Energy
Din7,680.0,6488 applewood drive,Prince Edward Island,3430744.0,Brownsville,9.0,United States of America,1-768-633-4096,2.0,Ernesto,U,7.0,420243.0,2.0,,M5d 1v6,M,IDT
Thi8,761.0,17404 gale court,NV,1743614.0,Escondido,63.0,United States of America,1-107-689-2155,,Toby,O,10.0,141862.0,3.0,,V6c 1q1,U,Adams Resources & Energy
May9,416.0,15913 alexis street,Ontario,216299.0,Los Angeles,32.0,United States of America,1-173-594-6096,2.0,evangelia,O,,402011.0,0.0,,99716,M,MGIC Investment
mah10,493.0,18313 5th lane,TX,1528641.0,West Covina,96.0,Canada,1-561-520-0611,2.0,umakanth,O,9.0,79928.0,2.0,,A2b 1w1,M,Iasis Healthcare
Siz11,564.0,13653 collier avenue,NE,3752907.0,San Buenaventura,46.0,United States of America,1-730-406-9727,0.0,terrie,R,0.0,109496.0,1.0,,M5F 1W1,M,AMR
cra12,817.0,15306 pike park,AR,582378.0,Lexington,6.0,United States of America,,4.0,Mary-pat,U,0.0,267901.0,1.0,,95118,U,Embarq
dac13,653.0,1540 crestmere north,MI,3458824.0,Hay River,39.0,United States of America,1-207-867-4589,5.0,Catherin,R,8.0,487273.0,3.0,,H2f 1v7,U,Advanced Micro Devices
HIV14,587.0,10790 bonita crescent,MA,469408.0,Toronto,73.0,United States of America,1-478-629-9641,4.0,annissa,O,2.0,34013.0,3.0,,19217,M,Cenveo
Pes15,472.0,24679 AIRPORT CRESCENT,TN,1504480.0,Denver,26.0,United States of America,1-026-208-8595,2.0,Amour,O,6.0,473462.0,0.0,Apt. 290,21228,S,Kelly Services
CHI16,817.0,7627 douglas road,TN,2763009.0,St. Paul,54.0,Canada,1-432-681-4853,4.0,jenica,O,4.0,499493.0,5.0,,85097,M,Viacom
Din17,441.0,6106 ashland east,OK,2787199.0,Bellevue,87.0,United States of America,,4.0,KATTIE,R,0.0,266928.0,5.0,,V6j 1q8,M,Macy's
De 18,848.0,1111 norden street,Ontario,2789368.0,Detroit,85.0,United States of America,1-357-207-6320,3.0,Roselle,O,6.0,72444.0,2.0,,43207,M,Gardner Denver
Mck19,843.0,2798 1st east,KY,2784776.0,Omaha,86.0,United States of America,1-462-774-1277,3.0,arlyne,R,8.0,77290.0,3.0,,V6t 1q8,U,Family Dollar Stores
WIN20,,11358 elle lee street,PA,288747.0,Costa Mesa,59.0,United States of America,1-702-382-2898,0.0,Rong-chin,R,,395066.0,2.0,,94467,U,
BIT21,300.0,21074 MALLORY LOWER,MD,876575.0,Berkeley,94.0,United States of America,1-909-554-7120,3.0,Darlleen,O,0.0,119283.0,5.0,,94321,U,Sun Microsystems
luz22,795.0,16124 weyland park,TX,2041224.0,St. Louis,,United States of America,1-752-296-7940,1.0,Radoslav,O,8.0,330991.0,1.0,,C2a 4w7,U,Costco Wholesale
don23,367.0,23822 marvin crescent,IN,2231509.0,Colorado Springs,5.0,United States of America,1-995-554-5056,0.0,Aryn,U,5.0,,4.0,,35808,,Illinois Tool Works
Gia24,507.0,2203 valita boulevard,MD,3206409.0,Fontana,23.0,United States of America,1-090-303-3807,5.0,Allisan,O,1.0,252031.0,1.0,,M5f 1v6,M,Southern Union
SPR25,362.0,11538 COLLINWOOD AVENUE,KY,3850037.0,St. Catharines,61.0,United States of America,1-492-968-0932,1.0,Ammamaria,O,9.0,101800.0,3.0,,99539,M,Moog
SKA26,527.0,7818 EAST STREET,CA,528440.0,Hayward,,United States of America,1-960-227-2020,1.0,Mari,O,7.0,436977.0,0.0,,95055,D,Old Republic International
Gar27,354.0,10013 shaw road,FL,597140.0,Palmdale,51.0,United States of America,1-431-122-8597,,Anica,O,0.0,495334.0,0.0,,93686,S,
Dor28,511.0,6802 AMES STREET,Newfoundland,146931.0,Phoenix,97.0,United States of America,1-822-836-7200,1.0,Melba,O,1.0,274685.0,1.0,,75218,M,Great Plains Energy
DIO29,412.0,22501 SUMMIT RUE,TX,353495.0,Gary,52.0,United States of America,1-530-117-0497,2.0,Tracee,,7.0,320820.0,2.0,,91174,,Broadcom
Mer30,583.0,291 frances rue,WA,295647.0,Beaumont,98.0,Canada,1-051-257-2719,0.0,CANADIAN,O,1.0,195835.0,4.0,,49515,S,Discover Financial Services
Atc31,710.0,16264 sanders east,MN,408941.0,Nashua,47.0,United States of America,1-171-989-1363,3.0,Oue,O,5.0,108085.0,5.0,,16506,U,UAL
Pla32,380.0,16068 cantey way,WY,362523.0,San Jose,47.0,United States of America,1-042-705-3246,1.0,wallie,O,9.0,260185.0,2.0,,94383,M,Charles Schwab
SEL33,796.0,21170 EDLOE BOULEVARD,NY,2102359.0,Nashua,9.0,United States of America,1-098-328-2026,0.0,Andromache,R,2.0,258323.0,0.0,,T6d 1b3,M,Coach
sha34,818.0,885 CROSBY LANE,SC,3480265.0,Fort Smith,85.0,United States of America,1-209-754-5635,3.0,THOR,U,2.0,79476.0,1.0,,25339,M,DaVita
MER35,766.0,12235 jay street,MS,3648900.0,Lancaster,81.0,United States of America,1-498-781-3456,3.0,SALAH,U,3.0,102156.0,5.0,,V6o 1v4,M,Marshall & Ilsley Corp.
con36,359.0,20340 LOMBARD CRESCENT,UT,1161790.0,Colorado Springs,0.0,United States of America,1-615-241-0440,3.0,HOR-LAM,O,2.0,221481.0,2.0,,01852,M,Cablevision Systems
ons37,401.0,22074 dexter upper,PA,2050587.0,Washington,28.0,United States of America,1-995-449-5200,5.0,Vania,R,2.0,41836.0,1.0,,78230,S,Barnes & Noble
Sum38,609.0,1540 MURIE RUE,OK,3579198.0,Lowell,65.0,Canada,1-295-673-4452,1.0,Niel,O,0.0,72389.0,1.0,,93770,U,EMC
gro39,630.0,7075 glen loch drive,WY,889494.0,Frederick,20.0,United States of America,1-914-675-2986,0.0,ziad,O,2.0,66486.0,3.0,,m4l 1n4,S,Fluor
dil40,671.0,11237 balmoral way,RI,2205682.0,Mesa,55.0,United States of America,,1.0,Claude,O,9.0,200185.0,3.0,Apt. 382,22335,M,Dollar General
DOL41,715.0,8316 GARDEN BROOK NORTH,HI,1140117.0,Lakewood,76.0,United States of America,1-825-739-0336,2.0,AVTAR,O,10.0,289215.0,0.0,,V6C 1T4,U,Lear
Pos42,707.0,2240 clifton lower,VA,1421319.0,Cleveland,1.0,United States of America,1-956-713-3802,1.0,Donny,O,9.0,322484.0,4.0,,M6t 1h3,M,J.P. Morgan Chase & Co.
Mac43,329.0,20907 NOTINGHAM LOWER,OK,3525204.0,Grand Rapids,3.0,United States of America,1-814-932-1579,2.0,Cocos,O,0.0,83458.0,4.0,,95263,M,Affinia Group Intermediate
che44,601.0,601 carroll lower,Prince Edward Island,468976.0,Peoria,100.0,United States of America,1-135-443-7282,3.0,ruud,R,8.0,,0.0,,v5b 1p5,D,
hol45,623.0,18267 state drive,SD,1685443.0,Inglewood,81.0,United States of America,1-720-975-0667,1.0,Belvia,O,2.0,492407.0,5.0,,32318,W,Goldman Sachs Group
pfi46,376.0,9270 LEAF SOUTH,OH,337564.0,Akron,76.0,United States of America,1-871-598-3505,4.0,ATHAR,O,2.0,346630.0,4.0,,93872,S,E*Trade Financial
elk47,560.0,18582 PERIMETER BOULEVARD,MA,84777.0,Charlottetown,51.0,Canada,1-607-222-4809,3.0,Cherey,O,0.0,9572.0,1.0,,92824,W,Pfizer
Lab48,693.0,9612 park stream upper,MD,3146477.0,Bellevue,,United States of America,1-965-046-0642,5.0,RAZ,O,4.0,265369.0,1.0,,e4a 1r2,,Safeway
laf49,346.0,2803 clearwater north,Saskatchewan,495277.0,Dover,58.0,United States of America,1-155-441-3579,2.0,kishore,U,0.0,104172.0,1.0,,H7G 1V4,S,Simon Property Group
Nor50,342.0,11103 BISSONNET WEST,WA,746904.0,Fullerton,52.0,United States of America,,3.0,Nelleke,O,0.0,65550.0,0.0,,85039,M,Trinity Industries
hag51,563.0,4652 outervale lane,OH,1219620.0,Denver,91.0,Canada,1-544-132-7237,0.0,sibby,R,8.0,,2.0,,v6m 1q3,M,Solutia
Bet52,391.0,341 dunbar west,WY,1718910.0,Dallas,17.0,United States of America,1-821-089-2089,3.0,ericha,O,4.0,,2.0,,X7j 1r1,M,
Van53,381.0,16176 vernon drive,NJ,,San Jose,6.0,United States of America,1-135-391-9787,4.0,Janson,O,8.0,66244.0,4.0,,B8b 1z5,S,A.O. Smith
