AgencyID,City,MiddleInitial,NumberCreditCards,AddressLine2,Age,CreditRating,LastName,MaritalStatus,Gender,Phone,OwnOrRentFlag,Country,AddressLine1,NumberChildren,FirstName,PostalCode,State
PEL0,Fairbanks,,,,20.0,760.0,PELLAND,W,f,1-712-522-6088,O,United States of America,21847 olympia street,3.0,Netti,T6b 1i1,MA
LED1,Quebec,,6.0,APT. 624,3.0,555.0,LEDUC,U,F,1-626-426-4298,U,United States of America,245 congress court,1.0,TRUDY,77281,PA
lat2,Henderson,,6.0,,,566.0,latif,S,,1-524-787-8784,O,United States of America,6517 frailing west,1.0,ireland,91355,Alberta
RUD3,Salem,,3.0,,77.0,,RUDDICK,W,,1-741-997-1688,O,Canada,11449 blalock park,1.0,Misti,36615,AR
JAY4,Toledo,M,4.0,Apt. 619,21.0,815.0,JAYAMANNE,M,f,1-002-194-1991,O,Canada,18354 dodd court,3.0,sarena,t6a 1i3,OR
tod5,Corpus Christi,Z,10.0,,77.0,333.0,todo,M,M,1-441-371-7651,R,United States of America,14117 roxboro street,4.0,Paulette,A2b 1v3,VA
Kan6,Salt Lake City,R,1.0,,23.0,528.0,Kanno,,m,1-957-940-5980,O,Canada,24697 FLORENCE WEST,0.0,AMALITA,49513,OH
Din7,Brownsville,Z,7.0,,9.0,680.0,Dinkel,M,,1-768-633-4096,U,United States of America,6488 applewood drive,2.0,Ernesto,M5d 1v6,Prince Edward Island
Thi8,Escondido,,10.0,,63.0,761.0,Thibodeaux,U,,1-107-689-2155,O,United States of America,17404 gale court,,Toby,V6c 1q1,NV
May9,Los Angeles,,,,32.0,416.0,Mayo,M,,1-173-594-6096,O,United States of America,15913 alexis street,2.0,evangelia,99716,Ontario
mah10,West Covina,U,9.0,,96.0,493.0,mahendra,M,,1-561-520-0611,O,Canada,18313 5th lane,2.0,umakanth,A2b 1w1,TX
Siz11,San Buenaventura,,0.0,,46.0,564.0,Sizto,M,,1-730-406-9727,R,United States of America,13653 collier avenue,0.0,terrie,M5F 1W1,NE
cra12,Lexington,,0.0,,6.0,817.0,crawley,U,,,U,United States of America,15306 pike park,4.0,Mary-pat,95118,AR
dac13,Hay River,,8.0,,39.0,653.0,dacal,U,m,1-207-867-4589,R,United States of America,1540 crestmere north,5.0,Catherin,H2f 1v7,MI
HIV14,Toronto,W,2.0,,73.0,587.0,HIVELY,M,,1-478-629-9641,O,United States of America,10790 bonita crescent,4.0,annissa,19217,MA
Pes15,Denver,,6.0,Apt. 290,26.0,472.0,Peschke,S,,1-026-208-8595,O,United States of America,24679 AIRPORT CRESCENT,2.0,Amour,21228,TN
CHI16,St. Paul,,4.0,,54.0,817.0,CHILDERHOSE,M,,1-432-681-4853,O,Canada,7627 douglas road,4.0,jenica,85097,TN
