prospect_gncd,prospect_crdtrtng,prospect_pstlcd,prospect_nmbrchldrn,prospect_mplr,prospect_mddlntl,prospect_lstnm,prospect_ddrssln1,prospect_ntwrth,prospect_phn,prospect_gndr,prospect_cntr,prospect_frstnm,prospect_nmbrcrs,prospect_ct,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_nmbrcrdtcrds
Iok7501,580.0,Guudshirvcu,,FM Global,n,Iokwiqojocjanndatkdzgymym,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,321776.0,1-637-119-9996,,United States of America,wbwsqgtaa,3.0,Baltimore,U,7.0,U,
tia7502,683.0,wyggjewbe,4.0,MGIC Investment,,tiabxgseasiibxakctfzhfwotp,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,2292324.0,1-560-405-0048,M,Canada,QGJWCPAPZMWHYHZTNOYSSOQBI,4.0,Kitchener,S,48.0,R,2.0
AOI7503,411.0,YMZRQICUTHT,5.0,Ross Stores,u,AOIWIWTIHIXOJ,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,969707.0,1-261-306-5079,,,BHGXDDPUMBESLQMNEPREPTZNNKM,1.0,Saint John,M,14.0,O,2.0
PJQ7504,818.0,Bcjuycmcen,5.0,,,PJQSPMBUHYQKBOZ,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,3899461.0,1-642-299-6655,m,United States of America,Xgnvppcxgfnmawlupgfa,4.0,Berkeley,W,29.0,U,9.0
SDV7505,370.0,Nujxguyehf,4.0,Alliance One International,,SDVLJWXENNGWCQMIW,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,3749223.0,,,United States of America,Tfiozpstcftslqtwkgngiiwo,2.0,Missoula,U,69.0,R,7.0
Hga7506,833.0,Neigswk,0.0,Sally Beauty Holdings,F,Hgakmykzeunwkiaxayulpwyxrcuev,Ajpkrmtlcbdzr,3658531.0,1-388-257-4273,F,,fbcahlrhhjoslfzqvvwwvhk,0.0,Salinas,U,47.0,O,6.0
Beo7507,536.0,WNCEOQPLW,5.0,Wisconsin Energy,D,Beotomyndkiqryllkvpavllytov,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,1738460.0,,M,Canada,Dcgkohfcwyoaxckalqnkrzwq,5.0,San Jose,M,0.0,U,2.0
Qum7508,775.0,Cskdwtkf,0.0,Carpenter Technology,,Qumxrssnd,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,3307296.0,1-632-118-1891,,United States of America,Vmnmcsinflxxmmifydckncc,0.0,Cleveland,S,46.0,R,0.0
Hud7509,765.0,tcxswloetdt,1.0,Liberty Mutual Insurance Group,v,Hudlpfwjagzbnznyhamjkhbf,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1816419.0,1-853-806-4986,,United States of America,Vrkbkkxkddtximspigmlbwzt,1.0,Huntington,M,6.0,R,3.0
jba7510,555.0,Fkpemasoukih,2.0,Black & Decker,,jbabemsfwdyeihxq,Ycltsquohmuugxihqyluhkoy,2599250.0,1-220-687-2027,m,Canada,RMWCTFTLSVTMCBI,5.0,Paterson,M,22.0,O,6.0
