prospect_CreditRating,prospect_MiddleInitial,prospect_State,prospect_Country,prospect_NumberCreditCards,prospect_PostalCode,prospect_Employer,prospect_NetWorth,prospect_LastName,prospect_AddressLine2,prospect_Age,prospect_Income,prospect_NumberCars,prospect_FirstName,prospect_MaritalStatus,prospect_AddressLine1,prospect_OwnOrRentFlag,prospect_AgencyID,prospect_Phone,prospect_Gender,prospect_NumberChildren,prospect_City
580.0,n,MO,United States of America,,Guudshirvcu,FM Global,321776.0,Iokwiqojocjanndatkdzgymym,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,7.0,94490.0,3.0,wbwsqgtaa,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,U,Iok7501,1-637-119-9996,,,Baltimore
683.0,,TX,Canada,2.0,wyggjewbe,MGIC Investment,2292324.0,tiabxgseasiibxakctfzhfwotp,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,48.0,7037.0,4.0,QGJWCPAPZMWHYHZTNOYSSOQBI,S,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,R,tia7502,1-560-405-0048,M,4.0,Kitchener
411.0,u,CT,,2.0,YMZRQICUTHT,Ross Stores,969707.0,AOIWIWTIHIXOJ,Cdrxeolwrrxmwmhgexvcstvzz,14.0,419269.0,1.0,BHGXDDPUMBESLQMNEPREPTZNNKM,M,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,O,AOI7503,1-261-306-5079,,5.0,Saint John
818.0,,UT,United States of America,9.0,Bcjuycmcen,,3899461.0,PJQSPMBUHYQKBOZ,WKSBVOFGJHQGAEKUYRZHHPH,29.0,76681.0,4.0,Xgnvppcxgfnmawlupgfa,W,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,U,PJQ7504,1-642-299-6655,m,5.0,Berkeley
370.0,,RI,United States of America,7.0,Nujxguyehf,Alliance One International,3749223.0,SDVLJWXENNGWCQMIW,skxijfqpzshmts,69.0,209116.0,2.0,Tfiozpstcftslqtwkgngiiwo,U,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,R,SDV7505,,,4.0,Missoula
833.0,F,DE,,6.0,Neigswk,Sally Beauty Holdings,3658531.0,Hgakmykzeunwkiaxayulpwyxrcuev,ZETOHHRKIBHCQCKZODIXJJSXCFY,47.0,212203.0,0.0,fbcahlrhhjoslfzqvvwwvhk,U,Ajpkrmtlcbdzr,O,Hga7506,1-388-257-4273,F,0.0,Salinas
536.0,D,NM,Canada,2.0,WNCEOQPLW,Wisconsin Energy,1738460.0,Beotomyndkiqryllkvpavllytov,LJXAXKUJXQBGWBHJJAAM,0.0,42018.0,5.0,Dcgkohfcwyoaxckalqnkrzwq,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,U,Beo7507,,M,5.0,San Jose
775.0,,WV,United States of America,0.0,Cskdwtkf,Carpenter Technology,3307296.0,Qumxrssnd,Jmlgjkjbqhrudrkqrm,46.0,90446.0,0.0,Vmnmcsinflxxmmifydckncc,S,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,R,Qum7508,1-632-118-1891,,0.0,Cleveland
765.0,v,NH,United States of America,3.0,tcxswloetdt,Liberty Mutual Insurance Group,1816419.0,Hudlpfwjagzbnznyhamjkhbf,Qqcilgblxyikgr,6.0,16274.0,1.0,Vrkbkkxkddtximspigmlbwzt,M,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,R,Hud7509,1-853-806-4986,,1.0,Huntington
555.0,,WY,Canada,6.0,Fkpemasoukih,Black & Decker,2599250.0,jbabemsfwdyeihxq,Ahtohqjfzfarn,22.0,22215.0,5.0,RMWCTFTLSVTMCBI,M,Ycltsquohmuugxihqyluhkoy,O,jba7510,1-220-687-2027,m,2.0,Paterson
