prospect_AgencyID,prospect_OwnOrRentFlag,prospect_NumberChildren,prospect_City,prospect_MiddleInitial,prospect_CreditRating,prospect_Gender,prospect_NumberCars,prospect_LastName,prospect_MaritalStatus,prospect_Employer,prospect_State,prospect_PostalCode,prospect_AddressLine1,prospect_Income,prospect_Phone,prospect_Age,prospect_NumberCreditCards,prospect_NetWorth
PEL0,O,3.0,Fairbanks,,760.0,f,,PELLAND,W,Brink's,MA,T6b 1i1,21847 olympia street,368776.0,1-712-522-6088,20.0,,1058868.0
LED1,U,1.0,Quebec,,555.0,F,5.0,LEDUC,U,,PA,77281,245 congress court,177967.0,1-626-426-4298,3.0,6.0,1988185.0
lat2,O,1.0,Henderson,,566.0,,2.0,latif,S,,Alberta,91355,6517 frailing west,321772.0,1-524-787-8784,,6.0,3673128.0
RUD3,O,1.0,Salem,,,,2.0,RUDDICK,W,Air Products & Chemicals,AR,36615,11449 blalock park,25449.0,1-741-997-1688,77.0,3.0,2005895.0
JAY4,O,3.0,Toledo,M,815.0,f,0.0,JAYAMANNE,M,Oshkosh,OR,t6a 1i3,18354 dodd court,166567.0,1-002-194-1991,21.0,4.0,624736.0
tod5,R,4.0,Corpus Christi,Z,333.0,M,1.0,todo,M,,VA,A2b 1v3,14117 roxboro street,43631.0,1-441-371-7651,77.0,10.0,3064615.0
Kan6,O,0.0,Salt Lake City,R,528.0,m,4.0,Kanno,,VeraSun Energy,OH,49513,24697 FLORENCE WEST,466230.0,1-957-940-5980,23.0,1.0,3489129.0
Din7,U,2.0,Brownsville,Z,680.0,,2.0,Dinkel,M,IDT,Prince Edward Island,M5d 1v6,6488 applewood drive,420243.0,1-768-633-4096,9.0,7.0,3430744.0
Thi8,O,,Escondido,,761.0,,3.0,Thibodeaux,U,Adams Resources & Energy,NV,V6c 1q1,17404 gale court,141862.0,1-107-689-2155,63.0,10.0,1743614.0
May9,O,2.0,Los Angeles,,416.0,,0.0,Mayo,M,MGIC Investment,Ontario,99716,15913 alexis street,402011.0,1-173-594-6096,32.0,,216299.0
mah10,O,2.0,West Covina,U,493.0,,2.0,mahendra,M,Iasis Healthcare,TX,A2b 1w1,18313 5th lane,79928.0,1-561-520-0611,96.0,9.0,1528641.0
Siz11,R,0.0,San Buenaventura,,564.0,,1.0,Sizto,M,AMR,NE,M5F 1W1,13653 collier avenue,109496.0,1-730-406-9727,46.0,0.0,3752907.0
cra12,U,4.0,Lexington,,817.0,,1.0,crawley,U,Embarq,AR,95118,15306 pike park,267901.0,,6.0,0.0,582378.0
dac13,R,5.0,Hay River,,653.0,m,3.0,dacal,U,Advanced Micro Devices,MI,H2f 1v7,1540 crestmere north,487273.0,1-207-867-4589,39.0,8.0,3458824.0
HIV14,O,4.0,Toronto,W,587.0,,3.0,HIVELY,M,Cenveo,MA,19217,10790 bonita crescent,34013.0,1-478-629-9641,73.0,2.0,469408.0
Pes15,O,2.0,Denver,,472.0,,0.0,Peschke,S,Kelly Services,TN,21228,24679 AIRPORT CRESCENT,473462.0,1-026-208-8595,26.0,6.0,1504480.0
CHI16,O,4.0,St. Paul,,817.0,,5.0,CHILDERHOSE,M,Viacom,TN,85097,7627 douglas road,499493.0,1-432-681-4853,54.0,4.0,2763009.0
Din17,R,4.0,Bellevue,,441.0,,5.0,Dinnin,M,Macy's,OK,V6j 1q8,6106 ashland east,266928.0,,87.0,0.0,2787199.0
De 18,O,3.0,Detroit,M,848.0,,2.0,De witte,M,Gardner Denver,Ontario,43207,1111 norden street,72444.0,1-357-207-6320,85.0,6.0,2789368.0
Mck19,R,3.0,Omaha,,843.0,m,3.0,Mckeegan,U,Family Dollar Stores,KY,V6t 1q8,2798 1st east,77290.0,1-462-774-1277,86.0,8.0,2784776.0
WIN20,R,0.0,Costa Mesa,P,,M,2.0,WINTERS,U,,PA,94467,11358 elle lee street,395066.0,1-702-382-2898,59.0,,288747.0
BIT21,O,3.0,Berkeley,,300.0,,5.0,BITTMAN,U,Sun Microsystems,MD,94321,21074 MALLORY LOWER,119283.0,1-909-554-7120,94.0,0.0,876575.0
luz22,O,1.0,St. Louis,V,795.0,f,1.0,luzarraga,U,Costco Wholesale,TX,C2a 4w7,16124 weyland park,330991.0,1-752-296-7940,,8.0,2041224.0
don23,U,0.0,Colorado Springs,S,367.0,,4.0,donovan,,Illinois Tool Works,IN,35808,23822 marvin crescent,,1-995-554-5056,5.0,5.0,2231509.0
Gia24,O,5.0,Fontana,T,507.0,,1.0,Giallo,M,Southern Union,MD,M5f 1v6,2203 valita boulevard,252031.0,1-090-303-3807,23.0,1.0,3206409.0
SPR25,O,1.0,St. Catharines,,362.0,M,3.0,SPRUELL,M,Moog,KY,99539,11538 COLLINWOOD AVENUE,101800.0,1-492-968-0932,61.0,9.0,3850037.0
SKA26,O,1.0,Hayward,,527.0,F,0.0,SKALSKI,D,Old Republic International,CA,95055,7818 EAST STREET,436977.0,1-960-227-2020,,7.0,528440.0
Gar27,O,,Palmdale,,354.0,m,0.0,Gargul,S,,FL,93686,10013 shaw road,495334.0,1-431-122-8597,51.0,0.0,597140.0
Dor28,O,1.0,Phoenix,,511.0,,1.0,Dore,M,Great Plains Energy,Newfoundland,75218,6802 AMES STREET,274685.0,1-822-836-7200,97.0,1.0,146931.0
DIO29,,2.0,Gary,X,412.0,,2.0,DIOGO,,Broadcom,TX,91174,22501 SUMMIT RUE,320820.0,1-530-117-0497,52.0,7.0,353495.0
Mer30,O,0.0,Beaumont,,583.0,m,4.0,Merrick,S,Discover Financial Services,WA,49515,291 frances rue,195835.0,1-051-257-2719,98.0,1.0,295647.0
Atc31,O,3.0,Nashua,R,710.0,,5.0,Atchison,U,UAL,MN,16506,16264 sanders east,108085.0,1-171-989-1363,47.0,5.0,408941.0
Pla32,O,1.0,San Jose,X,380.0,m,2.0,Plamondon,M,Charles Schwab,WY,94383,16068 cantey way,260185.0,1-042-705-3246,47.0,9.0,362523.0
SEL33,R,0.0,Nashua,E,796.0,F,0.0,SELCHOW,M,Coach,NY,T6d 1b3,21170 EDLOE BOULEVARD,258323.0,1-098-328-2026,9.0,2.0,2102359.0
