PostalCode,Country,LastName,NumberCreditCards,Employer,MiddleInitial,MaritalStatus,Gender,Income,CreditRating,OwnOrRentFlag,NetWorth,NumberCars,Age,AgencyID,State,FirstName,NumberChildren,Phone,City,AddressLine1,AddressLine2
Guudshirvcu,United States of America,Iokwiqojocjanndatkdzgymym,,FM Global,n,U,,94490.0,580.0,U,321776.0,3.0,7.0,Iok7501,MO,wbwsqgtaa,,1-637-119-9996,Baltimore,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ
wyggjewbe,Canada,tiabxgseasiibxakctfzhfwotp,2.0,MGIC Investment,,S,M,7037.0,683.0,R,2292324.0,4.0,48.0,tia7502,TX,QGJWCPAPZMWHYHZTNOYSSOQBI,4.0,1-560-405-0048,Kitchener,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn
YMZRQICUTHT,,AOIWIWTIHIXOJ,2.0,Ross Stores,u,M,,419269.0,411.0,O,969707.0,1.0,14.0,AOI7503,CT,BHGXDDPUMBESLQMNEPREPTZNNKM,5.0,1-261-306-5079,Saint John,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,Cdrxeolwrrxmwmhgexvcstvzz
Bcjuycmcen,United States of America,PJQSPMBUHYQKBOZ,9.0,,,W,m,76681.0,818.0,U,3899461.0,4.0,29.0,PJQ7504,UT,Xgnvppcxgfnmawlupgfa,5.0,1-642-299-6655,Berkeley,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,WKSBVOFGJHQGAEKUYRZHHPH
Nujxguyehf,United States of America,SDVLJWXENNGWCQMIW,7.0,Alliance One International,,U,,209116.0,370.0,R,3749223.0,2.0,69.0,SDV7505,RI,Tfiozpstcftslqtwkgngiiwo,4.0,,Missoula,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,skxijfqpzshmts
Neigswk,,Hgakmykzeunwkiaxayulpwyxrcuev,6.0,Sally Beauty Holdings,F,U,F,212203.0,833.0,O,3658531.0,0.0,47.0,Hga7506,DE,fbcahlrhhjoslfzqvvwwvhk,0.0,1-388-257-4273,Salinas,Ajpkrmtlcbdzr,ZETOHHRKIBHCQCKZODIXJJSXCFY
WNCEOQPLW,Canada,Beotomyndkiqryllkvpavllytov,2.0,Wisconsin Energy,D,M,M,42018.0,536.0,U,1738460.0,5.0,0.0,Beo7507,NM,Dcgkohfcwyoaxckalqnkrzwq,5.0,,San Jose,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,LJXAXKUJXQBGWBHJJAAM
Cskdwtkf,United States of America,Qumxrssnd,0.0,Carpenter Technology,,S,,90446.0,775.0,R,3307296.0,0.0,46.0,Qum7508,WV,Vmnmcsinflxxmmifydckncc,0.0,1-632-118-1891,Cleveland,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Jmlgjkjbqhrudrkqrm
tcxswloetdt,United States of America,Hudlpfwjagzbnznyhamjkhbf,3.0,Liberty Mutual Insurance Group,v,M,,16274.0,765.0,R,1816419.0,1.0,6.0,Hud7509,NH,Vrkbkkxkddtximspigmlbwzt,1.0,1-853-806-4986,Huntington,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Qqcilgblxyikgr
Fkpemasoukih,Canada,jbabemsfwdyeihxq,6.0,Black & Decker,,M,m,22215.0,555.0,O,2599250.0,5.0,22.0,jba7510,WY,RMWCTFTLSVTMCBI,2.0,1-220-687-2027,Paterson,Ycltsquohmuugxihqyluhkoy,Ahtohqjfzfarn
