phone,city_id,address2,address,address_id,postal_code,district
14033335568,300,,23 Workhaven Lane,3,,Alberta
6172235589,576,,1411 Lillydale Drive,4,,QLD
28303384290,463,,1913 Hanoi Way,5,35200.0,Nagasaki
838635286649,449,,1121 Loja Avenue,6,17886.0,California
448477190408,38,,692 Joliet Street,7,83579.0,Attika
705814003527,349,,1566 Inegöl Manor,8,53561.0,Mandalay
10655648674,361,,53 Idfu Parkway,9,42399.0,Nantou
860452626434,295,,1795 Santiago de Compostela Way,10,18743.0,Texas
716571220373,280,,900 Santiago de Compostela Parkway,11,93896.0,Central Serbia
657282285970,200,,478 Joliet Way,12,77948.0,Hamilton
380657522649,329,,613 Korolev Drive,13,45844.0,Masqat
648856936185,162,,1531 Salé Drive,14,53628.0,Esfahan
635297277345,440,,1542 Tarlac Parkway,15,1027.0,Kanagawa
465887807014,582,,808 Bhopal Manor,16,10672.0,Haryana
695479687538,384,,270 Amroha Parkway,17,29610.0,Osmaniye
517338314235,120,,770 Bydgoszcz Avenue,18,16266.0,California
990911107354,76,,419 Iligan Lane,19,72878.0,Madhya Pradesh
949312333307,495,,360 Toulouse Parkway,20,54308.0,England
407752414682,156,,270 Toulon Boulevard,21,81766.0,Kalmykia
747791594069,252,,320 Brest Avenue,22,43331.0,Kaduna
272572357893,267,,1417 Lancaster Avenue,23,72192.0,Northern Cape
144453869132,327,,1688 Okara Way,24,21954.0,Nothwest Border Prov
892775750063,525,,262 A Coruña (La Coruña) Parkway,25,34418.0,Dhaka
161968374323,443,,28 Charlotte Amalie Street,26,37551.0,Rabat-Sal-Zammour-Z
902731229323,303,,1780 Hino Boulevard,27,7716.0,Liepaja
934730187245,128,,96 Tafuna Way,28,99865.0,Córdoba
196495945706,472,,934 San Felipe de Puerto Plata Street,29,99780.0,Sind
998009777982,121,,18 Duisburg Boulevard,30,58327.0,
665356572025,138,,217 Botshabelo Place,31,49521.0,Southern Mindanao
678220867005,346,,1425 Shikarpur Manor,32,65599.0,Bihar
18461860151,474,,786 Aurora Avenue,33,65750.0,Yamaguchi
525255540978,316,,1668 Anápolis Street,34,50199.0,Taipei
745994947458,257,,33 Gorontalo Way,35,30348.0,West Bengali
