last_name,actor_id,first_name
GUINESS,1,PENELOPE
WAHLBERG,2,NICK
CHASE,3,ED
DAVIS,4,JENNIFER
LOLLOBRIGIDA,5,JOHNNY
NICHOLSON,6,BETTE
MOSTEL,7,GRACE
JOHANSSON,8,MATTHEW
SWANK,9,JOE
GABLE,10,CHRISTIAN
CAGE,11,ZERO
BERRY,12,KARL
WOOD,13,UMA
BERGEN,14,VIVIEN
OLIVIER,15,CUBA
COSTNER,16,FRED
VOIGHT,17,HELEN
TORN,18,DAN
FAWCETT,19,BOB
TRACY,20,LUCILLE
PALTROW,21,KIRSTEN
MARX,22,ELVIS
KILMER,23,SANDRA
STREEP,24,CAMERON
BLOOM,25,KEVIN
CRAWFORD,26,RIP
MCQUEEN,27,JULIA
HOFFMAN,28,WOODY
WAYNE,29,ALEC
PECK,30,SANDRA
SOBIESKI,31,SISSY
HACKMAN,32,TIM
PECK,33,MILLA
OLIVIER,34,AUDREY
DEAN,35,JUDY
DUKAKIS,36,BURT
BOLGER,37,VAL
MCKELLEN,38,TOM
BRODY,39,GOLDIE
CAGE,40,JOHNNY
DEGENERES,41,JODIE
MIRANDA,42,TOM
JOVOVICH,43,KIRK
STALLONE,44,NICK
KILMER,45,REESE
GOLDBERG,46,PARKER
BARRYMORE,47,JULIA
DAY-LEWIS,48,FRANCES
CRONYN,49,ANNE
HOPKINS,50,NATALIE
PHOENIX,51,GARY
HUNT,52,CARMEN
TEMPLE,53,MENA
PINKETT,54,PENELOPE
KILMER,55,FAY
HARRIS,56,DAN
CRUISE,57,JUDE
AKROYD,58,CHRISTIAN
TAUTOU,59,DUSTIN
BERRY,60,HENRY
NEESON,61,CHRISTIAN
NEESON,62,JAYNE
WRAY,63,CAMERON
JOHANSSON,64,RAY
HUDSON,65,ANGELA
TANDY,66,MARY
BAILEY,67,JESSICA
WINSLET,68,RIP
PALTROW,69,KENNETH
MCCONAUGHEY,70,MICHELLE
GRANT,71,ADAM
WILLIAMS,72,SEAN
PENN,73,GARY
KEITEL,74,MILLA
POSEY,75,BURT
ASTAIRE,76,ANGELINA
MCCONAUGHEY,77,CARY
SINATRA,78,GROUCHO
HOFFMAN,79,MAE
CRUZ,80,RALPH
DAMON,81,SCARLETT
JOLIE,82,WOODY
WILLIS,83,BEN
PITT,84,JAMES
ZELLWEGER,85,MINNIE
CHAPLIN,86,GREG
PECK,87,SPENCER
PESCI,88,KENNETH
DENCH,89,CHARLIZE
GUINESS,90,SEAN
BERRY,91,CHRISTOPHER
AKROYD,92,KIRSTEN
PRESLEY,93,ELLEN
TORN,94,KENNETH
WAHLBERG,95,DARYL
WILLIS,96,GENE
HAWKE,97,MEG
BRIDGES,98,CHRIS
MOSTEL,99,JIM
DEPP,100,SPENCER
DAVIS,101,SUSAN
TORN,102,WALTER
LEIGH,103,MATTHEW
CRONYN,104,PENELOPE
CROWE,105,SIDNEY
DUNST,106,GROUCHO
DEGENERES,107,GINA
NOLTE,108,WARREN
DERN,109,SYLVESTER
DAVIS,110,SUSAN
ZELLWEGER,111,CAMERON
BACALL,112,RUSSELL
HOPKINS,113,MORGAN
MCDORMAND,114,MORGAN
BALE,115,HARRISON
STREEP,116,DAN
TRACY,117,RENEE
ALLEN,118,CUBA
JACKMAN,119,WARREN
MONROE,120,PENELOPE
BERGMAN,121,LIZA
NOLTE,122,SALMA
DENCH,123,JULIANNE
BENING,124,SCARLETT
NOLTE,125,ALBERT
TOMEI,126,FRANCES
GARLAND,127,KEVIN
MCQUEEN,128,CATE
CRAWFORD,129,DARYL
KEITEL,130,GRETA
JACKMAN,131,JANE
HOPPER,132,ADAM
PENN,133,RICHARD
HOPKINS,134,GENE
REYNOLDS,135,RITA
MANSFIELD,136,ED
WILLIAMS,137,MORGAN
DEE,138,LUCILLE
GOODING,139,EWAN
HURT,140,WHOOPI
HARRIS,141,CATE
RYDER,142,JADA
DEAN,143,RIVER
WITHERSPOON,144,ANGELA
ALLEN,145,KIM
JOHANSSON,146,ALBERT
WINSLET,147,FAY
DEE,148,EMILY
TEMPLE,149,RUSSELL
NOLTE,150,JAYNE
HESTON,151,GEOFFREY
HARRIS,152,BEN
KILMER,153,MINNIE
GIBSON,154,MERYL
TANDY,155,IAN
WOOD,156,FAY
MALDEN,157,GRETA
BASINGER,158,VIVIEN
BRODY,159,LAURA
DEPP,160,CHRIS
HOPE,161,HARVEY
KILMER,162,OPRAH
WEST,163,CHRISTOPHER
WILLIS,164,HUMPHREY
GARLAND,165,AL
DEGENERES,166,NICK
BULLOCK,167,LAURENCE
WILSON,168,WILL
HOFFMAN,169,KENNETH
HOPPER,170,MENA
PFEIFFER,171,OLYMPIA
WILLIAMS,172,GROUCHO
DREYFUSS,173,ALAN
BENING,174,MICHAEL
HACKMAN,175,WILLIAM
CHASE,176,JON
MCKELLEN,177,GENE
MONROE,178,LISA
GUINESS,179,ED
SILVERSTONE,180,JEFF
CARREY,181,MATTHEW
AKROYD,182,DEBBIE
CLOSE,183,RUSSELL
GARLAND,184,HUMPHREY
BOLGER,185,MICHAEL
ZELLWEGER,186,JULIA
BALL,187,RENEE
DUKAKIS,188,ROCK
BIRCH,189,CUBA
BAILEY,190,AUDREY
GOODING,191,GREGORY
SUVARI,192,JOHN
TEMPLE,193,BURT
ALLEN,194,MERYL
SILVERSTONE,195,JAYNE
WALKEN,196,BELA
WEST,197,REESE
KEITEL,198,MARY
FAWCETT,199,JULIA
TEMPLE,200,THORA
