address,country,address_id,district,postal_code,city,address2,phone,country_id,city_id
47 MySakila Drive,Canada,1,Alberta,,Lethbridge,,,20,300
28 MySQL Boulevard,Australia,2,QLD,,Woodridge,,,8,576
23 Workhaven Lane,Canada,3,Alberta,,Lethbridge,,14033335568.0,20,300
1411 Lillydale Drive,Australia,4,QLD,,Woodridge,,6172235589.0,8,576
1913 Hanoi Way,Japan,5,Nagasaki,35200.0,Sasebo,,28303384290.0,50,463
1121 Loja Avenue,United States,6,California,17886.0,San Bernardino,,838635286649.0,103,449
692 Joliet Street,Greece,7,Attika,83579.0,Athenai,,448477190408.0,39,38
1566 Inegl Manor,Myanmar,8,Mandalay,53561.0,Myingyan,,705814003527.0,64,349
53 Idfu Parkway,Taiwan,9,Nantou,42399.0,Nantou,,10655648674.0,92,361
1795 Santiago de Compostela Way,United States,10,Texas,18743.0,Laredo,,860452626434.0,103,295
900 Santiago de Compostela Parkway,Yugoslavia,11,Central Serbia,93896.0,Kragujevac,,716571220373.0,108,280
478 Joliet Way,New Zealand,12,Hamilton,77948.0,Hamilton,,657282285970.0,68,200
613 Korolev Drive,Oman,13,Masqat,45844.0,Masqat,,380657522649.0,71,329
1531 Sal Drive,Iran,14,Esfahan,53628.0,Esfahan,,648856936185.0,46,162
1542 Tarlac Parkway,Japan,15,Kanagawa,1027.0,Sagamihara,,635297277345.0,50,440
808 Bhopal Manor,India,16,Haryana,10672.0,Yamuna Nagar,,465887807014.0,44,582
270 Amroha Parkway,Turkey,17,Osmaniye,29610.0,Osmaniye,,695479687538.0,97,384
770 Bydgoszcz Avenue,United States,18,California,16266.0,Citrus Heights,,517338314235.0,103,120
419 Iligan Lane,India,19,Madhya Pradesh,72878.0,Bhopal,,990911107354.0,44,76
360 Toulouse Parkway,United Kingdom,20,England,54308.0,Southend-on-Sea,,949312333307.0,102,495
270 Toulon Boulevard,Russian Federation,21,Kalmykia,81766.0,Elista,,407752414682.0,80,156
320 Brest Avenue,Nigeria,22,Kaduna,43331.0,Kaduna,,747791594069.0,69,252
1417 Lancaster Avenue,South Africa,23,Northern Cape,72192.0,Kimberley,,272572357893.0,85,267
1688 Okara Way,Pakistan,24,Nothwest Border Prov,21954.0,Mardan,,144453869132.0,72,327
262 A Corua (La Corua) Parkway,Bangladesh,25,Dhaka,34418.0,Tangail,,892775750063.0,12,525
28 Charlotte Amalie Street,Morocco,26,Rabat-Sal-Zammour-Z,37551.0,Sal,,161968374323.0,62,443
1780 Hino Boulevard,Latvia,27,Liepaja,7716.0,Liepaja,,902731229323.0,54,303
96 Tafuna Way,Argentina,28,Crdoba,99865.0,Crdoba,,934730187245.0,6,128
934 San Felipe de Puerto Plata Street,Pakistan,29,Sind,99780.0,Shikarpur,,196495945706.0,72,472
18 Duisburg Boulevard,Holy See (Vatican City State),30,,58327.0,Citt del Vaticano,,998009777982.0,41,121
217 Botshabelo Place,Philippines,31,Southern Mindanao,49521.0,Davao,,665356572025.0,75,138
1425 Shikarpur Manor,India,32,Bihar,65599.0,Munger (Monghyr),,678220867005.0,44,346
786 Aurora Avenue,Japan,33,Yamaguchi,65750.0,Shimonoseki,,18461860151.0,50,474
1668 Anpolis Street,Taiwan,34,Taipei,50199.0,Lungtan,,525255540978.0,92,316
33 Gorontalo Way,India,35,West Bengali,30348.0,Kamarhati,,745994947458.0,44,257
176 Mandaluyong Place,India,36,Uttar Pradesh,65213.0,Jhansi,,627705991774.0,44,239
127 Purnea (Purnia) Manor,Italy,37,Piemonte,79388.0,Alessandria,,911872220378.0,49,17
61 Tama Street,Japan,38,Okayama,94065.0,Kurashiki,,708403338270.0,50,284
391 Callao Drive,France,39,Midi-Pyrnes,34021.0,Toulouse,,440512153169.0,34,544
334 Munger (Monghyr) Lane,Iran,40,Markazi,38145.0,Arak,,481183273622.0,46,31
1440 Fukuyama Loop,China,41,Henan,47929.0,Nanyang,,912257250465.0,23,362
269 Cam Ranh Parkway,Moldova,42,Chisinau,34689.0,Chisinau,,489783829737.0,61,115
306 Antofagasta Place,Brazil,43,Esprito Santo,3989.0,Vila Velha,,378318851631.0,15,569
671 Graz Street,Morocco,44,Oriental,94399.0,Nador,,680768868518.0,62,353
42 Brindisi Place,Armenia,45,Yerevan,16744.0,Yerevan,,42384721397.0,7,586
1632 Bislig Avenue,Thailand,46,Nonthaburi,61117.0,Pak Kret,,471675840679.0,94,394
1447 Imus Way,French Polynesia,47,Tahiti,48942.0,Faaa,,539758313890.0,36,167
1998 Halifax Drive,Russian Federation,48,Lipetsk,76022.0,Lipetsk,,177727722820.0,80,308
1718 Valencia Street,Chile,49,Antofagasta,37359.0,Antofagasta,,675292816413.0,22,27
46 Pjatigorsk Lane,Russian Federation,50,Moscow (City),23616.0,Moscow,,262076994845.0,80,343
686 Garland Manor,Brazil,51,Cear,52535.0,Juazeiro do Norte,,69493378813.0,15,247
909 Garland Manor,Russian Federation,52,Tatarstan,69367.0,Niznekamsk,,705800322606.0,80,367
725 Isesaki Place,Saudi Arabia,53,Mekka,74428.0,Jedda,,876295323994.0,82,237
115 Hidalgo Parkway,Sudan,54,Khartum,80168.0,Omdurman,,307703950263.0,89,379
1135 Izumisano Parkway,United States,55,California,48150.0,Fontana,,171822533480.0,103,171
939 Probolinggo Loop,Spain,56,Galicia,4166.0,A Corua (La Corua),,680428310138.0,87,1
17 Kabul Boulevard,Japan,57,Chiba,38594.0,Nagareyama,,697760867968.0,50,355
1964 Allappuzha (Alleppey) Street,Japan,58,Yamaguchi,48980.0,Iwakuni,,920811325222.0,50,227
1697 Kowloon and New Kowloon Loop,Russian Federation,59,Moskova,57807.0,Balaiha,,499352017190.0,80,49
1668 Saint Louis Place,French Polynesia,60,Tahiti,39072.0,Papeete,,347487831378.0,36,397
943 Tokat Street,Liechtenstein,61,Vaduz,45428.0,Vaduz,,889318963672.0,55,560
