prospect_AgencyID,prospect_Gender,prospect_MaritalStatus,prospect_State,prospect_Country,prospect_Age,prospect_NetWorth,prospect_FirstName,prospect_Income,prospect_AddressLine1,prospect_City,prospect_CreditRating,prospect_Employer,prospect_PostalCode,prospect_AddressLine2,prospect_NumberCars,prospect_NumberChildren,prospect_OwnOrRentFlag,prospect_NumberCreditCards
Iok7501,,U,MO,United States of America,7.0,321776.0,wbwsqgtaa,94490.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Baltimore,580.0,FM Global,Guudshirvcu,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,3.0,,U,
tia7502,M,S,TX,Canada,48.0,2292324.0,QGJWCPAPZMWHYHZTNOYSSOQBI,7037.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,Kitchener,683.0,MGIC Investment,wyggjewbe,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,4.0,4.0,R,2.0
AOI7503,,M,CT,,14.0,969707.0,BHGXDDPUMBESLQMNEPREPTZNNKM,419269.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,Saint John,411.0,Ross Stores,YMZRQICUTHT,Cdrxeolwrrxmwmhgexvcstvzz,1.0,5.0,O,2.0
PJQ7504,m,W,UT,United States of America,29.0,3899461.0,Xgnvppcxgfnmawlupgfa,76681.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Berkeley,818.0,,Bcjuycmcen,WKSBVOFGJHQGAEKUYRZHHPH,4.0,5.0,U,9.0
SDV7505,,U,RI,United States of America,69.0,3749223.0,Tfiozpstcftslqtwkgngiiwo,209116.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Missoula,370.0,Alliance One International,Nujxguyehf,skxijfqpzshmts,2.0,4.0,R,7.0
Hga7506,F,U,DE,,47.0,3658531.0,fbcahlrhhjoslfzqvvwwvhk,212203.0,Ajpkrmtlcbdzr,Salinas,833.0,Sally Beauty Holdings,Neigswk,ZETOHHRKIBHCQCKZODIXJJSXCFY,0.0,0.0,O,6.0
Beo7507,M,M,NM,Canada,0.0,1738460.0,Dcgkohfcwyoaxckalqnkrzwq,42018.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,San Jose,536.0,Wisconsin Energy,WNCEOQPLW,LJXAXKUJXQBGWBHJJAAM,5.0,5.0,U,2.0
Qum7508,,S,WV,United States of America,46.0,3307296.0,Vmnmcsinflxxmmifydckncc,90446.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Cleveland,775.0,Carpenter Technology,Cskdwtkf,Jmlgjkjbqhrudrkqrm,0.0,0.0,R,0.0
Hud7509,,M,NH,United States of America,6.0,1816419.0,Vrkbkkxkddtximspigmlbwzt,16274.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Huntington,765.0,Liberty Mutual Insurance Group,tcxswloetdt,Qqcilgblxyikgr,1.0,1.0,R,3.0
jba7510,m,M,WY,Canada,22.0,2599250.0,RMWCTFTLSVTMCBI,22215.0,Ycltsquohmuugxihqyluhkoy,Paterson,555.0,Black & Decker,Fkpemasoukih,Ahtohqjfzfarn,5.0,2.0,O,6.0
dgc7511,m,M,Saskatchewan,United States of America,72.0,490443.0,Zaijioc,210038.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Greensboro,,Interstate Bakeries,NCEVKLQEEWTA,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,5.0,1.0,O,3.0
lql7512,,M,NE,Canada,40.0,3348923.0,Mdwdjpdfmbqjaygkfqzqx,307402.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Concord,318.0,eBay,DODDIDDHXS,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,4.0,5.0,O,9.0
Wsk7513,m,D,AR,United States of America,8.0,331799.0,Ccbccgvldfvoqtzestvkwunn,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Colorado Springs,613.0,Boise,Oqnzttrldq,ucxdpiwilpxxhv,4.0,1.0,R,4.0
Ffs7514,,U,IL,,10.0,1167013.0,nyakrhdyxravdnhgbtol,432425.0,,Mobile,786.0,MDU Resources Group,Lwbawk,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0,1.0,R,4.0
Kvv7515,,U,VA,United States of America,24.0,3960216.0,NDNBTVCLKSC,122041.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Thousand Oaks,,Freescale Semiconductor,Ppsrzjdtg,,0.0,3.0,O,10.0
