AgencyID,PostalCode,NumberChildren,AddressLine2,AddressLine1,Gender,NumberCreditCards,City,NetWorth,MiddleInitial,Employer,CreditRating,Phone,LastName,NumberCars,FirstName,State,Country
PEL0,T6b 1i1,3.0,,21847 olympia street,f,,Fairbanks,1058868.0,,Brink's,760.0,1-712-522-6088,PELLAND,,Netti,MA,United States of America
LED1,77281,1.0,APT. 624,245 congress court,F,6.0,Quebec,1988185.0,,,555.0,1-626-426-4298,LEDUC,5.0,TRUDY,PA,United States of America
lat2,91355,1.0,,6517 frailing west,,6.0,Henderson,3673128.0,,,566.0,1-524-787-8784,latif,2.0,ireland,Alberta,United States of America
RUD3,36615,1.0,,11449 blalock park,,3.0,Salem,2005895.0,,Air Products & Chemicals,,1-741-997-1688,RUDDICK,2.0,Misti,AR,Canada
JAY4,t6a 1i3,3.0,Apt. 619,18354 dodd court,f,4.0,Toledo,624736.0,M,Oshkosh,815.0,1-002-194-1991,JAYAMANNE,0.0,sarena,OR,Canada
tod5,A2b 1v3,4.0,,14117 roxboro street,M,10.0,Corpus Christi,3064615.0,Z,,333.0,1-441-371-7651,todo,1.0,Paulette,VA,United States of America
Kan6,49513,0.0,,24697 FLORENCE WEST,m,1.0,Salt Lake City,3489129.0,R,VeraSun Energy,528.0,1-957-940-5980,Kanno,4.0,AMALITA,OH,Canada
Din7,M5d 1v6,2.0,,6488 applewood drive,,7.0,Brownsville,3430744.0,Z,IDT,680.0,1-768-633-4096,Dinkel,2.0,Ernesto,Prince Edward Island,United States of America
Thi8,V6c 1q1,,,17404 gale court,,10.0,Escondido,1743614.0,,Adams Resources & Energy,761.0,1-107-689-2155,Thibodeaux,3.0,Toby,NV,United States of America
May9,99716,2.0,,15913 alexis street,,,Los Angeles,216299.0,,MGIC Investment,416.0,1-173-594-6096,Mayo,0.0,evangelia,Ontario,United States of America
mah10,A2b 1w1,2.0,,18313 5th lane,,9.0,West Covina,1528641.0,U,Iasis Healthcare,493.0,1-561-520-0611,mahendra,2.0,umakanth,TX,Canada
Siz11,M5F 1W1,0.0,,13653 collier avenue,,0.0,San Buenaventura,3752907.0,,AMR,564.0,1-730-406-9727,Sizto,1.0,terrie,NE,United States of America
cra12,95118,4.0,,15306 pike park,,0.0,Lexington,582378.0,,Embarq,817.0,,crawley,1.0,Mary-pat,AR,United States of America
dac13,H2f 1v7,5.0,,1540 crestmere north,m,8.0,Hay River,3458824.0,,Advanced Micro Devices,653.0,1-207-867-4589,dacal,3.0,Catherin,MI,United States of America
HIV14,19217,4.0,,10790 bonita crescent,,2.0,Toronto,469408.0,W,Cenveo,587.0,1-478-629-9641,HIVELY,3.0,annissa,MA,United States of America
Pes15,21228,2.0,Apt. 290,24679 AIRPORT CRESCENT,,6.0,Denver,1504480.0,,Kelly Services,472.0,1-026-208-8595,Peschke,0.0,Amour,TN,United States of America
CHI16,85097,4.0,,7627 douglas road,,4.0,St. Paul,2763009.0,,Viacom,817.0,1-432-681-4853,CHILDERHOSE,5.0,jenica,TN,Canada
Din17,V6j 1q8,4.0,,6106 ashland east,,0.0,Bellevue,2787199.0,,Macy's,441.0,,Dinnin,5.0,KATTIE,OK,United States of America
De 18,43207,3.0,,1111 norden street,,6.0,Detroit,2789368.0,M,Gardner Denver,848.0,1-357-207-6320,De witte,2.0,Roselle,Ontario,United States of America
Mck19,V6t 1q8,3.0,,2798 1st east,m,8.0,Omaha,2784776.0,,Family Dollar Stores,843.0,1-462-774-1277,Mckeegan,3.0,arlyne,KY,United States of America
WIN20,94467,0.0,,11358 elle lee street,M,,Costa Mesa,288747.0,P,,,1-702-382-2898,WINTERS,2.0,Rong-chin,PA,United States of America
BIT21,94321,3.0,,21074 MALLORY LOWER,,0.0,Berkeley,876575.0,,Sun Microsystems,300.0,1-909-554-7120,BITTMAN,5.0,Darlleen,MD,United States of America
luz22,C2a 4w7,1.0,,16124 weyland park,f,8.0,St. Louis,2041224.0,V,Costco Wholesale,795.0,1-752-296-7940,luzarraga,1.0,Radoslav,TX,United States of America
don23,35808,0.0,,23822 marvin crescent,,5.0,Colorado Springs,2231509.0,S,Illinois Tool Works,367.0,1-995-554-5056,donovan,4.0,Aryn,IN,United States of America
Gia24,M5f 1v6,5.0,,2203 valita boulevard,,1.0,Fontana,3206409.0,T,Southern Union,507.0,1-090-303-3807,Giallo,1.0,Allisan,MD,United States of America
SPR25,99539,1.0,,11538 COLLINWOOD AVENUE,M,9.0,St. Catharines,3850037.0,,Moog,362.0,1-492-968-0932,SPRUELL,3.0,Ammamaria,KY,United States of America
