AgencyID,OwnOrRentFlag,MaritalStatus,CreditRating,Country,MiddleInitial,LastName,FirstName,Gender,AddressLine1,AddressLine2,PostalCode,City,State
PEL0,O,W,760.0,United States of America,,PELLAND,Netti,f,21847 olympia street,,T6b 1i1,Fairbanks,MA
LED1,U,U,555.0,United States of America,,LEDUC,TRUDY,F,245 congress court,APT. 624,77281,Quebec,PA
lat2,O,S,566.0,United States of America,,latif,ireland,,6517 frailing west,,91355,Henderson,Alberta
RUD3,O,W,,Canada,,RUDDICK,Misti,,11449 blalock park,,36615,Salem,AR
JAY4,O,M,815.0,Canada,M,JAYAMANNE,sarena,f,18354 dodd court,Apt. 619,t6a 1i3,Toledo,OR
tod5,R,M,333.0,United States of America,Z,todo,Paulette,M,14117 roxboro street,,A2b 1v3,Corpus Christi,VA
Kan6,O,,528.0,Canada,R,Kanno,AMALITA,m,24697 FLORENCE WEST,,49513,Salt Lake City,OH
Din7,U,M,680.0,United States of America,Z,Dinkel,Ernesto,,6488 applewood drive,,M5d 1v6,Brownsville,Prince Edward Island
Thi8,O,U,761.0,United States of America,,Thibodeaux,Toby,,17404 gale court,,V6c 1q1,Escondido,NV
May9,O,M,416.0,United States of America,,Mayo,evangelia,,15913 alexis street,,99716,Los Angeles,Ontario
mah10,O,M,493.0,Canada,U,mahendra,umakanth,,18313 5th lane,,A2b 1w1,West Covina,TX
Siz11,R,M,564.0,United States of America,,Sizto,terrie,,13653 collier avenue,,M5F 1W1,San Buenaventura,NE
cra12,U,U,817.0,United States of America,,crawley,Mary-pat,,15306 pike park,,95118,Lexington,AR
dac13,R,U,653.0,United States of America,,dacal,Catherin,m,1540 crestmere north,,H2f 1v7,Hay River,MI
HIV14,O,M,587.0,United States of America,W,HIVELY,annissa,,10790 bonita crescent,,19217,Toronto,MA
Pes15,O,S,472.0,United States of America,,Peschke,Amour,,24679 AIRPORT CRESCENT,Apt. 290,21228,Denver,TN
CHI16,O,M,817.0,Canada,,CHILDERHOSE,jenica,,7627 douglas road,,85097,St. Paul,TN
Din17,R,M,441.0,United States of America,,Dinnin,KATTIE,,6106 ashland east,,V6j 1q8,Bellevue,OK
De 18,O,M,848.0,United States of America,M,De witte,Roselle,,1111 norden street,,43207,Detroit,Ontario
Mck19,R,U,843.0,United States of America,,Mckeegan,arlyne,m,2798 1st east,,V6t 1q8,Omaha,KY
WIN20,R,U,,United States of America,P,WINTERS,Rong-chin,M,11358 elle lee street,,94467,Costa Mesa,PA
BIT21,O,U,300.0,United States of America,,BITTMAN,Darlleen,,21074 MALLORY LOWER,,94321,Berkeley,MD
luz22,O,U,795.0,United States of America,V,luzarraga,Radoslav,f,16124 weyland park,,C2a 4w7,St. Louis,TX
don23,U,,367.0,United States of America,S,donovan,Aryn,,23822 marvin crescent,,35808,Colorado Springs,IN
Gia24,O,M,507.0,United States of America,T,Giallo,Allisan,,2203 valita boulevard,,M5f 1v6,Fontana,MD
SPR25,O,M,362.0,United States of America,,SPRUELL,Ammamaria,M,11538 COLLINWOOD AVENUE,,99539,St. Catharines,KY
SKA26,O,D,527.0,United States of America,,SKALSKI,Mari,F,7818 EAST STREET,,95055,Hayward,CA
Gar27,O,S,354.0,United States of America,,Gargul,Anica,m,10013 shaw road,,93686,Palmdale,FL
Dor28,O,M,511.0,United States of America,,Dore,Melba,,6802 AMES STREET,,75218,Phoenix,Newfoundland
DIO29,,,412.0,United States of America,X,DIOGO,Tracee,,22501 SUMMIT RUE,,91174,Gary,TX
Mer30,O,S,583.0,Canada,,Merrick,CANADIAN,m,291 frances rue,,49515,Beaumont,WA
Atc31,O,U,710.0,United States of America,R,Atchison,Oue,,16264 sanders east,,16506,Nashua,MN
Pla32,O,M,380.0,United States of America,X,Plamondon,wallie,m,16068 cantey way,,94383,San Jose,WY
SEL33,R,M,796.0,United States of America,E,SELCHOW,Andromache,F,21170 EDLOE BOULEVARD,,T6d 1b3,Nashua,NY
sha34,U,M,818.0,United States of America,Z,shane,THOR,f,885 CROSBY LANE,,25339,Fort Smith,SC
MER35,U,M,766.0,United States of America,,MERWIN,SALAH,,12235 jay street,,V6o 1v4,Lancaster,MS
con36,O,M,359.0,United States of America,,conrad,HOR-LAM,,20340 LOMBARD CRESCENT,,01852,Colorado Springs,UT
ons37,R,S,401.0,United States of America,,onsiteteam,Vania,M,22074 dexter upper,,78230,Washington,PA
Sum38,O,U,609.0,Canada,,Summerlin,Niel,M,1540 MURIE RUE,,93770,Lowell,OK
gro39,O,S,630.0,United States of America,F,grooms,ziad,,7075 glen loch drive,,m4l 1n4,Frederick,WY
dil40,O,M,671.0,United States of America,I,dilkie,Claude,,11237 balmoral way,Apt. 382,22335,Mesa,RI
