AgencyID,CreditRating,City,Gender,PostalCode,Phone,NumberChildren,OwnOrRentFlag,Income,AddressLine1,LastName,MiddleInitial,Employer,Country,NetWorth,FirstName,AddressLine2,State
PEL0,760.0,Fairbanks,f,T6b 1i1,1-712-522-6088,3.0,O,368776.0,21847 olympia street,PELLAND,,Brink's,United States of America,1058868.0,Netti,,MA
LED1,555.0,Quebec,F,77281,1-626-426-4298,1.0,U,177967.0,245 congress court,LEDUC,,,United States of America,1988185.0,TRUDY,APT. 624,PA
lat2,566.0,Henderson,,91355,1-524-787-8784,1.0,O,321772.0,6517 frailing west,latif,,,United States of America,3673128.0,ireland,,Alberta
RUD3,,Salem,,36615,1-741-997-1688,1.0,O,25449.0,11449 blalock park,RUDDICK,,Air Products & Chemicals,Canada,2005895.0,Misti,,AR
JAY4,815.0,Toledo,f,t6a 1i3,1-002-194-1991,3.0,O,166567.0,18354 dodd court,JAYAMANNE,M,Oshkosh,Canada,624736.0,sarena,Apt. 619,OR
tod5,333.0,Corpus Christi,M,A2b 1v3,1-441-371-7651,4.0,R,43631.0,14117 roxboro street,todo,Z,,United States of America,3064615.0,Paulette,,VA
Kan6,528.0,Salt Lake City,m,49513,1-957-940-5980,0.0,O,466230.0,24697 FLORENCE WEST,Kanno,R,VeraSun Energy,Canada,3489129.0,AMALITA,,OH
Din7,680.0,Brownsville,,M5d 1v6,1-768-633-4096,2.0,U,420243.0,6488 applewood drive,Dinkel,Z,IDT,United States of America,3430744.0,Ernesto,,Prince Edward Island
Thi8,761.0,Escondido,,V6c 1q1,1-107-689-2155,,O,141862.0,17404 gale court,Thibodeaux,,Adams Resources & Energy,United States of America,1743614.0,Toby,,NV
May9,416.0,Los Angeles,,99716,1-173-594-6096,2.0,O,402011.0,15913 alexis street,Mayo,,MGIC Investment,United States of America,216299.0,evangelia,,Ontario
mah10,493.0,West Covina,,A2b 1w1,1-561-520-0611,2.0,O,79928.0,18313 5th lane,mahendra,U,Iasis Healthcare,Canada,1528641.0,umakanth,,TX
Siz11,564.0,San Buenaventura,,M5F 1W1,1-730-406-9727,0.0,R,109496.0,13653 collier avenue,Sizto,,AMR,United States of America,3752907.0,terrie,,NE
cra12,817.0,Lexington,,95118,,4.0,U,267901.0,15306 pike park,crawley,,Embarq,United States of America,582378.0,Mary-pat,,AR
dac13,653.0,Hay River,m,H2f 1v7,1-207-867-4589,5.0,R,487273.0,1540 crestmere north,dacal,,Advanced Micro Devices,United States of America,3458824.0,Catherin,,MI
HIV14,587.0,Toronto,,19217,1-478-629-9641,4.0,O,34013.0,10790 bonita crescent,HIVELY,W,Cenveo,United States of America,469408.0,annissa,,MA
Pes15,472.0,Denver,,21228,1-026-208-8595,2.0,O,473462.0,24679 AIRPORT CRESCENT,Peschke,,Kelly Services,United States of America,1504480.0,Amour,Apt. 290,TN
CHI16,817.0,St. Paul,,85097,1-432-681-4853,4.0,O,499493.0,7627 douglas road,CHILDERHOSE,,Viacom,Canada,2763009.0,jenica,,TN
Din17,441.0,Bellevue,,V6j 1q8,,4.0,R,266928.0,6106 ashland east,Dinnin,,Macy's,United States of America,2787199.0,KATTIE,,OK
De 18,848.0,Detroit,,43207,1-357-207-6320,3.0,O,72444.0,1111 norden street,De witte,M,Gardner Denver,United States of America,2789368.0,Roselle,,Ontario
Mck19,843.0,Omaha,m,V6t 1q8,1-462-774-1277,3.0,R,77290.0,2798 1st east,Mckeegan,,Family Dollar Stores,United States of America,2784776.0,arlyne,,KY
WIN20,,Costa Mesa,M,94467,1-702-382-2898,0.0,R,395066.0,11358 elle lee street,WINTERS,P,,United States of America,288747.0,Rong-chin,,PA
BIT21,300.0,Berkeley,,94321,1-909-554-7120,3.0,O,119283.0,21074 MALLORY LOWER,BITTMAN,,Sun Microsystems,United States of America,876575.0,Darlleen,,MD
luz22,795.0,St. Louis,f,C2a 4w7,1-752-296-7940,1.0,O,330991.0,16124 weyland park,luzarraga,V,Costco Wholesale,United States of America,2041224.0,Radoslav,,TX
don23,367.0,Colorado Springs,,35808,1-995-554-5056,0.0,U,,23822 marvin crescent,donovan,S,Illinois Tool Works,United States of America,2231509.0,Aryn,,IN
Gia24,507.0,Fontana,,M5f 1v6,1-090-303-3807,5.0,O,252031.0,2203 valita boulevard,Giallo,T,Southern Union,United States of America,3206409.0,Allisan,,MD
SPR25,362.0,St. Catharines,M,99539,1-492-968-0932,1.0,O,101800.0,11538 COLLINWOOD AVENUE,SPRUELL,,Moog,United States of America,3850037.0,Ammamaria,,KY
SKA26,527.0,Hayward,F,95055,1-960-227-2020,1.0,O,436977.0,7818 EAST STREET,SKALSKI,,Old Republic International,United States of America,528440.0,Mari,,CA
Gar27,354.0,Palmdale,m,93686,1-431-122-8597,,O,495334.0,10013 shaw road,Gargul,,,United States of America,597140.0,Anica,,FL
Dor28,511.0,Phoenix,,75218,1-822-836-7200,1.0,O,274685.0,6802 AMES STREET,Dore,,Great Plains Energy,United States of America,146931.0,Melba,,Newfoundland
DIO29,412.0,Gary,,91174,1-530-117-0497,2.0,,320820.0,22501 SUMMIT RUE,DIOGO,X,Broadcom,United States of America,353495.0,Tracee,,TX
Mer30,583.0,Beaumont,m,49515,1-051-257-2719,0.0,O,195835.0,291 frances rue,Merrick,,Discover Financial Services,Canada,295647.0,CANADIAN,,WA
Atc31,710.0,Nashua,,16506,1-171-989-1363,3.0,O,108085.0,16264 sanders east,Atchison,R,UAL,United States of America,408941.0,Oue,,MN
Pla32,380.0,San Jose,m,94383,1-042-705-3246,1.0,O,260185.0,16068 cantey way,Plamondon,X,Charles Schwab,United States of America,362523.0,wallie,,WY
SEL33,796.0,Nashua,F,T6d 1b3,1-098-328-2026,0.0,R,258323.0,21170 EDLOE BOULEVARD,SELCHOW,E,Coach,United States of America,2102359.0,Andromache,,NY
sha34,818.0,Fort Smith,f,25339,1-209-754-5635,3.0,U,79476.0,885 CROSBY LANE,shane,Z,DaVita,United States of America,3480265.0,THOR,,SC
MER35,766.0,Lancaster,,V6o 1v4,1-498-781-3456,3.0,U,102156.0,12235 jay street,MERWIN,,Marshall & Ilsley Corp.,United States of America,3648900.0,SALAH,,MS
con36,359.0,Colorado Springs,,01852,1-615-241-0440,3.0,O,221481.0,20340 LOMBARD CRESCENT,conrad,,Cablevision Systems,United States of America,1161790.0,HOR-LAM,,UT
ons37,401.0,Washington,M,78230,1-995-449-5200,5.0,R,41836.0,22074 dexter upper,onsiteteam,,Barnes & Noble,United States of America,2050587.0,Vania,,PA
Sum38,609.0,Lowell,M,93770,1-295-673-4452,1.0,O,72389.0,1540 MURIE RUE,Summerlin,,EMC,Canada,3579198.0,Niel,,OK
gro39,630.0,Frederick,,m4l 1n4,1-914-675-2986,0.0,O,66486.0,7075 glen loch drive,grooms,F,Fluor,United States of America,889494.0,ziad,,WY
dil40,671.0,Mesa,,22335,,1.0,O,200185.0,11237 balmoral way,dilkie,I,Dollar General,United States of America,2205682.0,Claude,Apt. 382,RI
DOL41,715.0,Lakewood,,V6C 1T4,1-825-739-0336,2.0,O,289215.0,8316 GARDEN BROOK NORTH,DOLSON,,Lear,United States of America,1140117.0,AVTAR,,HI
