AgencyID,Country,LastName,NumberChildren,MiddleInitial,Gender,FirstName,AddressLine1,AddressLine2,PostalCode,City,State,Phone,Income
PEL0,hnitedStatesofAner7cz,P2LLAND,2.0,,f,Netti,21847 olympia street,,T6b 1i1,Fairbanks,MA,1-712-522-6088,368776.0
LED1,UnihedStatdsofAhe4ica,L4DUC,1.0,,F,TRUDY,245 congress court,APT. 624,77281,Quebec,PA,1-626-426-4298,177967.0
lat2,hnitevStateslfzmerica,layif,2.0,,,ireland,6517 frailing west,,91355,Henderson,Alberta,1-524-787-8784,321772.0
RUD3,Canwda,RUwDICK,5.0,,,Misti,11449 blalock park,,36615,Salem,AR,1-741-997-1688,25449.0
JAY4,Canafa,JxYAMANNE,2.0,M,f,sarena,18354 dodd court,Apt. 619,t6a 1i3,Toledo,OR,1-002-194-1991,166567.0
tod5,6nitedztatwsocAmerica,todo,2.0,Z,M,Paulette,14117 roxboro street,,A2b 1v3,Corpus Christi,VA,1-441-371-7651,43631.0
Kan6,Cansda,manno,2.0,R,m,AMALITA,24697 FLORENCE WEST,,49513,Salt Lake City,OH,1-957-940-5980,466230.0
Din7,Un9t4dSta4esifAmerica,D8nkel,3.0,Z,,Ernesto,6488 applewood drive,,M5d 1v6,Brownsville,Prince Edward Island,1-768-633-4096,420243.0
Thi8,UnitedSta4ds0fsmerica,Thigodeaud,,,,Toby,17404 gale court,,V6c 1q1,Escondido,NV,1-107-689-2155,141862.0
May9,Un7tedStatrsovwmerica,Mayo,0.0,,,evangelia,15913 alexis street,,99716,Los Angeles,Ontario,1-173-594-6096,402011.0
mxh10,Canafa,mahebdra,2.0,U,,umakanth,18313 5th lane,,A2b 1w1,West Covina,TX,1-561-520-0611,79928.0
ciz11,UnigedStat3sofAmfrisa,Sisto,2.0,,,terrie,13653 collier avenue,,M5F 1W1,San Buenaventura,NE,1-730-406-9727,109496.0
cra1e,Unitedd4ahesofAmetica,crwwley,3.0,,,Mary-pat,15306 pike park,,95118,Lexington,AR,,267901.0
dacw3,UhiyedStatespfAmerics,dacql,2.0,,m,Catherin,1540 crestmere north,,H2f 1v7,Hay River,MI,1-207-867-4589,487273.0
HIV1t,jnitedetatexofAmer7ca,HIVEiY,2.0,W,,annissa,10790 bonita crescent,,19217,Toronto,MA,1-478-629-9641,34013.0
Pes1t,UnihedS6atesofAner7ca,Peschie,3.0,,,Amour,24679 AIRPORT CRESCENT,Apt. 290,21228,Denver,TN,1-026-208-8595,473462.0
CHIq6,Cwnada,CHILcERHOwE,2.0,,,jenica,7627 douglas road,,85097,St. Paul,TN,1-432-681-4853,499493.0
Dinq7,Un7tedxtqtesotAmerica,Dlnnin,1.0,,,KATTIE,6106 ashland east,,V6j 1q8,Bellevue,OK,,266928.0
De18,Unl6edStatespfAmer9ca,Dewit6e,3.0,M,,Roselle,1111 norden street,,43207,Detroit,Ontario,1-357-207-6320,72444.0
