AgencyID,Gender,MaritalStatus,AddressLine1,PostalCode,City,Income,AddressLine2,NetWorth,CreditRating,NumberChildren,Phone,NumberCars,Age,OwnOrRentFlag,Employer,NumberCreditCards
Iok7501,,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Guudshirvcu,Baltimore,94490.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,321776.0,580.0,,1-637-119-9996,3.0,7.0,U,FM Global,
tia7502,M,S,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,wyggjewbe,Kitchener,7037.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,2292324.0,683.0,4.0,1-560-405-0048,4.0,48.0,R,MGIC Investment,2.0
AOI7503,,M,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,YMZRQICUTHT,Saint John,419269.0,Cdrxeolwrrxmwmhgexvcstvzz,969707.0,411.0,5.0,1-261-306-5079,1.0,14.0,O,Ross Stores,2.0
PJQ7504,m,W,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Bcjuycmcen,Berkeley,76681.0,WKSBVOFGJHQGAEKUYRZHHPH,3899461.0,818.0,5.0,1-642-299-6655,4.0,29.0,U,,9.0
SDV7505,,U,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Nujxguyehf,Missoula,209116.0,skxijfqpzshmts,3749223.0,370.0,4.0,,2.0,69.0,R,Alliance One International,7.0
Hga7506,F,U,Ajpkrmtlcbdzr,Neigswk,Salinas,212203.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,3658531.0,833.0,0.0,1-388-257-4273,0.0,47.0,O,Sally Beauty Holdings,6.0
Beo7507,M,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,WNCEOQPLW,San Jose,42018.0,LJXAXKUJXQBGWBHJJAAM,1738460.0,536.0,5.0,,5.0,0.0,U,Wisconsin Energy,2.0
Qum7508,,S,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Cskdwtkf,Cleveland,90446.0,Jmlgjkjbqhrudrkqrm,3307296.0,775.0,0.0,1-632-118-1891,0.0,46.0,R,Carpenter Technology,0.0
Hud7509,,M,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,tcxswloetdt,Huntington,16274.0,Qqcilgblxyikgr,1816419.0,765.0,1.0,1-853-806-4986,1.0,6.0,R,Liberty Mutual Insurance Group,3.0
jba7510,m,M,Ycltsquohmuugxihqyluhkoy,Fkpemasoukih,Paterson,22215.0,Ahtohqjfzfarn,2599250.0,555.0,2.0,1-220-687-2027,5.0,22.0,O,Black & Decker,6.0
dgc7511,m,M,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,NCEVKLQEEWTA,Greensboro,210038.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,490443.0,,1.0,,5.0,72.0,O,Interstate Bakeries,3.0
lql7512,,M,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,DODDIDDHXS,Concord,307402.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,3348923.0,318.0,5.0,1-268-630-3843,4.0,40.0,O,eBay,9.0
Wsk7513,m,D,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Oqnzttrldq,Colorado Springs,,ucxdpiwilpxxhv,331799.0,613.0,1.0,1-915-548-9541,4.0,8.0,R,Boise,4.0
Ffs7514,,U,,Lwbawk,Mobile,432425.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,1167013.0,786.0,1.0,1-536-880-0961,4.0,10.0,R,MDU Resources Group,4.0
Kvv7515,,U,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Ppsrzjdtg,Thousand Oaks,122041.0,,3960216.0,,3.0,1-494-335-6022,0.0,24.0,O,Freescale Semiconductor,10.0
mpz7516,f,M,,,Rochester,302205.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,242246.0,623.0,4.0,1-814-158-3550,1.0,18.0,O,Superior Energy Services,5.0
Jhc7517,F,S,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,,Garden Grove,367555.0,Havgczldcpfmwfzj,1217660.0,845.0,1.0,1-420-580-0795,1.0,79.0,O,Monsanto,1.0
dbq7518,M,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Rxdsunq,Tampa,106025.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,1229655.0,645.0,5.0,1-924-305-1666,4.0,36.0,U,Newfield Exploration,7.0
Xch7519,m,W,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,JXHVEEOU,Fullerton,106690.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,1157831.0,495.0,2.0,1-450-082-2122,2.0,21.0,O,Loews,1.0
oir7520,m,M,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,XHJQCDPOO,Washington,29373.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,,371.0,2.0,1-573-009-1404,2.0,4.0,O,Apache,8.0
Fqb7521,M,S,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,rapkjpmvp,Norfolk,168189.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,,462.0,3.0,1-603-897-9894,2.0,72.0,R,Robert Half International,1.0
qex7522,,S,Dmyivtczopuqajpnjqvvgbhxynvduub,Slskxm,Sydney,264756.0,Rirmrpvlknyho,3467922.0,375.0,,1-947-161-6502,,1.0,U,Viacom,7.0
Hpi7523,,S,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,FXHXLG,Winnipeg,44480.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,46859.0,516.0,2.0,1-586-826-9847,1.0,98.0,U,Robert Half International,10.0
Fjd7524,,,Esuycdxsjfbrqbtluspxsehk,ovlziicdezok,Wilmington,87207.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,2937668.0,703.0,5.0,1-217-243-2668,1.0,35.0,R,CSX,
Cgt7525,,W,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,jsxcpvao,El Monte,238434.0,Rpzwirgfyiw,2388613.0,734.0,2.0,1-857-211-5728,4.0,99.0,O,Country Financial Services,7.0
Lwx7526,M,M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Ykerbceq,Sterling Heights,,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,3116283.0,469.0,2.0,1-089-966-6281,0.0,49.0,U,Procter & Gamble,4.0
epy7527,,S,vnyndcximwxhecv,VVMSNWEBT,Pembroke Pines,391354.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,2671950.0,595.0,0.0,,3.0,72.0,O,Ingles Markets,2.0
Aff7528,m,U,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,bibueqwbejem,Philadelphia,419165.0,Acdrcqabtcdgmgl,3899593.0,410.0,0.0,1-231-342-6874,3.0,41.0,O,Forest Laboratories,1.0
mfc7529,,W,,gehpynlk,Glendale,396509.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,2537332.0,475.0,2.0,,3.0,54.0,O,Dentsply International,10.0
Slf7530,,,GVSBHGBDDVJFNNOZNNPJWCOI,Piwlxtg,El Monte,145161.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,733236.0,,2.0,1-602-637-1838,0.0,11.0,R,RadioShack,2.0
Cxu7531,,W,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Ujlshmosjkid,Warwick,263206.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,519.0,5.0,1-003-982-8627,2.0,0.0,O,Century Aluminum,3.0
GZO7532,,D,BIQIOQOHLQSTBRUFOI,cwburwnupuj,Milwaukee,190371.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,3397276.0,841.0,3.0,1-136-358-6852,3.0,27.0,U,,5.0
DRW7533,,U,Llfaqkbemnoy,CNEZMHTKIAEV,Phoenix,203968.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,2444257.0,540.0,1.0,1-123-528-2965,3.0,95.0,O,FPL Group,6.0
set7534,f,U,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,kixvppuqtd,Anchorage,428323.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,71520.0,540.0,3.0,1-136-565-2501,1.0,35.0,R,Lockheed Martin,10.0
Pyo7535,,M,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,jrhynxfi,Madison,159980.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,1911091.0,,1.0,1-317-986-1984,4.0,96.0,O,Sanmina-SCI,6.0
FSH7536,M,W,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,dnhtjyu,Fontana,266852.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,988775.0,424.0,0.0,1-265-603-1262,0.0,96.0,O,Iron Mountain,6.0
Tdx7537,,M,,YKOVOTYB,Charlotte,206973.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,3919363.0,623.0,5.0,,5.0,49.0,R,OfficeMax,2.0
Sbn7538,,S,atydogjpqphuwhegtbukkqiaeakrtrn,WNNMWJ,Richmond,258221.0,XHQNMCEJKXOQYVSZVESLKC,428918.0,792.0,1.0,1-156-668-6882,5.0,,O,AMR,4.0
Piq7539,f,S,Hlotorcbtobuceb,Oktkljv,Santa Clarita,428508.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,58134.0,718.0,4.0,1-164-648-3203,4.0,27.0,O,Kohl's,6.0
IXD7540,M,M,gsrdigbqfwrahybxrtm,,Yellow Knife,,Toumjfbsumpgfuskpydjeibaxi,3703767.0,401.0,0.0,1-839-795-1027,4.0,98.0,O,Cigna,6.0
wsn7541,,M,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,GXFLSISZUY,Oxnard,58953.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,433859.0,557.0,5.0,1-958-412-4252,4.0,,R,West,2.0
