Employer,NetWorth,Country,Income,NumberCars,AddressLine2,State,AgencyID,OwnOrRentFlag,PostalCode,MiddleInitial,AddressLine1,Age,Phone,MaritalStatus,FirstName,CreditRating,NumberChildren,Gender,NumberCreditCards,City,LastName
FM Global,321776.0,United States of America,94490.0,3.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,MO,Iok7501,U,Guudshirvcu,n,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,7.0,1-637-119-9996,U,wbwsqgtaa,580.0,,,,Baltimore,Iokwiqojocjanndatkdzgymym
MGIC Investment,2292324.0,Canada,7037.0,4.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,TX,tia7502,R,wyggjewbe,,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,48.0,1-560-405-0048,S,QGJWCPAPZMWHYHZTNOYSSOQBI,683.0,4.0,M,2.0,Kitchener,tiabxgseasiibxakctfzhfwotp
Ross Stores,969707.0,,419269.0,1.0,Cdrxeolwrrxmwmhgexvcstvzz,CT,AOI7503,O,YMZRQICUTHT,u,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,14.0,1-261-306-5079,M,BHGXDDPUMBESLQMNEPREPTZNNKM,411.0,5.0,,2.0,Saint John,AOIWIWTIHIXOJ
,3899461.0,United States of America,76681.0,4.0,WKSBVOFGJHQGAEKUYRZHHPH,UT,PJQ7504,U,Bcjuycmcen,,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,29.0,1-642-299-6655,W,Xgnvppcxgfnmawlupgfa,818.0,5.0,m,9.0,Berkeley,PJQSPMBUHYQKBOZ
Alliance One International,3749223.0,United States of America,209116.0,2.0,skxijfqpzshmts,RI,SDV7505,R,Nujxguyehf,,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,69.0,,U,Tfiozpstcftslqtwkgngiiwo,370.0,4.0,,7.0,Missoula,SDVLJWXENNGWCQMIW
Sally Beauty Holdings,3658531.0,,212203.0,0.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,DE,Hga7506,O,Neigswk,F,Ajpkrmtlcbdzr,47.0,1-388-257-4273,U,fbcahlrhhjoslfzqvvwwvhk,833.0,0.0,F,6.0,Salinas,Hgakmykzeunwkiaxayulpwyxrcuev
Wisconsin Energy,1738460.0,Canada,42018.0,5.0,LJXAXKUJXQBGWBHJJAAM,NM,Beo7507,U,WNCEOQPLW,D,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,0.0,,M,Dcgkohfcwyoaxckalqnkrzwq,536.0,5.0,M,2.0,San Jose,Beotomyndkiqryllkvpavllytov
Carpenter Technology,3307296.0,United States of America,90446.0,0.0,Jmlgjkjbqhrudrkqrm,WV,Qum7508,R,Cskdwtkf,,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,46.0,1-632-118-1891,S,Vmnmcsinflxxmmifydckncc,775.0,0.0,,0.0,Cleveland,Qumxrssnd
Liberty Mutual Insurance Group,1816419.0,United States of America,16274.0,1.0,Qqcilgblxyikgr,NH,Hud7509,R,tcxswloetdt,v,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,6.0,1-853-806-4986,M,Vrkbkkxkddtximspigmlbwzt,765.0,1.0,,3.0,Huntington,Hudlpfwjagzbnznyhamjkhbf
Black & Decker,2599250.0,Canada,22215.0,5.0,Ahtohqjfzfarn,WY,jba7510,O,Fkpemasoukih,,Ycltsquohmuugxihqyluhkoy,22.0,1-220-687-2027,M,RMWCTFTLSVTMCBI,555.0,2.0,m,6.0,Paterson,jbabemsfwdyeihxq
