AgencyID,NetWorth,OwnOrRentFlag,CreditRating,MiddleInitial,Country,Income,NumberCreditCards,City,AddressLine2,Employer,Age,AddressLine1,NumberChildren,FirstName,LastName,Gender,PostalCode
PEL0,3351368.0,O,484.0,,jnitedqtatesorAmerida,401519.0,,Fairbanos,,Brunks,5.0,21947olympiac6reet,0.0,Net5i,PELLAND,f,T6b 1i1
LED1,2875111.0,U,603.0,,Uhi6edStatesofsme4ica,233647.0,0.0,Quebef,APT6q4,,8.0,w55cong5esscourt,2.0,T5UDY,LEDUC,F,77281
lat2,3415400.0,O,618.0,,UniredStatesidsmerica,175352.0,3.0,Heneerson,,,,6617fraiiijgwest,3.0,irrland,latif,,91355
RUD3,380290.0,O,,,Cajada,293484.0,6.0,Sal3m,,xiroroducrsChemicqls,38.0,11e48bkalockpark,1.0,Misfi,RUDDICK,,36615
JAY4,3135125.0,O,538.0,M,Cansda,20825.0,4.0,roledo,qpt619,Oshlosh,9.0,q8354doddciurt,1.0,sareba,JAYAMANNE,f,t6a 1i3
tod5,2260099.0,R,672.0,Z,UnjtedStatrsofAneroca,329568.0,4.0,CidpusChristi,,,13.0,14117roxb9rlstree6,2.0,Paukette,todo,M,A2b 1v3
Kan6,2758998.0,O,546.0,R,xanada,240187.0,3.0,SalhLakesity,,VerqSunEnerfy,73.0,24697Fi9RENCEWESy,4.0,AMAoITA,Kanno,m,49513
Din7,3392257.0,U,727.0,Z,UnitfdStatesodAm3gica,289643.0,3.0,Brownevilie,,IDT,89.0,6588apllewooddrige,2.0,wrnesto,Dinkel,,M5d 1v6
Thi8,3163658.0,O,575.0,,UgitedSta5faofAmerica,202773.0,1.0,Edcondido,,Adamsfesourdes2nergg,55.0,q7404falecourt,,Toby,Thibodeaux,,V6c 1q1
May9,1719759.0,O,359.0,,Un7ffdStatesofAmerifa,74805.0,,poeAngeles,,jGICInvewtment,49.0,15i13zlexissfreet,1.0,egangelia,Mayo,,99716
mau10,1180741.0,O,402.0,U,Canads,217631.0,1.0,WesyCovjna,,Iaw7sHealtgcare,9.0,1831r5thlqne,1.0,ujakanth,mahendra,,A2b 1w1
Sia11,3552524.0,R,632.0,,UgitedSyatesofAmfeica,163151.0,5.0,Sanhienagentura,,AMR,64.0,23653soplieravenue,3.0,terrid,Sizto,,M5F 1W1
crx12,2922566.0,U,297.0,,UnitedStatesofqhfdica,5751.0,2.0,Lexingron,,Embadq,7.0,153pypikepark,2.0,Madypat,crawley,,95118
dac12,802187.0,R,666.0,,knitevatatesodAmerica,217846.0,0.0,Haydiver,,AdvanxedMicr0Dev8ses,21.0,1540cresgher2north,0.0,fatherin,dacal,m,H2f 1v7
HIf14,1888511.0,O,458.0,W,UnitedSgat2sogAmetica,102887.0,4.0,Toronro,,Cebveo,15.0,10790bonigasr3scent,2.0,annjssa,HIVELY,,19217
Pesw5,3499858.0,O,518.0,,UbitreStatesofAm2rica,616323.0,3.0,Denvrr,zpt290,KelltServicee,32.0,24679xIRoORTCRfdCENT,1.0,Amou3,Peschke,,21228
sHI16,4622098.0,O,527.0,,Canawa,56479.0,1.0,StPzul,,Viafom,47.0,7u27eouglacroad,2.0,jsnica,CHILDERHOSE,,85097
