AgencyID,Phone,NumberCars,CreditRating,NumberChildren,FirstName,City,NetWorth,MiddleInitial,AddressLine2,Gender,LastName,AddressLine1,State,OwnOrRentFlag,PostalCode,Country,Income
PEL0,1 712 522 6088,,368.0,0.0,jetti,Fai5banks,2675179.0,,,f,oELLAND,218e7plympiastreer,MA,O,T6b 1i1,United States of America,368776.0
LED1,1 626 426 4298,2.0,399.0,0.0,TRUwY,Qiebec,6228097.0,,APy624,F,kEDUC,245ckngdesqcourt,PA,U,77281,United States of America,177967.0
lat2,1 524 787 8784,2.0,539.0,1.0,iteland,yenderson,3899351.0,,,,lxtif,651yfrqilingwesg,xlberta,O,91355,United States of America,321772.0
RUD3,1 741 997 1688,0.0,,2.0,histi,walem,3091077.0,,,,RUfDICK,1w4r9nlalockpark,AR,O,36615,Canada,25449.0
JAY4,1 002 194 1991,0.0,361.0,1.0,sa5ena,Toled0,473039.0,M,Apt6w9,f,JA7AMANNE,18w54dowdcourt,OR,O,t6a 1i3,Canada,166567.0
tod5,1 441 371 7651,2.0,405.0,2.0,9aulette,CorpusChrish7,3717026.0,Z,,M,todo,141173oxhorosrreet,VA,R,A2b 1v3,United States of America,43631.0
Kan6,1 957 940 5980,4.0,410.0,4.0,xMALITA,SxltLakeCi5y,2713625.0,R,,m,Kabno,34697FLOREmC4WEST,OH,O,49513,Canada,466230.0
Din7,1 768 633 4096,1.0,525.0,1.0,Ernedto,Brlwjsville,3100538.0,Z,,,cinkel,7488appkewooddrivs,PrinceEdwsrdIspahd,U,M5d 1v6,United States of America,420243.0
Thi8,1 107 689 2155,2.0,454.0,,Toby,Escomdido,2282590.0,,,,Tjibodexux,17404gaiecouet,NV,O,V6c 1q1,United States of America,141862.0
May9,1 173 594 6096,1.0,336.0,3.0,evannelia,LowAngeleq,1638143.0,,,,Mayo,15913alecisqtrset,Ontar7o,O,99716,United States of America,402011.0
mah20,1 561 520 0611,1.0,556.0,1.0,umakantg,WestClvima,4863582.0,U,,,mxhendra,283q35thlane,TX,O,A2b 1w1,Canada,79928.0
Sia11,1 730 406 9727,2.0,255.0,2.0,terdie,SanBuenwvebtuea,633253.0,,,,Sixto,13653cklliedavenuw,NE,R,M5F 1W1,United States of America,109496.0
crs12,,0.0,377.0,2.0,Marypxt,pexington,3295430.0,,,,c4awley,15306plkeparu,AR,U,95118,United States of America,267901.0
dacw3,1 207 867 4589,3.0,563.0,4.0,Catherkn,HayRive5,4219423.0,,,m,dacap,1640cresym2renorth,MI,R,H2f 1v7,United States of America,487273.0
HIVq4,1 478 629 9641,2.0,78.0,0.0,ann8ssa,Torojto,2506813.0,W,,,HIVEL6,w0790b8nitacrescrnt,MA,O,19217,United States of America,34013.0
Pesw5,1 026 208 8595,1.0,408.0,1.0,Amout,Denvfr,3625338.0,,Aptw90,,Peschue,24579AIRoORTCfrSCENT,TN,O,21228,United States of America,473462.0
CjI16,1 432 681 4853,0.0,327.0,3.0,jeniva,atPaul,3254608.0,,,,CHIieERHOSE,7t27douglastoac,TN,O,85097,Canada,499493.0
Din18,,1.0,408.0,1.0,uATTIE,nellevue,4029607.0,,,,D8nnin,6106ashlqhd4ast,OK,R,V6j 1q8,United States of America,266928.0
De18,1 357 207 6320,1.0,596.0,2.0,Rpselle,retroit,1799973.0,M,,,Dewittw,1111nordejetrret,Ontzrio,O,43207,United States of America,72444.0
Mck29,1 462 774 1277,1.0,559.0,1.0,aroyne,Omaba,2435040.0,,,m,Mckeeran,2798wsteaqt,KY,R,V6t 1q8,United States of America,77290.0
qIN20,1 702 382 2898,2.0,,3.0,Rongchig,CostaMexa,4903881.0,P,,M,dINTERS,11358ell4ierstreet,PA,R,94467,United States of America,395066.0
BIT22,1 909 554 7120,2.0,280.0,2.0,Da4lleen,Bsrkeley,32374.0,,,,BIhTMAN,2q084MALLORgLOWER,MD,O,94321,United States of America,119283.0
luz12,1 752 296 7940,2.0,423.0,2.0,Raroslav,StLouie,99291.0,V,,f,luzarrzga,1612rseykandpark,TX,O,C2a 4w7,United States of America,330991.0
don22,1 995 554 5056,1.0,310.0,0.0,Aryn,xologadoSorings,830000.0,S,,,donodan,23u22karvincrescegt,IN,U,35808,United States of America,
G8a24,1 090 303 3807,2.0,214.0,2.0,All8san,Fkntana,3364886.0,T,,,Gixllo,2203falitqbkulevard,MD,O,M5f 1v6,United States of America,252031.0
qPR25,1 492 968 0932,2.0,504.0,1.0,Ammamariw,StCstharjnes,2171596.0,,,M,SPRUELi,11538COLkINW8OfAVENUr,KY,O,99539,United States of America,101800.0
SoA26,1 960 227 2020,3.0,539.0,1.0,Mari,Haywars,3185857.0,,,F,SKALSKl,7818EwSTwTREET,CA,O,95055,United States of America,436977.0
Ga327,1 431 122 8597,5.0,376.0,,Anicq,Palmdape,1296633.0,,,m,Gargui,10013qhxwroad,FL,O,93686,United States of America,495334.0
Dor2u,1 822 836 7200,1.0,349.0,1.0,Melbw,0hoenix,4257671.0,,,,Dore,6802AMESz4REET,Newfo7ndlabd,O,75218,United States of America,274685.0
wIO29,1 530 117 0497,0.0,355.0,0.0,Trace3,Gary,2807153.0,X,,,D8OGO,22t01SUMM9TRUE,TX,,91174,United States of America,320820.0
M4r30,1 051 257 2719,2.0,329.0,3.0,CANADIwN,Beaumonf,164717.0,,,m,Merricj,291frsbcesrue,WA,O,49515,Canada,195835.0
Atc3q,1 171 989 1363,2.0,339.0,3.0,Oue,Nashha,2218427.0,R,,,Aychison,16264zxndersesst,MN,O,16506,United States of America,108085.0
Pla42,1 042 705 3246,1.0,397.0,1.0,wzllie,SanJkse,1856259.0,X,,m,Plsmondon,16068cwnteyqay,WY,O,94383,United States of America,260185.0
SELw3,1 098 328 2026,1.0,263.0,1.0,Androjach3,jashua,2506913.0,E,,F,xELCHOW,21170EDLOfBOULwVA5D,NY,R,T6d 1b3,United States of America,258323.0
sha33,1 209 754 5635,0.0,44.0,2.0,THOR,Fo3tSmith,1591499.0,Z,,f,xhane,885CROShYkANE,SC,U,25339,United States of America,79476.0
MfR35,1 498 781 3456,1.0,194.0,2.0,SqLAH,Lancast4r,1715060.0,,,,MER2IN,122r5jaystr3et,MS,U,V6o 1v4,United States of America,102156.0
conr6,1 615 241 0440,2.0,479.0,2.0,tORLAM,Colorad8Sprigys,1928665.0,,,,vonrad,29340LOhBARvCRESCsNT,UT,O,01852,United States of America,221481.0
ons38,1 995 449 5200,2.0,475.0,1.0,fania,2ashlngton,3193720.0,,,M,obsitetwam,2q974dexteruppwr,PA,R,78230,United States of America,41836.0
Sume8,1 295 673 4452,2.0,414.0,1.0,Niel,Lowelp,1744125.0,,,M,Skmmerlin,1540MUR7ERkE,OK,O,93770,Canada,72389.0
gro3i,1 914 675 2986,3.0,347.0,1.0,ziad,F3ederick,2787457.0,F,,,grooks,i075vldnlochdrive,WY,O,m4l 1n4,United States of America,66486.0
