indirizzo_id,email,negozio_id,attivo,data_creazione,cliente_id,cognome,nome
5,MARY.SMITH@sakilacustomer.org,1,1,2006-02-14 22:04:36,1,SMITH,MARY
6,PATRICIA.JOHNSON@sakilacustomer.org,1,1,2006-02-14 22:04:36,2,JOHNSON,PATRICIA
7,LINDA.WILLIAMS@sakilacustomer.org,1,1,2006-02-14 22:04:36,3,WILLIAMS,LINDA
8,BARBARA.JONES@sakilacustomer.org,2,1,2006-02-14 22:04:36,4,JONES,BARBARA
9,ELIZABETH.BROWN@sakilacustomer.org,1,1,2006-02-14 22:04:36,5,BROWN,ELIZABETH
10,JENNIFER.DAVIS@sakilacustomer.org,2,1,2006-02-14 22:04:36,6,DAVIS,JENNIFER
11,MARIA.MILLER@sakilacustomer.org,1,1,2006-02-14 22:04:36,7,MILLER,MARIA
12,SUSAN.WILSON@sakilacustomer.org,2,1,2006-02-14 22:04:36,8,WILSON,SUSAN
13,MARGARET.MOORE@sakilacustomer.org,2,1,2006-02-14 22:04:36,9,MOORE,MARGARET
14,DOROTHY.TAYLOR@sakilacustomer.org,1,1,2006-02-14 22:04:36,10,TAYLOR,DOROTHY
15,LISA.ANDERSON@sakilacustomer.org,2,1,2006-02-14 22:04:36,11,ANDERSON,LISA
16,NANCY.THOMAS@sakilacustomer.org,1,1,2006-02-14 22:04:36,12,THOMAS,NANCY
17,KAREN.JACKSON@sakilacustomer.org,2,1,2006-02-14 22:04:36,13,JACKSON,KAREN
18,BETTY.WHITE@sakilacustomer.org,2,1,2006-02-14 22:04:36,14,WHITE,BETTY
19,HELEN.HARRIS@sakilacustomer.org,1,1,2006-02-14 22:04:36,15,HARRIS,HELEN
20,SANDRA.MARTIN@sakilacustomer.org,2,0,2006-02-14 22:04:36,16,MARTIN,SANDRA
21,DONNA.THOMPSON@sakilacustomer.org,1,1,2006-02-14 22:04:36,17,THOMPSON,DONNA
22,CAROL.GARCIA@sakilacustomer.org,2,1,2006-02-14 22:04:36,18,GARCIA,CAROL
23,RUTH.MARTINEZ@sakilacustomer.org,1,1,2006-02-14 22:04:36,19,MARTINEZ,RUTH
24,SHARON.ROBINSON@sakilacustomer.org,2,1,2006-02-14 22:04:36,20,ROBINSON,SHARON
25,MICHELLE.CLARK@sakilacustomer.org,1,1,2006-02-14 22:04:36,21,CLARK,MICHELLE
26,LAURA.RODRIGUEZ@sakilacustomer.org,1,1,2006-02-14 22:04:36,22,RODRIGUEZ,LAURA
27,SARAH.LEWIS@sakilacustomer.org,2,1,2006-02-14 22:04:36,23,LEWIS,SARAH
28,KIMBERLY.LEE@sakilacustomer.org,2,1,2006-02-14 22:04:36,24,LEE,KIMBERLY
29,DEBORAH.WALKER@sakilacustomer.org,1,1,2006-02-14 22:04:36,25,WALKER,DEBORAH
30,JESSICA.HALL@sakilacustomer.org,2,1,2006-02-14 22:04:36,26,HALL,JESSICA
31,SHIRLEY.ALLEN@sakilacustomer.org,2,1,2006-02-14 22:04:36,27,ALLEN,SHIRLEY
32,CYNTHIA.YOUNG@sakilacustomer.org,1,1,2006-02-14 22:04:36,28,YOUNG,CYNTHIA
33,ANGELA.HERNANDEZ@sakilacustomer.org,2,1,2006-02-14 22:04:36,29,HERNANDEZ,ANGELA
34,MELISSA.KING@sakilacustomer.org,1,1,2006-02-14 22:04:36,30,KING,MELISSA
35,BRENDA.WRIGHT@sakilacustomer.org,2,1,2006-02-14 22:04:36,31,WRIGHT,BRENDA
36,AMY.LOPEZ@sakilacustomer.org,1,1,2006-02-14 22:04:36,32,LOPEZ,AMY
37,ANNA.HILL@sakilacustomer.org,2,1,2006-02-14 22:04:36,33,HILL,ANNA
38,REBECCA.SCOTT@sakilacustomer.org,2,1,2006-02-14 22:04:36,34,SCOTT,REBECCA
39,VIRGINIA.GREEN@sakilacustomer.org,2,1,2006-02-14 22:04:36,35,GREEN,VIRGINIA
40,KATHLEEN.ADAMS@sakilacustomer.org,2,1,2006-02-14 22:04:36,36,ADAMS,KATHLEEN
41,PAMELA.BAKER@sakilacustomer.org,1,1,2006-02-14 22:04:36,37,BAKER,PAMELA
42,MARTHA.GONZALEZ@sakilacustomer.org,1,1,2006-02-14 22:04:36,38,GONZALEZ,MARTHA
43,DEBRA.NELSON@sakilacustomer.org,1,1,2006-02-14 22:04:36,39,NELSON,DEBRA
44,AMANDA.CARTER@sakilacustomer.org,2,1,2006-02-14 22:04:36,40,CARTER,AMANDA
45,STEPHANIE.MITCHELL@sakilacustomer.org,1,1,2006-02-14 22:04:36,41,MITCHELL,STEPHANIE
46,CAROLYN.PEREZ@sakilacustomer.org,2,1,2006-02-14 22:04:36,42,PEREZ,CAROLYN
47,CHRISTINE.ROBERTS@sakilacustomer.org,2,1,2006-02-14 22:04:36,43,ROBERTS,CHRISTINE
48,MARIE.TURNER@sakilacustomer.org,1,1,2006-02-14 22:04:36,44,TURNER,MARIE
49,JANET.PHILLIPS@sakilacustomer.org,1,1,2006-02-14 22:04:36,45,PHILLIPS,JANET
