telefono,codice_postale,indirizzo2,indirizzo_id,indirizzo,città_id,distretto
14033335568,,,3,23 Workhaven Lane,300,Alberta
6172235589,,,4,1411 Lillydale Drive,576,QLD
28303384290,35200.0,,5,1913 Hanoi Way,463,Nagasaki
838635286649,17886.0,,6,1121 Loja Avenue,449,California
448477190408,83579.0,,7,692 Joliet Street,38,Attika
705814003527,53561.0,,8,1566 Inegöl Manor,349,Mandalay
10655648674,42399.0,,9,53 Idfu Parkway,361,Nantou
860452626434,18743.0,,10,1795 Santiago de Compostela Way,295,Texas
716571220373,93896.0,,11,900 Santiago de Compostela Parkway,280,Central Serbia
657282285970,77948.0,,12,478 Joliet Way,200,Hamilton
380657522649,45844.0,,13,613 Korolev Drive,329,Masqat
648856936185,53628.0,,14,1531 Salé Drive,162,Esfahan
635297277345,1027.0,,15,1542 Tarlac Parkway,440,Kanagawa
465887807014,10672.0,,16,808 Bhopal Manor,582,Haryana
695479687538,29610.0,,17,270 Amroha Parkway,384,Osmaniye
517338314235,16266.0,,18,770 Bydgoszcz Avenue,120,California
990911107354,72878.0,,19,419 Iligan Lane,76,Madhya Pradesh
949312333307,54308.0,,20,360 Toulouse Parkway,495,England
407752414682,81766.0,,21,270 Toulon Boulevard,156,Kalmykia
747791594069,43331.0,,22,320 Brest Avenue,252,Kaduna
272572357893,72192.0,,23,1417 Lancaster Avenue,267,Northern Cape
144453869132,21954.0,,24,1688 Okara Way,327,Nothwest Border Prov
892775750063,34418.0,,25,262 A Coruña (La Coruña) Parkway,525,Dhaka
161968374323,37551.0,,26,28 Charlotte Amalie Street,443,Rabat-Sal-Zammour-Z
902731229323,7716.0,,27,1780 Hino Boulevard,303,Liepaja
934730187245,99865.0,,28,96 Tafuna Way,128,Córdoba
196495945706,99780.0,,29,934 San Felipe de Puerto Plata Street,472,Sind
998009777982,58327.0,,30,18 Duisburg Boulevard,121,
665356572025,49521.0,,31,217 Botshabelo Place,138,Southern Mindanao
678220867005,65599.0,,32,1425 Shikarpur Manor,346,Bihar
18461860151,65750.0,,33,786 Aurora Avenue,474,Yamaguchi
525255540978,50199.0,,34,1668 Anápolis Street,316,Taipei
745994947458,30348.0,,35,33 Gorontalo Way,257,West Bengali
627705991774,65213.0,,36,176 Mandaluyong Place,239,Uttar Pradesh
911872220378,79388.0,,37,127 Purnea (Purnia) Manor,17,Piemonte
708403338270,94065.0,,38,61 Tama Street,284,Okayama
440512153169,34021.0,,39,391 Callao Drive,544,Midi-Pyrnes
481183273622,38145.0,,40,334 Munger (Monghyr) Lane,31,Markazi
912257250465,47929.0,,41,1440 Fukuyama Loop,362,Henan
489783829737,34689.0,,42,269 Cam Ranh Parkway,115,Chisinau
378318851631,3989.0,,43,306 Antofagasta Place,569,Esprito Santo
680768868518,94399.0,,44,671 Graz Street,353,Oriental
42384721397,16744.0,,45,42 Brindisi Place,586,Yerevan
471675840679,61117.0,,46,1632 Bislig Avenue,394,Nonthaburi
