NumberChildren,LastName,MiddleInitial,CreditRating,Employer,PostalCode,Phone,Age,AddressLine1,State,MaritalStatus,NumberCreditCards,NumberCars,City,AgencyID,Income,AddressLine2,Country,FirstName,NetWorth,Gender,OwnOrRentFlag
3.0,PELLAND,,760.0,Brink's,T6b 1i1,1-712-522-6088,20.0,21847 olympia street,MA,W,,,Fairbanks,PEL0,368776.0,,United States of America,Netti,1058868.0,f,O
1.0,LEDUC,,555.0,,77281,1-626-426-4298,3.0,245 congress court,PA,U,6.0,5.0,Quebec,LED1,177967.0,APT. 624,United States of America,TRUDY,1988185.0,F,U
1.0,latif,,566.0,,91355,1-524-787-8784,,6517 frailing west,Alberta,S,6.0,2.0,Henderson,lat2,321772.0,,United States of America,ireland,3673128.0,,O
1.0,RUDDICK,,,Air Products & Chemicals,36615,1-741-997-1688,77.0,11449 blalock park,AR,W,3.0,2.0,Salem,RUD3,25449.0,,Canada,Misti,2005895.0,,O
3.0,JAYAMANNE,M,815.0,Oshkosh,t6a 1i3,1-002-194-1991,21.0,18354 dodd court,OR,M,4.0,0.0,Toledo,JAY4,166567.0,Apt. 619,Canada,sarena,624736.0,f,O
4.0,todo,Z,333.0,,A2b 1v3,1-441-371-7651,77.0,14117 roxboro street,VA,M,10.0,1.0,Corpus Christi,tod5,43631.0,,United States of America,Paulette,3064615.0,M,R
0.0,Kanno,R,528.0,VeraSun Energy,49513,1-957-940-5980,23.0,24697 FLORENCE WEST,OH,,1.0,4.0,Salt Lake City,Kan6,466230.0,,Canada,AMALITA,3489129.0,m,O
2.0,Dinkel,Z,680.0,IDT,M5d 1v6,1-768-633-4096,9.0,6488 applewood drive,Prince Edward Island,M,7.0,2.0,Brownsville,Din7,420243.0,,United States of America,Ernesto,3430744.0,,U
,Thibodeaux,,761.0,Adams Resources & Energy,V6c 1q1,1-107-689-2155,63.0,17404 gale court,NV,U,10.0,3.0,Escondido,Thi8,141862.0,,United States of America,Toby,1743614.0,,O
2.0,Mayo,,416.0,MGIC Investment,99716,1-173-594-6096,32.0,15913 alexis street,Ontario,M,,0.0,Los Angeles,May9,402011.0,,United States of America,evangelia,216299.0,,O
2.0,mahendra,U,493.0,Iasis Healthcare,A2b 1w1,1-561-520-0611,96.0,18313 5th lane,TX,M,9.0,2.0,West Covina,mah10,79928.0,,Canada,umakanth,1528641.0,,O
0.0,Sizto,,564.0,AMR,M5F 1W1,1-730-406-9727,46.0,13653 collier avenue,NE,M,0.0,1.0,San Buenaventura,Siz11,109496.0,,United States of America,terrie,3752907.0,,R
4.0,crawley,,817.0,Embarq,95118,,6.0,15306 pike park,AR,U,0.0,1.0,Lexington,cra12,267901.0,,United States of America,Mary-pat,582378.0,,U
5.0,dacal,,653.0,Advanced Micro Devices,H2f 1v7,1-207-867-4589,39.0,1540 crestmere north,MI,U,8.0,3.0,Hay River,dac13,487273.0,,United States of America,Catherin,3458824.0,m,R
4.0,HIVELY,W,587.0,Cenveo,19217,1-478-629-9641,73.0,10790 bonita crescent,MA,M,2.0,3.0,Toronto,HIV14,34013.0,,United States of America,annissa,469408.0,,O
2.0,Peschke,,472.0,Kelly Services,21228,1-026-208-8595,26.0,24679 AIRPORT CRESCENT,TN,S,6.0,0.0,Denver,Pes15,473462.0,Apt. 290,United States of America,Amour,1504480.0,,O
4.0,CHILDERHOSE,,817.0,Viacom,85097,1-432-681-4853,54.0,7627 douglas road,TN,M,4.0,5.0,St. Paul,CHI16,499493.0,,Canada,jenica,2763009.0,,O
4.0,Dinnin,,441.0,Macy's,V6j 1q8,,87.0,6106 ashland east,OK,M,0.0,5.0,Bellevue,Din17,266928.0,,United States of America,KATTIE,2787199.0,,R
3.0,De witte,M,848.0,Gardner Denver,43207,1-357-207-6320,85.0,1111 norden street,Ontario,M,6.0,2.0,Detroit,De 18,72444.0,,United States of America,Roselle,2789368.0,,O
3.0,Mckeegan,,843.0,Family Dollar Stores,V6t 1q8,1-462-774-1277,86.0,2798 1st east,KY,U,8.0,3.0,Omaha,Mck19,77290.0,,United States of America,arlyne,2784776.0,m,R
0.0,WINTERS,P,,,94467,1-702-382-2898,59.0,11358 elle lee street,PA,U,,2.0,Costa Mesa,WIN20,395066.0,,United States of America,Rong-chin,288747.0,M,R
3.0,BITTMAN,,300.0,Sun Microsystems,94321,1-909-554-7120,94.0,21074 MALLORY LOWER,MD,U,0.0,5.0,Berkeley,BIT21,119283.0,,United States of America,Darlleen,876575.0,,O
1.0,luzarraga,V,795.0,Costco Wholesale,C2a 4w7,1-752-296-7940,,16124 weyland park,TX,U,8.0,1.0,St. Louis,luz22,330991.0,,United States of America,Radoslav,2041224.0,f,O
0.0,donovan,S,367.0,Illinois Tool Works,35808,1-995-554-5056,5.0,23822 marvin crescent,IN,,5.0,4.0,Colorado Springs,don23,,,United States of America,Aryn,2231509.0,,U
5.0,Giallo,T,507.0,Southern Union,M5f 1v6,1-090-303-3807,23.0,2203 valita boulevard,MD,M,1.0,1.0,Fontana,Gia24,252031.0,,United States of America,Allisan,3206409.0,,O
1.0,SPRUELL,,362.0,Moog,99539,1-492-968-0932,61.0,11538 COLLINWOOD AVENUE,KY,M,9.0,3.0,St. Catharines,SPR25,101800.0,,United States of America,Ammamaria,3850037.0,M,O
1.0,SKALSKI,,527.0,Old Republic International,95055,1-960-227-2020,,7818 EAST STREET,CA,D,7.0,0.0,Hayward,SKA26,436977.0,,United States of America,Mari,528440.0,F,O
,Gargul,,354.0,,93686,1-431-122-8597,51.0,10013 shaw road,FL,S,0.0,0.0,Palmdale,Gar27,495334.0,,United States of America,Anica,597140.0,m,O
1.0,Dore,,511.0,Great Plains Energy,75218,1-822-836-7200,97.0,6802 AMES STREET,Newfoundland,M,1.0,1.0,Phoenix,Dor28,274685.0,,United States of America,Melba,146931.0,,O
2.0,DIOGO,X,412.0,Broadcom,91174,1-530-117-0497,52.0,22501 SUMMIT RUE,TX,,7.0,2.0,Gary,DIO29,320820.0,,United States of America,Tracee,353495.0,,
0.0,Merrick,,583.0,Discover Financial Services,49515,1-051-257-2719,98.0,291 frances rue,WA,S,1.0,4.0,Beaumont,Mer30,195835.0,,Canada,CANADIAN,295647.0,m,O
