prospect_PosCo,prospect_AgID,prospect_MarSt,prospect_Inc,prospect_AddLi1,prospect_Em,prospect_NumCh,prospect_MidInit,prospect_FirN,prospect_LaN,prospect_NuC,prospect_Ci,prospect_Pho,prospect_Gen,prospect_NuCreCa,prospect_St,prospect_AddLi2,prospect_Cou,prospect_CreRa,prospect_OwOReF,prospect_Ag,prospect_NeWor
Guudshirvcu,Iok7501,U,94490.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,FM Global,,n,wbwsqgtaa,Iokwiqojocjanndatkdzgymym,3.0,Baltimore,1-637-119-9996,,,MO,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,United States of America,580.0,U,7.0,321776.0
wyggjewbe,tia7502,S,7037.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,MGIC Investment,4.0,,QGJWCPAPZMWHYHZTNOYSSOQBI,tiabxgseasiibxakctfzhfwotp,4.0,Kitchener,1-560-405-0048,M,2.0,TX,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,Canada,683.0,R,48.0,2292324.0
YMZRQICUTHT,AOI7503,M,419269.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,Ross Stores,5.0,u,BHGXDDPUMBESLQMNEPREPTZNNKM,AOIWIWTIHIXOJ,1.0,Saint John,1-261-306-5079,,2.0,CT,Cdrxeolwrrxmwmhgexvcstvzz,,411.0,O,14.0,969707.0
Bcjuycmcen,PJQ7504,W,76681.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,,5.0,,Xgnvppcxgfnmawlupgfa,PJQSPMBUHYQKBOZ,4.0,Berkeley,1-642-299-6655,m,9.0,UT,WKSBVOFGJHQGAEKUYRZHHPH,United States of America,818.0,U,29.0,3899461.0
Nujxguyehf,SDV7505,U,209116.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Alliance One International,4.0,,Tfiozpstcftslqtwkgngiiwo,SDVLJWXENNGWCQMIW,2.0,Missoula,,,7.0,RI,skxijfqpzshmts,United States of America,370.0,R,69.0,3749223.0
Neigswk,Hga7506,U,212203.0,Ajpkrmtlcbdzr,Sally Beauty Holdings,0.0,F,fbcahlrhhjoslfzqvvwwvhk,Hgakmykzeunwkiaxayulpwyxrcuev,0.0,Salinas,1-388-257-4273,F,6.0,DE,ZETOHHRKIBHCQCKZODIXJJSXCFY,,833.0,O,47.0,3658531.0
WNCEOQPLW,Beo7507,M,42018.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Wisconsin Energy,5.0,D,Dcgkohfcwyoaxckalqnkrzwq,Beotomyndkiqryllkvpavllytov,5.0,San Jose,,M,2.0,NM,LJXAXKUJXQBGWBHJJAAM,Canada,536.0,U,0.0,1738460.0
Cskdwtkf,Qum7508,S,90446.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Carpenter Technology,0.0,,Vmnmcsinflxxmmifydckncc,Qumxrssnd,0.0,Cleveland,1-632-118-1891,,0.0,WV,Jmlgjkjbqhrudrkqrm,United States of America,775.0,R,46.0,3307296.0
tcxswloetdt,Hud7509,M,16274.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Liberty Mutual Insurance Group,1.0,v,Vrkbkkxkddtximspigmlbwzt,Hudlpfwjagzbnznyhamjkhbf,1.0,Huntington,1-853-806-4986,,3.0,NH,Qqcilgblxyikgr,United States of America,765.0,R,6.0,1816419.0
Fkpemasoukih,jba7510,M,22215.0,Ycltsquohmuugxihqyluhkoy,Black & Decker,2.0,,RMWCTFTLSVTMCBI,jbabemsfwdyeihxq,5.0,Paterson,1-220-687-2027,m,6.0,WY,Ahtohqjfzfarn,Canada,555.0,O,22.0,2599250.0
