district,address_id,phone,address2,city_id,postal_code,address
Alberta,3,14033335568,,300,,23 Workhaven Lane
QLD,4,6172235589,,576,,1411 Lillydale Drive
Nagasaki,5,28303384290,,463,35200.0,1913 Hanoi Way
California,6,838635286649,,449,17886.0,1121 Loja Avenue
Attika,7,448477190408,,38,83579.0,692 Joliet Street
Mandalay,8,705814003527,,349,53561.0,1566 Inegöl Manor
Nantou,9,10655648674,,361,42399.0,53 Idfu Parkway
Texas,10,860452626434,,295,18743.0,1795 Santiago de Compostela Way
Central Serbia,11,716571220373,,280,93896.0,900 Santiago de Compostela Parkway
Hamilton,12,657282285970,,200,77948.0,478 Joliet Way
Masqat,13,380657522649,,329,45844.0,613 Korolev Drive
Esfahan,14,648856936185,,162,53628.0,1531 Salé Drive
Kanagawa,15,635297277345,,440,1027.0,1542 Tarlac Parkway
Haryana,16,465887807014,,582,10672.0,808 Bhopal Manor
Osmaniye,17,695479687538,,384,29610.0,270 Amroha Parkway
California,18,517338314235,,120,16266.0,770 Bydgoszcz Avenue
Madhya Pradesh,19,990911107354,,76,72878.0,419 Iligan Lane
England,20,949312333307,,495,54308.0,360 Toulouse Parkway
Kalmykia,21,407752414682,,156,81766.0,270 Toulon Boulevard
Kaduna,22,747791594069,,252,43331.0,320 Brest Avenue
Northern Cape,23,272572357893,,267,72192.0,1417 Lancaster Avenue
Nothwest Border Prov,24,144453869132,,327,21954.0,1688 Okara Way
Dhaka,25,892775750063,,525,34418.0,262 A Coruña (La Coruña) Parkway
Rabat-Sal-Zammour-Z,26,161968374323,,443,37551.0,28 Charlotte Amalie Street
Liepaja,27,902731229323,,303,7716.0,1780 Hino Boulevard
Córdoba,28,934730187245,,128,99865.0,96 Tafuna Way
Sind,29,196495945706,,472,99780.0,934 San Felipe de Puerto Plata Street
,30,998009777982,,121,58327.0,18 Duisburg Boulevard
Southern Mindanao,31,665356572025,,138,49521.0,217 Botshabelo Place
Bihar,32,678220867005,,346,65599.0,1425 Shikarpur Manor
Yamaguchi,33,18461860151,,474,65750.0,786 Aurora Avenue
Taipei,34,525255540978,,316,50199.0,1668 Anápolis Street
West Bengali,35,745994947458,,257,30348.0,33 Gorontalo Way
Uttar Pradesh,36,627705991774,,239,65213.0,176 Mandaluyong Place
Piemonte,37,911872220378,,17,79388.0,127 Purnea (Purnia) Manor
Okayama,38,708403338270,,284,94065.0,61 Tama Street
Midi-Pyrnes,39,440512153169,,544,34021.0,391 Callao Drive
Markazi,40,481183273622,,31,38145.0,334 Munger (Monghyr) Lane
Henan,41,912257250465,,362,47929.0,1440 Fukuyama Loop
Chisinau,42,489783829737,,115,34689.0,269 Cam Ranh Parkway
Esprito Santo,43,378318851631,,569,3989.0,306 Antofagasta Place
Oriental,44,680768868518,,353,94399.0,671 Graz Street
Yerevan,45,42384721397,,586,16744.0,42 Brindisi Place
Nonthaburi,46,471675840679,,394,61117.0,1632 Bislig Avenue
Tahiti,47,539758313890,,167,48942.0,1447 Imus Way
Lipetsk,48,177727722820,,308,76022.0,1998 Halifax Drive
Antofagasta,49,675292816413,,27,37359.0,1718 Valencia Street
Moscow (City),50,262076994845,,343,23616.0,46 Pjatigorsk Lane
