AgeID,Ag,NuCreCar,MiIni,Sta,MaSt,NumC,FiNa,Ge,C,NeWor,AddrL1,NumCh,OOReF,Ph,Cou,In,CrRa,Empl
Iok7501,7.0,,n,MO,U,3.0,wbwsqgtaa,,Baltimore,321776.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,U,1-637-119-9996,United States of America,94490.0,580.0,FM Global
tia7502,48.0,2.0,,TX,S,4.0,QGJWCPAPZMWHYHZTNOYSSOQBI,M,Kitchener,2292324.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,R,1-560-405-0048,Canada,7037.0,683.0,MGIC Investment
AOI7503,14.0,2.0,u,CT,M,1.0,BHGXDDPUMBESLQMNEPREPTZNNKM,,Saint John,969707.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,5.0,O,1-261-306-5079,,419269.0,411.0,Ross Stores
PJQ7504,29.0,9.0,,UT,W,4.0,Xgnvppcxgfnmawlupgfa,m,Berkeley,3899461.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,5.0,U,1-642-299-6655,United States of America,76681.0,818.0,
SDV7505,69.0,7.0,,RI,U,2.0,Tfiozpstcftslqtwkgngiiwo,,Missoula,3749223.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,4.0,R,,United States of America,209116.0,370.0,Alliance One International
Hga7506,47.0,6.0,F,DE,U,0.0,fbcahlrhhjoslfzqvvwwvhk,F,Salinas,3658531.0,Ajpkrmtlcbdzr,0.0,O,1-388-257-4273,,212203.0,833.0,Sally Beauty Holdings
Beo7507,0.0,2.0,D,NM,M,5.0,Dcgkohfcwyoaxckalqnkrzwq,M,San Jose,1738460.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,U,,Canada,42018.0,536.0,Wisconsin Energy
Qum7508,46.0,0.0,,WV,S,0.0,Vmnmcsinflxxmmifydckncc,,Cleveland,3307296.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,R,1-632-118-1891,United States of America,90446.0,775.0,Carpenter Technology
Hud7509,6.0,3.0,v,NH,M,1.0,Vrkbkkxkddtximspigmlbwzt,,Huntington,1816419.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,R,1-853-806-4986,United States of America,16274.0,765.0,Liberty Mutual Insurance Group
jba7510,22.0,6.0,,WY,M,5.0,RMWCTFTLSVTMCBI,m,Paterson,2599250.0,Ycltsquohmuugxihqyluhkoy,2.0,O,1-220-687-2027,Canada,22215.0,555.0,Black & Decker
dgc7511,72.0,3.0,,Saskatchewan,M,5.0,Zaijioc,m,Greensboro,490443.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,1.0,O,,United States of America,210038.0,,Interstate Bakeries
lql7512,40.0,9.0,,NE,M,4.0,Mdwdjpdfmbqjaygkfqzqx,,Concord,3348923.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,5.0,O,1-268-630-3843,Canada,307402.0,318.0,eBay
Wsk7513,8.0,4.0,,AR,D,4.0,Ccbccgvldfvoqtzestvkwunn,m,Colorado Springs,331799.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1.0,R,1-915-548-9541,United States of America,,613.0,Boise
