prospect_nmbrchldrn,prospect_nmbrcrs,prospect_gncd,prospect_pstlcd,prospect_frstnm,prospect_crdtrtng,prospect_lstnm,prospect_wnrrntflg,prospect_g,prospect_ddrssln1,prospect_ncm,prospect_phn,prospect_ct,prospect_ntwrth,prospect_mrtlstts,prospect_gndr,prospect_mddlntl,prospect_stt,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_cntr,prospect_mplr
,3.0,Iok7501,Guudshirvcu,wbwsqgtaa,580.0,Iokwiqojocjanndatkdzgymym,U,7.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,94490.0,1-637-119-9996,Baltimore,321776.0,U,,n,MO,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,,United States of America,FM Global
4.0,4.0,tia7502,wyggjewbe,QGJWCPAPZMWHYHZTNOYSSOQBI,683.0,tiabxgseasiibxakctfzhfwotp,R,48.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,7037.0,1-560-405-0048,Kitchener,2292324.0,S,M,,TX,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,2.0,Canada,MGIC Investment
5.0,1.0,AOI7503,YMZRQICUTHT,BHGXDDPUMBESLQMNEPREPTZNNKM,411.0,AOIWIWTIHIXOJ,O,14.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,419269.0,1-261-306-5079,Saint John,969707.0,M,,u,CT,Cdrxeolwrrxmwmhgexvcstvzz,2.0,,Ross Stores
5.0,4.0,PJQ7504,Bcjuycmcen,Xgnvppcxgfnmawlupgfa,818.0,PJQSPMBUHYQKBOZ,U,29.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,76681.0,1-642-299-6655,Berkeley,3899461.0,W,m,,UT,WKSBVOFGJHQGAEKUYRZHHPH,9.0,United States of America,
4.0,2.0,SDV7505,Nujxguyehf,Tfiozpstcftslqtwkgngiiwo,370.0,SDVLJWXENNGWCQMIW,R,69.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,209116.0,,Missoula,3749223.0,U,,,RI,skxijfqpzshmts,7.0,United States of America,Alliance One International
0.0,0.0,Hga7506,Neigswk,fbcahlrhhjoslfzqvvwwvhk,833.0,Hgakmykzeunwkiaxayulpwyxrcuev,O,47.0,Ajpkrmtlcbdzr,212203.0,1-388-257-4273,Salinas,3658531.0,U,F,F,DE,ZETOHHRKIBHCQCKZODIXJJSXCFY,6.0,,Sally Beauty Holdings
5.0,5.0,Beo7507,WNCEOQPLW,Dcgkohfcwyoaxckalqnkrzwq,536.0,Beotomyndkiqryllkvpavllytov,U,0.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,42018.0,,San Jose,1738460.0,M,M,D,NM,LJXAXKUJXQBGWBHJJAAM,2.0,Canada,Wisconsin Energy
0.0,0.0,Qum7508,Cskdwtkf,Vmnmcsinflxxmmifydckncc,775.0,Qumxrssnd,R,46.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,90446.0,1-632-118-1891,Cleveland,3307296.0,S,,,WV,Jmlgjkjbqhrudrkqrm,0.0,United States of America,Carpenter Technology
1.0,1.0,Hud7509,tcxswloetdt,Vrkbkkxkddtximspigmlbwzt,765.0,Hudlpfwjagzbnznyhamjkhbf,R,6.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,16274.0,1-853-806-4986,Huntington,1816419.0,M,,v,NH,Qqcilgblxyikgr,3.0,United States of America,Liberty Mutual Insurance Group
2.0,5.0,jba7510,Fkpemasoukih,RMWCTFTLSVTMCBI,555.0,jbabemsfwdyeihxq,O,22.0,Ycltsquohmuugxihqyluhkoy,22215.0,1-220-687-2027,Paterson,2599250.0,M,m,,WY,Ahtohqjfzfarn,6.0,Canada,Black & Decker
1.0,5.0,dgc7511,NCEVKLQEEWTA,Zaijioc,,dgcnbxfhc,O,72.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,210038.0,,Greensboro,490443.0,M,m,,Saskatchewan,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,3.0,United States of America,Interstate Bakeries
5.0,4.0,lql7512,DODDIDDHXS,Mdwdjpdfmbqjaygkfqzqx,318.0,lqlslgqsvyfxqnzuwbfg,O,40.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,307402.0,1-268-630-3843,Concord,3348923.0,M,,,NE,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,9.0,Canada,eBay
1.0,4.0,Wsk7513,Oqnzttrldq,Ccbccgvldfvoqtzestvkwunn,613.0,Wskjvrujdwku,R,8.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,,1-915-548-9541,Colorado Springs,331799.0,D,m,,AR,ucxdpiwilpxxhv,4.0,United States of America,Boise
