NetWorth,Phone,NumberChildren,Gender,Country,NumberCars,AddressLine1,Employer,FirstName,AddressLine2,CreditRating,PostalCode,NumberCreditCards,LastName,AgencyID,Income,City,Age,OwnOrRentFlag,State,MaritalStatus,MiddleInitial
321776.0,1-637-119-9996,,,United States of America,3.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,FM Global,wbwsqgtaa,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,580.0,Guudshirvcu,,Iokwiqojocjanndatkdzgymym,Iok7501,94490.0,Baltimore,7.0,U,MO,U,n
2292324.0,1-560-405-0048,4.0,M,Canada,4.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,MGIC Investment,QGJWCPAPZMWHYHZTNOYSSOQBI,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,683.0,wyggjewbe,2.0,tiabxgseasiibxakctfzhfwotp,tia7502,7037.0,Kitchener,48.0,R,TX,S,
969707.0,1-261-306-5079,5.0,,,1.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,Ross Stores,BHGXDDPUMBESLQMNEPREPTZNNKM,Cdrxeolwrrxmwmhgexvcstvzz,411.0,YMZRQICUTHT,2.0,AOIWIWTIHIXOJ,AOI7503,419269.0,Saint John,14.0,O,CT,M,u
3899461.0,1-642-299-6655,5.0,m,United States of America,4.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,,Xgnvppcxgfnmawlupgfa,WKSBVOFGJHQGAEKUYRZHHPH,818.0,Bcjuycmcen,9.0,PJQSPMBUHYQKBOZ,PJQ7504,76681.0,Berkeley,29.0,U,UT,W,
3749223.0,,4.0,,United States of America,2.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Alliance One International,Tfiozpstcftslqtwkgngiiwo,skxijfqpzshmts,370.0,Nujxguyehf,7.0,SDVLJWXENNGWCQMIW,SDV7505,209116.0,Missoula,69.0,R,RI,U,
3658531.0,1-388-257-4273,0.0,F,,0.0,Ajpkrmtlcbdzr,Sally Beauty Holdings,fbcahlrhhjoslfzqvvwwvhk,ZETOHHRKIBHCQCKZODIXJJSXCFY,833.0,Neigswk,6.0,Hgakmykzeunwkiaxayulpwyxrcuev,Hga7506,212203.0,Salinas,47.0,O,DE,U,F
1738460.0,,5.0,M,Canada,5.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Wisconsin Energy,Dcgkohfcwyoaxckalqnkrzwq,LJXAXKUJXQBGWBHJJAAM,536.0,WNCEOQPLW,2.0,Beotomyndkiqryllkvpavllytov,Beo7507,42018.0,San Jose,0.0,U,NM,M,D
3307296.0,1-632-118-1891,0.0,,United States of America,0.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Carpenter Technology,Vmnmcsinflxxmmifydckncc,Jmlgjkjbqhrudrkqrm,775.0,Cskdwtkf,0.0,Qumxrssnd,Qum7508,90446.0,Cleveland,46.0,R,WV,S,
1816419.0,1-853-806-4986,1.0,,United States of America,1.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Liberty Mutual Insurance Group,Vrkbkkxkddtximspigmlbwzt,Qqcilgblxyikgr,765.0,tcxswloetdt,3.0,Hudlpfwjagzbnznyhamjkhbf,Hud7509,16274.0,Huntington,6.0,R,NH,M,v
2599250.0,1-220-687-2027,2.0,m,Canada,5.0,Ycltsquohmuugxihqyluhkoy,Black & Decker,RMWCTFTLSVTMCBI,Ahtohqjfzfarn,555.0,Fkpemasoukih,6.0,jbabemsfwdyeihxq,jba7510,22215.0,Paterson,22.0,O,WY,M,
490443.0,,1.0,m,United States of America,5.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Interstate Bakeries,Zaijioc,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,NCEVKLQEEWTA,3.0,dgcnbxfhc,dgc7511,210038.0,Greensboro,72.0,O,Saskatchewan,M,
3348923.0,1-268-630-3843,5.0,,Canada,4.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,eBay,Mdwdjpdfmbqjaygkfqzqx,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,318.0,DODDIDDHXS,9.0,lqlslgqsvyfxqnzuwbfg,lql7512,307402.0,Concord,40.0,O,NE,M,
331799.0,1-915-548-9541,1.0,m,United States of America,4.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Boise,Ccbccgvldfvoqtzestvkwunn,ucxdpiwilpxxhv,613.0,Oqnzttrldq,4.0,Wskjvrujdwku,Wsk7513,,Colorado Springs,8.0,R,AR,D,
1167013.0,1-536-880-0961,1.0,,,4.0,,MDU Resources Group,nyakrhdyxravdnhgbtol,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,786.0,Lwbawk,4.0,Ffshsiomkzjonhxjhunfsao,Ffs7514,432425.0,Mobile,10.0,R,IL,U,v
3960216.0,1-494-335-6022,3.0,,United States of America,0.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Freescale Semiconductor,NDNBTVCLKSC,,,Ppsrzjdtg,10.0,Kvvverfkpazpzzkrqniixrhnw,Kvv7515,122041.0,Thousand Oaks,24.0,O,VA,U,F
242246.0,1-814-158-3550,4.0,f,United States of America,1.0,,Superior Energy Services,Zmstbluqkipzaojfsomtbdddguq,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,623.0,,5.0,mpzqnwnrmaozfsstcqtrc,mpz7516,302205.0,Rochester,18.0,O,ID,M,G
1217660.0,1-420-580-0795,1.0,F,United States of America,1.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Monsanto,dpqgvuaoijmkxsesvililpxcrwqe,Havgczldcpfmwfzj,845.0,,1.0,Jhcbaxyzijphmmvpampdgvgisnab,Jhc7517,367555.0,Garden Grove,79.0,O,TX,S,s
1229655.0,1-924-305-1666,5.0,M,United States of America,4.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Newfield Exploration,IHUGYGSRDWILVOFBAKUR,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,645.0,Rxdsunq,7.0,dbqcukoddoiwg,dbq7518,106025.0,Tampa,36.0,U,New Brunswick,M,l
