MaritalStatus,AddressLine1,Gender,AgencyID,NumberCars,FirstName,Income,Phone,LastName,NumberCreditCards,MiddleInitial,NumberChildren,AddressLine2,City,PostalCode,OwnOrRentFlag,Age,Country,State,NetWorth,Employer,CreditRating
W,21847 olympia street,f,PEL0,,Netti,368776.0,1-712-522-6088,PELLAND,,,3.0,,Fairbanks,T6b 1i1,O,20.0,United States of America,MA,1058868.0,Brink's,760.0
U,245 congress court,F,LED1,5.0,TRUDY,177967.0,1-626-426-4298,LEDUC,6.0,,1.0,APT. 624,Quebec,77281,U,3.0,United States of America,PA,1988185.0,,555.0
S,6517 frailing west,,lat2,2.0,ireland,321772.0,1-524-787-8784,latif,6.0,,1.0,,Henderson,91355,O,,United States of America,Alberta,3673128.0,,566.0
W,11449 blalock park,,RUD3,2.0,Misti,25449.0,1-741-997-1688,RUDDICK,3.0,,1.0,,Salem,36615,O,77.0,Canada,AR,2005895.0,Air Products & Chemicals,
M,18354 dodd court,f,JAY4,0.0,sarena,166567.0,1-002-194-1991,JAYAMANNE,4.0,M,3.0,Apt. 619,Toledo,t6a 1i3,O,21.0,Canada,OR,624736.0,Oshkosh,815.0
M,14117 roxboro street,M,tod5,1.0,Paulette,43631.0,1-441-371-7651,todo,10.0,Z,4.0,,Corpus Christi,A2b 1v3,R,77.0,United States of America,VA,3064615.0,,333.0
,24697 FLORENCE WEST,m,Kan6,4.0,AMALITA,466230.0,1-957-940-5980,Kanno,1.0,R,0.0,,Salt Lake City,49513,O,23.0,Canada,OH,3489129.0,VeraSun Energy,528.0
M,6488 applewood drive,,Din7,2.0,Ernesto,420243.0,1-768-633-4096,Dinkel,7.0,Z,2.0,,Brownsville,M5d 1v6,U,9.0,United States of America,Prince Edward Island,3430744.0,IDT,680.0
U,17404 gale court,,Thi8,3.0,Toby,141862.0,1-107-689-2155,Thibodeaux,10.0,,,,Escondido,V6c 1q1,O,63.0,United States of America,NV,1743614.0,Adams Resources & Energy,761.0
M,15913 alexis street,,May9,0.0,evangelia,402011.0,1-173-594-6096,Mayo,,,2.0,,Los Angeles,99716,O,32.0,United States of America,Ontario,216299.0,MGIC Investment,416.0
M,18313 5th lane,,mah10,2.0,umakanth,79928.0,1-561-520-0611,mahendra,9.0,U,2.0,,West Covina,A2b 1w1,O,96.0,Canada,TX,1528641.0,Iasis Healthcare,493.0
M,13653 collier avenue,,Siz11,1.0,terrie,109496.0,1-730-406-9727,Sizto,0.0,,0.0,,San Buenaventura,M5F 1W1,R,46.0,United States of America,NE,3752907.0,AMR,564.0
U,15306 pike park,,cra12,1.0,Mary-pat,267901.0,,crawley,0.0,,4.0,,Lexington,95118,U,6.0,United States of America,AR,582378.0,Embarq,817.0
U,1540 crestmere north,m,dac13,3.0,Catherin,487273.0,1-207-867-4589,dacal,8.0,,5.0,,Hay River,H2f 1v7,R,39.0,United States of America,MI,3458824.0,Advanced Micro Devices,653.0
M,10790 bonita crescent,,HIV14,3.0,annissa,34013.0,1-478-629-9641,HIVELY,2.0,W,4.0,,Toronto,19217,O,73.0,United States of America,MA,469408.0,Cenveo,587.0
S,24679 AIRPORT CRESCENT,,Pes15,0.0,Amour,473462.0,1-026-208-8595,Peschke,6.0,,2.0,Apt. 290,Denver,21228,O,26.0,United States of America,TN,1504480.0,Kelly Services,472.0
M,7627 douglas road,,CHI16,5.0,jenica,499493.0,1-432-681-4853,CHILDERHOSE,4.0,,4.0,,St. Paul,85097,O,54.0,Canada,TN,2763009.0,Viacom,817.0
M,6106 ashland east,,Din17,5.0,KATTIE,266928.0,,Dinnin,0.0,,4.0,,Bellevue,V6j 1q8,R,87.0,United States of America,OK,2787199.0,Macy's,441.0
M,1111 norden street,,De 18,2.0,Roselle,72444.0,1-357-207-6320,De witte,6.0,M,3.0,,Detroit,43207,O,85.0,United States of America,Ontario,2789368.0,Gardner Denver,848.0
U,2798 1st east,m,Mck19,3.0,arlyne,77290.0,1-462-774-1277,Mckeegan,8.0,,3.0,,Omaha,V6t 1q8,R,86.0,United States of America,KY,2784776.0,Family Dollar Stores,843.0
U,11358 elle lee street,M,WIN20,2.0,Rong-chin,395066.0,1-702-382-2898,WINTERS,,P,0.0,,Costa Mesa,94467,R,59.0,United States of America,PA,288747.0,,
U,21074 MALLORY LOWER,,BIT21,5.0,Darlleen,119283.0,1-909-554-7120,BITTMAN,0.0,,3.0,,Berkeley,94321,O,94.0,United States of America,MD,876575.0,Sun Microsystems,300.0
U,16124 weyland park,f,luz22,1.0,Radoslav,330991.0,1-752-296-7940,luzarraga,8.0,V,1.0,,St. Louis,C2a 4w7,O,,United States of America,TX,2041224.0,Costco Wholesale,795.0
,23822 marvin crescent,,don23,4.0,Aryn,,1-995-554-5056,donovan,5.0,S,0.0,,Colorado Springs,35808,U,5.0,United States of America,IN,2231509.0,Illinois Tool Works,367.0
M,2203 valita boulevard,,Gia24,1.0,Allisan,252031.0,1-090-303-3807,Giallo,1.0,T,5.0,,Fontana,M5f 1v6,O,23.0,United States of America,MD,3206409.0,Southern Union,507.0
M,11538 COLLINWOOD AVENUE,M,SPR25,3.0,Ammamaria,101800.0,1-492-968-0932,SPRUELL,9.0,,1.0,,St. Catharines,99539,O,61.0,United States of America,KY,3850037.0,Moog,362.0
D,7818 EAST STREET,F,SKA26,0.0,Mari,436977.0,1-960-227-2020,SKALSKI,7.0,,1.0,,Hayward,95055,O,,United States of America,CA,528440.0,Old Republic International,527.0
S,10013 shaw road,m,Gar27,0.0,Anica,495334.0,1-431-122-8597,Gargul,0.0,,,,Palmdale,93686,O,51.0,United States of America,FL,597140.0,,354.0
M,6802 AMES STREET,,Dor28,1.0,Melba,274685.0,1-822-836-7200,Dore,1.0,,1.0,,Phoenix,75218,O,97.0,United States of America,Newfoundland,146931.0,Great Plains Energy,511.0
,22501 SUMMIT RUE,,DIO29,2.0,Tracee,320820.0,1-530-117-0497,DIOGO,7.0,X,2.0,,Gary,91174,,52.0,United States of America,TX,353495.0,Broadcom,412.0
S,291 frances rue,m,Mer30,4.0,CANADIAN,195835.0,1-051-257-2719,Merrick,1.0,,0.0,,Beaumont,49515,O,98.0,Canada,WA,295647.0,Discover Financial Services,583.0
