indirizzo_id,indirizzo,codice_postale,telefono,indirizzo2,città_id,distretto
268,1831 Nam Dinh Loop,51990.0,322888976727,,323,National Capital Reg
120,544 Malmö Parkway,63502.0,386759646229,,403,Central Java
273,1519 Ilorin Place,49298.0,357445645426,,395,Kerala
25,262 A Coruña (La Coruña) Parkway,34418.0,892775750063,,525,Dhaka
456,814 Simferopol Loop,48745.0,524567129902,,154,Sinaloa
585,1208 Tama Loop,73605.0,954786054144,,344,Ninawa
370,1565 Tangail Manor,45750.0,634445428822,,377,Okinawa
283,457 Tongliao Loop,56254.0,880756161823,,222,Bursa
568,1342 Sharja Way,93655.0,946114054231,,488,Sokoto & Kebbi & Zam
483,632 Usolje-Sibirskoje Parkway,73085.0,667648979883,,36,Ha Darom
129,569 Baicheng Lane,60304.0,490211944645,,85,Gauteng
511,1152 al-Qatif Lane,44816.0,131370665218,,412,Kalimantan Barat
299,32 Pudukkottai Lane,38834.0,967274728547,,140,Ohio
13,613 Korolev Drive,45844.0,380657522649,,329,Masqat
398,954 Lapu-Lapu Way,8816.0,737229003916,,278,Moskova
324,1145 Vilnius Manor,73170.0,674805712553,,451,Mxico
343,1443 Mardan Street,31483.0,231383037471,,392,Western Cape
447,105 Dzerzinsk Manor,48570.0,240776414296,,540,Inner Mongolia
592,1923 Stara Zagora Lane,95179.0,182178609211,,546,Nantou
260,127 Iwakuni Boulevard,20777.0,987442542471,,192,Central Luzon
365,1009 Zanzibar Lane,64875.0,102396298916,,32,Arecibo
431,1596 Acuña Parkway,70425.0,157133457169,,418,Jharkhand
517,548 Uruapan Street,35653.0,879347453467,,312,Ontario
306,1883 Maikop Lane,68469.0,96110042435,,254,Kaliningrad
333,1860 Taguig Loop,59550.0,38158430589,,119,West Java
582,1568 Celaya Parkway,34750.0,278669994384,,168,Kaohsiung
135,1752 São Leopoldo Parkway,14014.0,252265130067,,345,Taka-Karpatia
320,1542 Lubumbashi Boulevard,62472.0,508800331065,,57,Tel Aviv
98,152 Kitwe Parkway,53182.0,835433605312,,82,Caraga
579,521 San Juan Bautista Tuxtepec Place,95093.0,844018348565,,598,Qaraghandy
567,1894 Boa Vista Way,77464.0,239357986667,,178,Texas
600,1837 Kaduna Parkway,82580.0,640843562301,,241,Inner Mongolia
56,939 Probolinggo Loop,4166.0,680428310138,,1,Galicia
209,1679 Antofagasta Street,86599.0,905903574913,,122,Alto Paran
402,616 Hagonoy Avenue,46043.0,604177838256,,39,Krasnojarsk
4,1411 Lillydale Drive,,6172235589,,576,QLD
266,862 Xintai Lane,30065.0,265153400632,,548,Cagayan Valley
178,1848 Salala Boulevard,25220.0,48265851133,,373,Miranda
