indirizzo_id,negozio_id,nome,cognome,data_creazione,cliente_id,attivo,email
138,1,EMMA,BOYD,2006-02-14 22:04:36,134,1,EMMA.BOYD@sakilacustomer.org
216,2,WILMA,RICHARDS,2006-02-14 22:04:36,212,1,WILMA.RICHARDS@sakilacustomer.org
266,1,DEANNA,BYRD,2006-02-14 22:04:36,261,1,DEANNA.BYRD@sakilacustomer.org
383,1,EUGENE,CULPEPPER,2006-02-14 22:04:37,378,1,EUGENE.CULPEPPER@sakilacustomer.org
264,2,LENA,JENSEN,2006-02-14 22:04:36,259,1,LENA.JENSEN@sakilacustomer.org
87,1,LOUISE,JENKINS,2006-02-14 22:04:36,83,1,LOUISE.JENKINS@sakilacustomer.org
247,1,LYDIA,BURKE,2006-02-14 22:04:36,243,1,LYDIA.BURKE@sakilacustomer.org
279,1,NAOMI,JENNINGS,2006-02-14 22:04:37,274,1,NAOMI.JENNINGS@sakilacustomer.org
52,1,ANN,EVANS,2006-02-14 22:04:36,48,1,ANN.EVANS@sakilacustomer.org
242,1,NELLIE,GARRETT,2006-02-14 22:04:36,238,1,NELLIE.GARRETT@sakilacustomer.org
394,1,ALAN,KAHN,2006-02-14 22:04:37,389,1,ALAN.KAHN@sakilacustomer.org
148,1,CLARA,SHAW,2006-02-14 22:04:36,144,1,CLARA.SHAW@sakilacustomer.org
380,2,AARON,SELBY,2006-02-14 22:04:37,375,1,AARON.SELBY@sakilacustomer.org
150,1,JAMIE,RICE,2006-02-14 22:04:36,146,1,JAMIE.RICE@sakilacustomer.org
73,2,JUDY,GRAY,2006-02-14 22:04:36,69,1,JUDY.GRAY@sakilacustomer.org
350,1,CARL,ARTIS,2006-02-14 22:04:37,345,1,CARL.ARTIS@sakilacustomer.org
333,2,JEFFREY,SPEAR,2006-02-14 22:04:37,328,1,JEFFREY.SPEAR@sakilacustomer.org
84,1,MARILYN,ROSS,2006-02-14 22:04:36,80,1,MARILYN.ROSS@sakilacustomer.org
366,2,LAWRENCE,LAWTON,2006-02-14 22:04:37,361,1,LAWRENCE.LAWTON@sakilacustomer.org
184,2,STACY,CUNNINGHAM,2006-02-14 22:04:36,180,1,STACY.CUNNINGHAM@sakilacustomer.org
268,1,HILDA,HOPKINS,2006-02-14 22:04:36,263,1,HILDA.HOPKINS@sakilacustomer.org
452,1,CLIFFORD,BOWENS,2006-02-14 22:04:37,447,1,CLIFFORD.BOWENS@sakilacustomer.org
109,1,DAWN,SULLIVAN,2006-02-14 22:04:36,105,1,DAWN.SULLIVAN@sakilacustomer.org
15,2,LISA,ANDERSON,2006-02-14 22:04:36,11,1,LISA.ANDERSON@sakilacustomer.org
220,1,NATALIE,MEYER,2006-02-14 22:04:36,216,1,NATALIE.MEYER@sakilacustomer.org
322,2,EDWARD,BAUGH,2006-02-14 22:04:37,317,1,EDWARD.BAUGH@sakilacustomer.org
191,2,BRITTANY,RILEY,2006-02-14 22:04:36,187,1,BRITTANY.RILEY@sakilacustomer.org
583,2,CLIFTON,MALCOLM,2006-02-14 22:04:37,577,1,CLIFTON.MALCOLM@sakilacustomer.org
282,2,OLGA,JIMENEZ,2006-02-14 22:04:37,277,1,OLGA.JIMENEZ@sakilacustomer.org
