codice_postale,indirizzo,telefono,nome,distretto,cliente_id,cognome,attivo,email,indirizzo_id,data_creazione,città_id,negozio_id,indirizzo2
35200,1913 Hanoi Way,28303384290,MARY,Nagasaki,1,SMITH,1,MARY.SMITH@sakilacustomer.org,5,2006-02-14 22:04:36,463,1,
17886,1121 Loja Avenue,838635286649,PATRICIA,California,2,JOHNSON,1,PATRICIA.JOHNSON@sakilacustomer.org,6,2006-02-14 22:04:36,449,1,
83579,692 Joliet Street,448477190408,LINDA,Attika,3,WILLIAMS,1,LINDA.WILLIAMS@sakilacustomer.org,7,2006-02-14 22:04:36,38,1,
53561,1566 Inegöl Manor,705814003527,BARBARA,Mandalay,4,JONES,1,BARBARA.JONES@sakilacustomer.org,8,2006-02-14 22:04:36,349,2,
42399,53 Idfu Parkway,10655648674,ELIZABETH,Nantou,5,BROWN,1,ELIZABETH.BROWN@sakilacustomer.org,9,2006-02-14 22:04:36,361,1,
18743,1795 Santiago de Compostela Way,860452626434,JENNIFER,Texas,6,DAVIS,1,JENNIFER.DAVIS@sakilacustomer.org,10,2006-02-14 22:04:36,295,2,
93896,900 Santiago de Compostela Parkway,716571220373,MARIA,Central Serbia,7,MILLER,1,MARIA.MILLER@sakilacustomer.org,11,2006-02-14 22:04:36,280,1,
77948,478 Joliet Way,657282285970,SUSAN,Hamilton,8,WILSON,1,SUSAN.WILSON@sakilacustomer.org,12,2006-02-14 22:04:36,200,2,
45844,613 Korolev Drive,380657522649,MARGARET,Masqat,9,MOORE,1,MARGARET.MOORE@sakilacustomer.org,13,2006-02-14 22:04:36,329,2,
53628,1531 Salé Drive,648856936185,DOROTHY,Esfahan,10,TAYLOR,1,DOROTHY.TAYLOR@sakilacustomer.org,14,2006-02-14 22:04:36,162,1,
1027,1542 Tarlac Parkway,635297277345,LISA,Kanagawa,11,ANDERSON,1,LISA.ANDERSON@sakilacustomer.org,15,2006-02-14 22:04:36,440,2,
10672,808 Bhopal Manor,465887807014,NANCY,Haryana,12,THOMAS,1,NANCY.THOMAS@sakilacustomer.org,16,2006-02-14 22:04:36,582,1,
29610,270 Amroha Parkway,695479687538,KAREN,Osmaniye,13,JACKSON,1,KAREN.JACKSON@sakilacustomer.org,17,2006-02-14 22:04:36,384,2,
16266,770 Bydgoszcz Avenue,517338314235,BETTY,California,14,WHITE,1,BETTY.WHITE@sakilacustomer.org,18,2006-02-14 22:04:36,120,2,
72878,419 Iligan Lane,990911107354,HELEN,Madhya Pradesh,15,HARRIS,1,HELEN.HARRIS@sakilacustomer.org,19,2006-02-14 22:04:36,76,1,
54308,360 Toulouse Parkway,949312333307,SANDRA,England,16,MARTIN,0,SANDRA.MARTIN@sakilacustomer.org,20,2006-02-14 22:04:36,495,2,
81766,270 Toulon Boulevard,407752414682,DONNA,Kalmykia,17,THOMPSON,1,DONNA.THOMPSON@sakilacustomer.org,21,2006-02-14 22:04:36,156,1,
43331,320 Brest Avenue,747791594069,CAROL,Kaduna,18,GARCIA,1,CAROL.GARCIA@sakilacustomer.org,22,2006-02-14 22:04:36,252,2,
72192,1417 Lancaster Avenue,272572357893,RUTH,Northern Cape,19,MARTINEZ,1,RUTH.MARTINEZ@sakilacustomer.org,23,2006-02-14 22:04:36,267,1,
21954,1688 Okara Way,144453869132,SHARON,Nothwest Border Prov,20,ROBINSON,1,SHARON.ROBINSON@sakilacustomer.org,24,2006-02-14 22:04:36,327,2,
34418,262 A Coruña (La Coruña) Parkway,892775750063,MICHELLE,Dhaka,21,CLARK,1,MICHELLE.CLARK@sakilacustomer.org,25,2006-02-14 22:04:36,525,1,
37551,28 Charlotte Amalie Street,161968374323,LAURA,Rabat-Sal-Zammour-Z,22,RODRIGUEZ,1,LAURA.RODRIGUEZ@sakilacustomer.org,26,2006-02-14 22:04:36,443,1,
7716,1780 Hino Boulevard,902731229323,SARAH,Liepaja,23,LEWIS,1,SARAH.LEWIS@sakilacustomer.org,27,2006-02-14 22:04:36,303,2,
99865,96 Tafuna Way,934730187245,KIMBERLY,Córdoba,24,LEE,1,KIMBERLY.LEE@sakilacustomer.org,28,2006-02-14 22:04:36,128,2,
99780,934 San Felipe de Puerto Plata Street,196495945706,DEBORAH,Sind,25,WALKER,1,DEBORAH.WALKER@sakilacustomer.org,29,2006-02-14 22:04:36,472,1,
58327,18 Duisburg Boulevard,998009777982,JESSICA,,26,HALL,1,JESSICA.HALL@sakilacustomer.org,30,2006-02-14 22:04:36,121,2,
49521,217 Botshabelo Place,665356572025,SHIRLEY,Southern Mindanao,27,ALLEN,1,SHIRLEY.ALLEN@sakilacustomer.org,31,2006-02-14 22:04:36,138,2,
65599,1425 Shikarpur Manor,678220867005,CYNTHIA,Bihar,28,YOUNG,1,CYNTHIA.YOUNG@sakilacustomer.org,32,2006-02-14 22:04:36,346,1,
65750,786 Aurora Avenue,18461860151,ANGELA,Yamaguchi,29,HERNANDEZ,1,ANGELA.HERNANDEZ@sakilacustomer.org,33,2006-02-14 22:04:36,474,2,
50199,1668 Anápolis Street,525255540978,MELISSA,Taipei,30,KING,1,MELISSA.KING@sakilacustomer.org,34,2006-02-14 22:04:36,316,1,
30348,33 Gorontalo Way,745994947458,BRENDA,West Bengali,31,WRIGHT,1,BRENDA.WRIGHT@sakilacustomer.org,35,2006-02-14 22:04:36,257,2,
65213,176 Mandaluyong Place,627705991774,AMY,Uttar Pradesh,32,LOPEZ,1,AMY.LOPEZ@sakilacustomer.org,36,2006-02-14 22:04:36,239,1,
