prospect_mddlntl,prospect_ntwrth,prospect_mplr,prospect_ddrssln1,prospect_phn,prospect_cntr,prospect_crdtrtng,prospect_ddrssln2,prospect_pstlcd,prospect_lstnm,prospect_ncm,prospect_stt,prospect_wnrrntflg,prospect_ct,prospect_mrtlstts,prospect_nmbrcrs,prospect_g,prospect_gndr,prospect_frstnm,prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrdtcrds
n,321776.0,FM Global,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,1-637-119-9996,United States of America,580.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Guudshirvcu,Iokwiqojocjanndatkdzgymym,94490.0,MO,U,Baltimore,U,3.0,7.0,,wbwsqgtaa,Iok7501,,
,2292324.0,MGIC Investment,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,1-560-405-0048,Canada,683.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,wyggjewbe,tiabxgseasiibxakctfzhfwotp,7037.0,TX,R,Kitchener,S,4.0,48.0,M,QGJWCPAPZMWHYHZTNOYSSOQBI,tia7502,4.0,2.0
u,969707.0,Ross Stores,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,1-261-306-5079,,411.0,Cdrxeolwrrxmwmhgexvcstvzz,YMZRQICUTHT,AOIWIWTIHIXOJ,419269.0,CT,O,Saint John,M,1.0,14.0,,BHGXDDPUMBESLQMNEPREPTZNNKM,AOI7503,5.0,2.0
,3899461.0,,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,1-642-299-6655,United States of America,818.0,WKSBVOFGJHQGAEKUYRZHHPH,Bcjuycmcen,PJQSPMBUHYQKBOZ,76681.0,UT,U,Berkeley,W,4.0,29.0,m,Xgnvppcxgfnmawlupgfa,PJQ7504,5.0,9.0
,3749223.0,Alliance One International,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,United States of America,370.0,skxijfqpzshmts,Nujxguyehf,SDVLJWXENNGWCQMIW,209116.0,RI,R,Missoula,U,2.0,69.0,,Tfiozpstcftslqtwkgngiiwo,SDV7505,4.0,7.0
F,3658531.0,Sally Beauty Holdings,Ajpkrmtlcbdzr,1-388-257-4273,,833.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,Neigswk,Hgakmykzeunwkiaxayulpwyxrcuev,212203.0,DE,O,Salinas,U,0.0,47.0,F,fbcahlrhhjoslfzqvvwwvhk,Hga7506,0.0,6.0
D,1738460.0,Wisconsin Energy,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,,Canada,536.0,LJXAXKUJXQBGWBHJJAAM,WNCEOQPLW,Beotomyndkiqryllkvpavllytov,42018.0,NM,U,San Jose,M,5.0,0.0,M,Dcgkohfcwyoaxckalqnkrzwq,Beo7507,5.0,2.0
,3307296.0,Carpenter Technology,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,1-632-118-1891,United States of America,775.0,Jmlgjkjbqhrudrkqrm,Cskdwtkf,Qumxrssnd,90446.0,WV,R,Cleveland,S,0.0,46.0,,Vmnmcsinflxxmmifydckncc,Qum7508,0.0,0.0
v,1816419.0,Liberty Mutual Insurance Group,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1-853-806-4986,United States of America,765.0,Qqcilgblxyikgr,tcxswloetdt,Hudlpfwjagzbnznyhamjkhbf,16274.0,NH,R,Huntington,M,1.0,6.0,,Vrkbkkxkddtximspigmlbwzt,Hud7509,1.0,3.0
,2599250.0,Black & Decker,Ycltsquohmuugxihqyluhkoy,1-220-687-2027,Canada,555.0,Ahtohqjfzfarn,Fkpemasoukih,jbabemsfwdyeihxq,22215.0,WY,O,Paterson,M,5.0,22.0,m,RMWCTFTLSVTMCBI,jba7510,2.0,6.0
,490443.0,Interstate Bakeries,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,United States of America,,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,NCEVKLQEEWTA,dgcnbxfhc,210038.0,Saskatchewan,O,Greensboro,M,5.0,72.0,m,Zaijioc,dgc7511,1.0,3.0
,3348923.0,eBay,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,1-268-630-3843,Canada,318.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,DODDIDDHXS,lqlslgqsvyfxqnzuwbfg,307402.0,NE,O,Concord,M,4.0,40.0,,Mdwdjpdfmbqjaygkfqzqx,lql7512,5.0,9.0
