cliente_id,negozio_id,nome,cognome,email,attivo,data_creazione,indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
253,1,TERRY,CARLSON,TERRY.CARLSON@sakilacustomer.org,1,2006-02-14 22:04:36,258,752 Ondo Loop,,Miyazaki,338,32474,134673576619
177,2,SAMANTHA,DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,1,2006-02-14 22:04:36,181,146 Johannesburg Way,,Tamaulipas,330,54132,953689007081
494,2,RAMON,CHOATE,RAMON.CHOATE@sakilacustomer.org,1,2006-02-14 22:04:37,499,1954 Kowloon and New Kowloon Way,,Chimborazo,434,63667,898559280434
488,2,SHANE,MILLARD,SHANE.MILLARD@sakilacustomer.org,1,2006-02-14 22:04:37,493,184 Mandaluyong Street,,Baja California Sur,288,94239,488425406814
207,1,GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,1,2006-02-14 22:04:36,211,850 Salala Loop,,Kitaa,371,10800,403404780639
217,2,AGNES,BISHOP,AGNES.BISHOP@sakilacustomer.org,1,2006-02-14 22:04:36,221,866 Shivapuri Manor,,Uttar Pradesh,448,22474,778502731092
377,1,HOWARD,FORTNER,HOWARD.FORTNER@sakilacustomer.org,1,2006-02-14 22:04:37,382,220 Hidalgo Drive,,Kermanshah,265,45298,342720754566
137,2,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,1,2006-02-14 22:04:36,141,1749 Daxian Place,,Gelderland,29,11044,963369996279
522,2,ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,1,2006-02-14 22:04:37,528,1176 Southend-on-Sea Manor,,Southern Tagalog,458,81651,236679267178
135,2,JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,1,2006-02-14 22:04:36,139,943 Johannesburg Avenue,,Maharashtra,417,5892,90921003005
528,1,CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,1,2006-02-14 22:04:37,534,486 Ondo Parkway,,Benguela,67,35202,105882218332
413,2,MARVIN,YEE,MARVIN.YEE@sakilacustomer.org,1,2006-02-14 22:04:37,418,126 Acuña Parkway,,West Bengali,71,58888,480039662421
435,2,RICKY,SHELBY,RICKY.SHELBY@sakilacustomer.org,1,2006-02-14 22:04:37,440,722 Bradford Lane,,Shandong,249,90920,746251338300
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1,2006-02-14 22:04:36,73,1031 Daugavpils Parkway,,Béchar,63,59025,107137400143
245,1,COURTNEY,DAY,COURTNEY.DAY@sakilacustomer.org,1,2006-02-14 22:04:36,249,300 Junan Street,,Kyonggi,553,81314,890289150158
84,2,SARA,PERRY,SARA.PERRY@sakilacustomer.org,1,2006-02-14 22:04:36,88,125 Città del Vaticano Boulevard,,Puebla,40,67912,48417642933
158,1,VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,1,2006-02-14 22:04:36,162,369 Papeete Way,,North Carolina,187,66639,170117068815
388,2,CRAIG,MORRELL,CRAIG.MORRELL@sakilacustomer.org,1,2006-02-14 22:04:37,393,717 Changzhou Lane,,Southern Tagalog,104,21615,426255288071
264,1,GWENDOLYN,MAY,GWENDOLYN.MAY@sakilacustomer.org,1,2006-02-14 22:04:36,269,446 Kirovo-Tšepetsk Lane,,Osaka,203,19428,303967439816
578,2,WILLARD,LUMPKIN,WILLARD.LUMPKIN@sakilacustomer.org,1,2006-02-14 22:04:37,584,1819 Alessandria Loop,,Campeche,103,53829,377633994405
565,2,JAIME,NETTLES,JAIME.NETTLES@sakilacustomer.org,1,2006-02-14 22:04:37,571,1746 Faaa Way,,Huánuco,214,32515,863080561151
536,2,FERNANDO,CHURCHILL,FERNANDO.CHURCHILL@sakilacustomer.org,1,2006-02-14 22:04:37,542,193 Bhusawal Place,,Kang-won,539,9750,745267607502
431,2,JOEL,FRANCISCO,JOEL.FRANCISCO@sakilacustomer.org,1,2006-02-14 22:04:37,436,287 Cuautla Boulevard,,Chuquisaca,501,72736,82619513349
214,1,KRISTIN,JOHNSTON,KRISTIN.JOHNSTON@sakilacustomer.org,1,2006-02-14 22:04:36,218,226 Brest Manor,,California,508,2299,785881412500
526,2,KARL,SEAL,KARL.SEAL@sakilacustomer.org,1,2006-02-14 22:04:37,532,1427 Tabuk Place,,Florida,101,31342,214756839122
271,1,PENNY,NEAL,PENNY.NEAL@sakilacustomer.org,0,2006-02-14 22:04:36,276,1675 Xi´angfan Manor,,Tamil Nadu,283,11763,271149517630
167,2,SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,1,2006-02-14 22:04:36,171,1540 Wroclaw Drive,,Maharashtra,107,62686,182363341674
561,2,IAN,STILL,IAN.STILL@sakilacustomer.org,1,2006-02-14 22:04:37,567,1894 Boa Vista Way,,Texas,178,77464,239357986667
302,1,MICHAEL,SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,1,2006-02-14 22:04:37,307,1908 Gaziantep Place,,Liaoning,536,58979,108053751300
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1,2006-02-14 22:04:36,78,1206 Dos Quebradas Place,,São Paulo,431,20207,241832790687
329,2,FRANK,WAGGONER,FRANK.WAGGONER@sakilacustomer.org,1,2006-02-14 22:04:37,334,1816 Bydgoszcz Loop,,Dhaka,234,64308,965273813662
222,2,DELORES,HANSEN,DELORES.HANSEN@sakilacustomer.org,1,2006-02-14 22:04:36,226,810 Palghat (Palakkad) Boulevard,,Jaroslavl,235,73431,516331171356
248,1,CAROLINE,BOWMAN,CAROLINE.BOWMAN@sakilacustomer.org,1,2006-02-14 22:04:36,252,1309 Weifang Street,,Florida,520,57338,435785045362
425,2,FRANCIS,SIKES,FRANCIS.SIKES@sakilacustomer.org,1,2006-02-14 22:04:37,430,355 Vitória de Santo Antão Way,,Oaxaca,452,81758,548003849552
108,1,TRACY,COLE,TRACY.COLE@sakilacustomer.org,1,2006-02-14 22:04:36,112,1002 Ahmadnagar Manor,,Mxico,213,93026,371490777743
334,2,RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,1,2006-02-14 22:04:37,339,503 Sogamoso Loop,,Sumqayit,505,49812,834626715837
157,2,DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,1,2006-02-14 22:04:36,161,1386 Nakhon Sawan Boulevard,,Pyongyang-si,420,53502,368899174225
139,1,AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,1,2006-02-14 22:04:36,143,1029 Dzerzinsk Manor,,Ynlin,542,57519,33173584456
204,1,ROSEMARY,SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,1,2006-02-14 22:04:36,208,1215 Pyongyang Parkway,,Usak,557,25238,646237101779
571,2,JOHNNIE,CHISHOLM,JOHNNIE.CHISHOLM@sakilacustomer.org,1,2006-02-14 22:04:37,577,1501 Pangkal Pinang Avenue,,Mazowieckie,409,943,770864062795
506,2,LESLIE,SEWARD,LESLIE.SEWARD@sakilacustomer.org,1,2006-02-14 22:04:37,511,1152 al-Qatif Lane,,Kalimantan Barat,412,44816,131370665218
240,1,MARLENE,WELCH,MARLENE.WELCH@sakilacustomer.org,1,2006-02-14 22:04:36,244,1148 Saarbrücken Parkway,,Fukushima,226,1921,137773001988
100,1,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,1,2006-02-14 22:04:36,104,1913 Kamakura Place,,Lipetsk,238,97287,942570536750
