LastName,Income,Employer,AgencyID,FirstName,NumberCars,CreditRating,OwnOrRentFlag,NumberChildren,Age,Phone,NetWorth,MiddleInitial,Country,City,PostalCode,MaritalStatus,State,AddressLine2,AddressLine1,Gender,NumberCreditCards
PELLAND,368776.0,Brink's,PEL0,Netti,,760.0,O,3.0,20.0,1-712-522-6088,1058868.0,,United States of America,Fairbanks,T6b 1i1,W,MA,,21847 olympia street,f,
LEDUC,177967.0,,LED1,TRUDY,5.0,555.0,U,1.0,3.0,1-626-426-4298,1988185.0,,United States of America,Quebec,77281,U,PA,APT. 624,245 congress court,F,6.0
latif,321772.0,,lat2,ireland,2.0,566.0,O,1.0,,1-524-787-8784,3673128.0,,United States of America,Henderson,91355,S,Alberta,,6517 frailing west,,6.0
RUDDICK,25449.0,Air Products & Chemicals,RUD3,Misti,2.0,,O,1.0,77.0,1-741-997-1688,2005895.0,,Canada,Salem,36615,W,AR,,11449 blalock park,,3.0
JAYAMANNE,166567.0,Oshkosh,JAY4,sarena,0.0,815.0,O,3.0,21.0,1-002-194-1991,624736.0,M,Canada,Toledo,t6a 1i3,M,OR,Apt. 619,18354 dodd court,f,4.0
todo,43631.0,,tod5,Paulette,1.0,333.0,R,4.0,77.0,1-441-371-7651,3064615.0,Z,United States of America,Corpus Christi,A2b 1v3,M,VA,,14117 roxboro street,M,10.0
Kanno,466230.0,VeraSun Energy,Kan6,AMALITA,4.0,528.0,O,0.0,23.0,1-957-940-5980,3489129.0,R,Canada,Salt Lake City,49513,,OH,,24697 FLORENCE WEST,m,1.0
Dinkel,420243.0,IDT,Din7,Ernesto,2.0,680.0,U,2.0,9.0,1-768-633-4096,3430744.0,Z,United States of America,Brownsville,M5d 1v6,M,Prince Edward Island,,6488 applewood drive,,7.0
Thibodeaux,141862.0,Adams Resources & Energy,Thi8,Toby,3.0,761.0,O,,63.0,1-107-689-2155,1743614.0,,United States of America,Escondido,V6c 1q1,U,NV,,17404 gale court,,10.0
Mayo,402011.0,MGIC Investment,May9,evangelia,0.0,416.0,O,2.0,32.0,1-173-594-6096,216299.0,,United States of America,Los Angeles,99716,M,Ontario,,15913 alexis street,,
mahendra,79928.0,Iasis Healthcare,mah10,umakanth,2.0,493.0,O,2.0,96.0,1-561-520-0611,1528641.0,U,Canada,West Covina,A2b 1w1,M,TX,,18313 5th lane,,9.0
Sizto,109496.0,AMR,Siz11,terrie,1.0,564.0,R,0.0,46.0,1-730-406-9727,3752907.0,,United States of America,San Buenaventura,M5F 1W1,M,NE,,13653 collier avenue,,0.0
crawley,267901.0,Embarq,cra12,Mary-pat,1.0,817.0,U,4.0,6.0,,582378.0,,United States of America,Lexington,95118,U,AR,,15306 pike park,,0.0
dacal,487273.0,Advanced Micro Devices,dac13,Catherin,3.0,653.0,R,5.0,39.0,1-207-867-4589,3458824.0,,United States of America,Hay River,H2f 1v7,U,MI,,1540 crestmere north,m,8.0
HIVELY,34013.0,Cenveo,HIV14,annissa,3.0,587.0,O,4.0,73.0,1-478-629-9641,469408.0,W,United States of America,Toronto,19217,M,MA,,10790 bonita crescent,,2.0
Peschke,473462.0,Kelly Services,Pes15,Amour,0.0,472.0,O,2.0,26.0,1-026-208-8595,1504480.0,,United States of America,Denver,21228,S,TN,Apt. 290,24679 AIRPORT CRESCENT,,6.0
CHILDERHOSE,499493.0,Viacom,CHI16,jenica,5.0,817.0,O,4.0,54.0,1-432-681-4853,2763009.0,,Canada,St. Paul,85097,M,TN,,7627 douglas road,,4.0
