pstlcd,ddrssln2,frstnm,ncm,nmbrchldrn,ntwrth,gndr,wnrrntflg,cntr,crdtrtng,ddrssln1,nmbrcrs,g,mrtlstts,nmbrcrdtcrds,ct,mddlntl,gncd,stt,lstnm,phn,mplr
Guudshirvcu,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,wbwsqgtaa,94490.0,,321776.0,,U,United States of America,580.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,3.0,7.0,U,,Baltimore,n,Iok7501,MO,Iokwiqojocjanndatkdzgymym,1-637-119-9996,FM Global
wyggjewbe,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,QGJWCPAPZMWHYHZTNOYSSOQBI,7037.0,4.0,2292324.0,M,R,Canada,683.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,48.0,S,2.0,Kitchener,,tia7502,TX,tiabxgseasiibxakctfzhfwotp,1-560-405-0048,MGIC Investment
YMZRQICUTHT,Cdrxeolwrrxmwmhgexvcstvzz,BHGXDDPUMBESLQMNEPREPTZNNKM,419269.0,5.0,969707.0,,O,,411.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,1.0,14.0,M,2.0,Saint John,u,AOI7503,CT,AOIWIWTIHIXOJ,1-261-306-5079,Ross Stores
Bcjuycmcen,WKSBVOFGJHQGAEKUYRZHHPH,Xgnvppcxgfnmawlupgfa,76681.0,5.0,3899461.0,m,U,United States of America,818.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,4.0,29.0,W,9.0,Berkeley,,PJQ7504,UT,PJQSPMBUHYQKBOZ,1-642-299-6655,
Nujxguyehf,skxijfqpzshmts,Tfiozpstcftslqtwkgngiiwo,209116.0,4.0,3749223.0,,R,United States of America,370.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,2.0,69.0,U,7.0,Missoula,,SDV7505,RI,SDVLJWXENNGWCQMIW,,Alliance One International
Neigswk,ZETOHHRKIBHCQCKZODIXJJSXCFY,fbcahlrhhjoslfzqvvwwvhk,212203.0,0.0,3658531.0,F,O,,833.0,Ajpkrmtlcbdzr,0.0,47.0,U,6.0,Salinas,F,Hga7506,DE,Hgakmykzeunwkiaxayulpwyxrcuev,1-388-257-4273,Sally Beauty Holdings
WNCEOQPLW,LJXAXKUJXQBGWBHJJAAM,Dcgkohfcwyoaxckalqnkrzwq,42018.0,5.0,1738460.0,M,U,Canada,536.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,0.0,M,2.0,San Jose,D,Beo7507,NM,Beotomyndkiqryllkvpavllytov,,Wisconsin Energy
Cskdwtkf,Jmlgjkjbqhrudrkqrm,Vmnmcsinflxxmmifydckncc,90446.0,0.0,3307296.0,,R,United States of America,775.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,46.0,S,0.0,Cleveland,,Qum7508,WV,Qumxrssnd,1-632-118-1891,Carpenter Technology
tcxswloetdt,Qqcilgblxyikgr,Vrkbkkxkddtximspigmlbwzt,16274.0,1.0,1816419.0,,R,United States of America,765.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,6.0,M,3.0,Huntington,v,Hud7509,NH,Hudlpfwjagzbnznyhamjkhbf,1-853-806-4986,Liberty Mutual Insurance Group
Fkpemasoukih,Ahtohqjfzfarn,RMWCTFTLSVTMCBI,22215.0,2.0,2599250.0,m,O,Canada,555.0,Ycltsquohmuugxihqyluhkoy,5.0,22.0,M,6.0,Paterson,,jba7510,WY,jbabemsfwdyeihxq,1-220-687-2027,Black & Decker
NCEVKLQEEWTA,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Zaijioc,210038.0,1.0,490443.0,m,O,United States of America,,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,5.0,72.0,M,3.0,Greensboro,,dgc7511,Saskatchewan,dgcnbxfhc,,Interstate Bakeries
DODDIDDHXS,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Mdwdjpdfmbqjaygkfqzqx,307402.0,5.0,3348923.0,,O,Canada,318.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,4.0,40.0,M,9.0,Concord,,lql7512,NE,lqlslgqsvyfxqnzuwbfg,1-268-630-3843,eBay
Oqnzttrldq,ucxdpiwilpxxhv,Ccbccgvldfvoqtzestvkwunn,,1.0,331799.0,m,R,United States of America,613.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,4.0,8.0,D,4.0,Colorado Springs,,Wsk7513,AR,Wskjvrujdwku,1-915-548-9541,Boise
Lwbawk,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,nyakrhdyxravdnhgbtol,432425.0,1.0,1167013.0,,R,,786.0,,4.0,10.0,U,4.0,Mobile,v,Ffs7514,IL,Ffshsiomkzjonhxjhunfsao,1-536-880-0961,MDU Resources Group
Ppsrzjdtg,,NDNBTVCLKSC,122041.0,3.0,3960216.0,,O,United States of America,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,0.0,24.0,U,10.0,Thousand Oaks,F,Kvv7515,VA,Kvvverfkpazpzzkrqniixrhnw,1-494-335-6022,Freescale Semiconductor
,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Zmstbluqkipzaojfsomtbdddguq,302205.0,4.0,242246.0,f,O,United States of America,623.0,,1.0,18.0,M,5.0,Rochester,G,mpz7516,ID,mpzqnwnrmaozfsstcqtrc,1-814-158-3550,Superior Energy Services
,Havgczldcpfmwfzj,dpqgvuaoijmkxsesvililpxcrwqe,367555.0,1.0,1217660.0,F,O,United States of America,845.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,79.0,S,1.0,Garden Grove,s,Jhc7517,TX,Jhcbaxyzijphmmvpampdgvgisnab,1-420-580-0795,Monsanto
Rxdsunq,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,IHUGYGSRDWILVOFBAKUR,106025.0,5.0,1229655.0,M,U,United States of America,645.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,4.0,36.0,M,7.0,Tampa,l,dbq7518,New Brunswick,dbqcukoddoiwg,1-924-305-1666,Newfield Exploration
JXHVEEOU,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,aefotdcronamhkzsfpvifmobgchmsp,106690.0,2.0,1157831.0,m,O,Canada,495.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,21.0,W,1.0,Fullerton,,Xch7519,Alberta,Xchoxlbkffuvox,1-450-082-2122,Loews
XHJQCDPOO,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,jdeyqkerjerjpht,29373.0,2.0,,m,O,Canada,371.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,4.0,M,8.0,Washington,Z,oir7520,PA,oirfujtvl,1-573-009-1404,Apache
