AddressLine1,NumberCars,Country,Income,Age,MiddleInitial,LastName,Gender,FirstName,AddressLine2,OwnOrRentFlag,Phone,PostalCode,NetWorth,Employer,AgencyID,CreditRating,City,State,NumberCreditCards,MaritalStatus,NumberChildren
21847 olympia street,,United States of America,368776.0,20.0,,PELLAND,f,Netti,,O,1-712-522-6088,T6b 1i1,1058868.0,Brink's,PEL0,760.0,Fairbanks,MA,,W,3.0
245 congress court,5.0,United States of America,177967.0,3.0,,LEDUC,F,TRUDY,APT. 624,U,1-626-426-4298,77281,1988185.0,,LED1,555.0,Quebec,PA,6.0,U,1.0
6517 frailing west,2.0,United States of America,321772.0,,,latif,,ireland,,O,1-524-787-8784,91355,3673128.0,,lat2,566.0,Henderson,Alberta,6.0,S,1.0
11449 blalock park,2.0,Canada,25449.0,77.0,,RUDDICK,,Misti,,O,1-741-997-1688,36615,2005895.0,Air Products & Chemicals,RUD3,,Salem,AR,3.0,W,1.0
18354 dodd court,0.0,Canada,166567.0,21.0,M,JAYAMANNE,f,sarena,Apt. 619,O,1-002-194-1991,t6a 1i3,624736.0,Oshkosh,JAY4,815.0,Toledo,OR,4.0,M,3.0
14117 roxboro street,1.0,United States of America,43631.0,77.0,Z,todo,M,Paulette,,R,1-441-371-7651,A2b 1v3,3064615.0,,tod5,333.0,Corpus Christi,VA,10.0,M,4.0
24697 FLORENCE WEST,4.0,Canada,466230.0,23.0,R,Kanno,m,AMALITA,,O,1-957-940-5980,49513,3489129.0,VeraSun Energy,Kan6,528.0,Salt Lake City,OH,1.0,,0.0
6488 applewood drive,2.0,United States of America,420243.0,9.0,Z,Dinkel,,Ernesto,,U,1-768-633-4096,M5d 1v6,3430744.0,IDT,Din7,680.0,Brownsville,Prince Edward Island,7.0,M,2.0
17404 gale court,3.0,United States of America,141862.0,63.0,,Thibodeaux,,Toby,,O,1-107-689-2155,V6c 1q1,1743614.0,Adams Resources & Energy,Thi8,761.0,Escondido,NV,10.0,U,
15913 alexis street,0.0,United States of America,402011.0,32.0,,Mayo,,evangelia,,O,1-173-594-6096,99716,216299.0,MGIC Investment,May9,416.0,Los Angeles,Ontario,,M,2.0
18313 5th lane,2.0,Canada,79928.0,96.0,U,mahendra,,umakanth,,O,1-561-520-0611,A2b 1w1,1528641.0,Iasis Healthcare,mah10,493.0,West Covina,TX,9.0,M,2.0
13653 collier avenue,1.0,United States of America,109496.0,46.0,,Sizto,,terrie,,R,1-730-406-9727,M5F 1W1,3752907.0,AMR,Siz11,564.0,San Buenaventura,NE,0.0,M,0.0
15306 pike park,1.0,United States of America,267901.0,6.0,,crawley,,Mary-pat,,U,,95118,582378.0,Embarq,cra12,817.0,Lexington,AR,0.0,U,4.0
1540 crestmere north,3.0,United States of America,487273.0,39.0,,dacal,m,Catherin,,R,1-207-867-4589,H2f 1v7,3458824.0,Advanced Micro Devices,dac13,653.0,Hay River,MI,8.0,U,5.0
10790 bonita crescent,3.0,United States of America,34013.0,73.0,W,HIVELY,,annissa,,O,1-478-629-9641,19217,469408.0,Cenveo,HIV14,587.0,Toronto,MA,2.0,M,4.0
24679 AIRPORT CRESCENT,0.0,United States of America,473462.0,26.0,,Peschke,,Amour,Apt. 290,O,1-026-208-8595,21228,1504480.0,Kelly Services,Pes15,472.0,Denver,TN,6.0,S,2.0
7627 douglas road,5.0,Canada,499493.0,54.0,,CHILDERHOSE,,jenica,,O,1-432-681-4853,85097,2763009.0,Viacom,CHI16,817.0,St. Paul,TN,4.0,M,4.0
6106 ashland east,5.0,United States of America,266928.0,87.0,,Dinnin,,KATTIE,,R,,V6j 1q8,2787199.0,Macy's,Din17,441.0,Bellevue,OK,0.0,M,4.0
1111 norden street,2.0,United States of America,72444.0,85.0,M,De witte,,Roselle,,O,1-357-207-6320,43207,2789368.0,Gardner Denver,De 18,848.0,Detroit,Ontario,6.0,M,3.0
2798 1st east,3.0,United States of America,77290.0,86.0,,Mckeegan,m,arlyne,,R,1-462-774-1277,V6t 1q8,2784776.0,Family Dollar Stores,Mck19,843.0,Omaha,KY,8.0,U,3.0
11358 elle lee street,2.0,United States of America,395066.0,59.0,P,WINTERS,M,Rong-chin,,R,1-702-382-2898,94467,288747.0,,WIN20,,Costa Mesa,PA,,U,0.0
21074 MALLORY LOWER,5.0,United States of America,119283.0,94.0,,BITTMAN,,Darlleen,,O,1-909-554-7120,94321,876575.0,Sun Microsystems,BIT21,300.0,Berkeley,MD,0.0,U,3.0
16124 weyland park,1.0,United States of America,330991.0,,V,luzarraga,f,Radoslav,,O,1-752-296-7940,C2a 4w7,2041224.0,Costco Wholesale,luz22,795.0,St. Louis,TX,8.0,U,1.0
23822 marvin crescent,4.0,United States of America,,5.0,S,donovan,,Aryn,,U,1-995-554-5056,35808,2231509.0,Illinois Tool Works,don23,367.0,Colorado Springs,IN,5.0,,0.0
2203 valita boulevard,1.0,United States of America,252031.0,23.0,T,Giallo,,Allisan,,O,1-090-303-3807,M5f 1v6,3206409.0,Southern Union,Gia24,507.0,Fontana,MD,1.0,M,5.0
11538 COLLINWOOD AVENUE,3.0,United States of America,101800.0,61.0,,SPRUELL,M,Ammamaria,,O,1-492-968-0932,99539,3850037.0,Moog,SPR25,362.0,St. Catharines,KY,9.0,M,1.0
7818 EAST STREET,0.0,United States of America,436977.0,,,SKALSKI,F,Mari,,O,1-960-227-2020,95055,528440.0,Old Republic International,SKA26,527.0,Hayward,CA,7.0,D,1.0
10013 shaw road,0.0,United States of America,495334.0,51.0,,Gargul,m,Anica,,O,1-431-122-8597,93686,597140.0,,Gar27,354.0,Palmdale,FL,0.0,S,
6802 AMES STREET,1.0,United States of America,274685.0,97.0,,Dore,,Melba,,O,1-822-836-7200,75218,146931.0,Great Plains Energy,Dor28,511.0,Phoenix,Newfoundland,1.0,M,1.0
22501 SUMMIT RUE,2.0,United States of America,320820.0,52.0,X,DIOGO,,Tracee,,,1-530-117-0497,91174,353495.0,Broadcom,DIO29,412.0,Gary,TX,7.0,,2.0
291 frances rue,4.0,Canada,195835.0,98.0,,Merrick,m,CANADIAN,,O,1-051-257-2719,49515,295647.0,Discover Financial Services,Mer30,583.0,Beaumont,WA,1.0,S,0.0
16264 sanders east,5.0,United States of America,108085.0,47.0,R,Atchison,,Oue,,O,1-171-989-1363,16506,408941.0,UAL,Atc31,710.0,Nashua,MN,5.0,U,3.0
16068 cantey way,2.0,United States of America,260185.0,47.0,X,Plamondon,m,wallie,,O,1-042-705-3246,94383,362523.0,Charles Schwab,Pla32,380.0,San Jose,WY,9.0,M,1.0
21170 EDLOE BOULEVARD,0.0,United States of America,258323.0,9.0,E,SELCHOW,F,Andromache,,R,1-098-328-2026,T6d 1b3,2102359.0,Coach,SEL33,796.0,Nashua,NY,2.0,M,0.0
885 CROSBY LANE,1.0,United States of America,79476.0,85.0,Z,shane,f,THOR,,U,1-209-754-5635,25339,3480265.0,DaVita,sha34,818.0,Fort Smith,SC,2.0,M,3.0
12235 jay street,5.0,United States of America,102156.0,81.0,,MERWIN,,SALAH,,U,1-498-781-3456,V6o 1v4,3648900.0,Marshall & Ilsley Corp.,MER35,766.0,Lancaster,MS,3.0,M,3.0
20340 LOMBARD CRESCENT,2.0,United States of America,221481.0,0.0,,conrad,,HOR-LAM,,O,1-615-241-0440,01852,1161790.0,Cablevision Systems,con36,359.0,Colorado Springs,UT,2.0,M,3.0
22074 dexter upper,1.0,United States of America,41836.0,28.0,,onsiteteam,M,Vania,,R,1-995-449-5200,78230,2050587.0,Barnes & Noble,ons37,401.0,Washington,PA,2.0,S,5.0
1540 MURIE RUE,1.0,Canada,72389.0,65.0,,Summerlin,M,Niel,,O,1-295-673-4452,93770,3579198.0,EMC,Sum38,609.0,Lowell,OK,0.0,U,1.0
7075 glen loch drive,3.0,United States of America,66486.0,20.0,F,grooms,,ziad,,O,1-914-675-2986,m4l 1n4,889494.0,Fluor,gro39,630.0,Frederick,WY,2.0,S,0.0
11237 balmoral way,3.0,United States of America,200185.0,55.0,I,dilkie,,Claude,Apt. 382,O,,22335,2205682.0,Dollar General,dil40,671.0,Mesa,RI,9.0,M,1.0
8316 GARDEN BROOK NORTH,0.0,United States of America,289215.0,76.0,,DOLSON,,AVTAR,,O,1-825-739-0336,V6C 1T4,1140117.0,Lear,DOL41,715.0,Lakewood,HI,10.0,U,2.0
2240 clifton lower,4.0,United States of America,322484.0,1.0,,Posthumus,,Donny,,O,1-956-713-3802,M6t 1h3,1421319.0,J.P. Morgan Chase & Co.,Pos42,707.0,Cleveland,VA,9.0,M,1.0
20907 NOTINGHAM LOWER,4.0,United States of America,83458.0,3.0,,Machika,,Cocos,,O,1-814-932-1579,95263,3525204.0,Affinia Group Intermediate,Mac43,329.0,Grand Rapids,OK,0.0,M,2.0
601 carroll lower,0.0,United States of America,,100.0,,chenoweth,,ruud,,R,1-135-443-7282,v5b 1p5,468976.0,,che44,601.0,Peoria,Prince Edward Island,8.0,D,3.0
18267 state drive,5.0,United States of America,492407.0,81.0,,holbrooks,,Belvia,,O,1-720-975-0667,32318,1685443.0,Goldman Sachs Group,hol45,623.0,Inglewood,SD,2.0,W,1.0
9270 LEAF SOUTH,4.0,United States of America,346630.0,76.0,,pfieffer,f,ATHAR,,O,1-871-598-3505,93872,337564.0,E*Trade Financial,pfi46,376.0,Akron,OH,2.0,S,4.0
18582 PERIMETER BOULEVARD,1.0,Canada,9572.0,51.0,Y,elkington,,Cherey,,O,1-607-222-4809,92824,84777.0,Pfizer,elk47,560.0,Charlottetown,MA,0.0,W,3.0
9612 park stream upper,1.0,United States of America,265369.0,,,Labenek,F,RAZ,,O,1-965-046-0642,e4a 1r2,3146477.0,Safeway,Lab48,693.0,Bellevue,MD,4.0,,5.0
2803 clearwater north,1.0,United States of America,104172.0,58.0,Y,laferriere,,kishore,,U,1-155-441-3579,H7G 1V4,495277.0,Simon Property Group,laf49,346.0,Dover,Saskatchewan,0.0,S,2.0
11103 BISSONNET WEST,0.0,United States of America,65550.0,52.0,I,Norment,,Nelleke,,O,,85039,746904.0,Trinity Industries,Nor50,342.0,Fullerton,WA,0.0,M,3.0
4652 outervale lane,2.0,Canada,,91.0,,hagar,,sibby,,R,1-544-132-7237,v6m 1q3,1219620.0,Solutia,hag51,563.0,Denver,OH,8.0,M,0.0
341 dunbar west,2.0,United States of America,,17.0,,Betcher,m,ericha,,O,1-821-089-2089,X7j 1r1,1718910.0,,Bet52,391.0,Dallas,WY,4.0,M,3.0
16176 vernon drive,4.0,United States of America,66244.0,6.0,,Van der,m,Janson,,O,1-135-391-9787,B8b 1z5,,A.O. Smith,Van53,381.0,San Jose,NJ,8.0,S,4.0
23131 clint way,0.0,United States of America,426954.0,89.0,,O'LEARY,F,Dorotea,,U,1-776-182-6215,t5d 1v4,2636424.0,AptarGroup,O'L54,539.0,Bellevue,ND,9.0,S,3.0
11640 baltic upper,5.0,United States of America,126891.0,99.0,,anderson,m,Denice,,O,1-079-780-7761,V6t 1r2,1326305.0,Coca-Cola,and55,497.0,San Buenaventura,NC,0.0,M,4.0
20796 dolores drive,4.0,Canada,454196.0,77.0,,starks,,Myron,,O,1-504-346-4393,91177,2241997.0,Kimberly-Clark,sta56,661.0,St. Louis,WV,,M,2.0
14359 COMMERCE WEST,5.0,United States of America,163940.0,,,CHASSE,,Barby,Apt. 275,R,1-985-538-4351,T5c 1t1,1542891.0,Visteon,CHA57,558.0,Pueblo,GA,0.0,S,3.0
21448 hampton boulevard,,Canada,365213.0,90.0,,ASING,R,Ariella,,O,1-254-097-9398,35862,797918.0,TECO Energy,ASI58,534.0,Regina,Ontario,,W,1.0
7637 pershing way,0.0,United States of America,428739.0,82.0,,askins,f,ADEY,,U,1-545-924-9552,96820,347654.0,Bemis,ask59,373.0,Saskatoon,MA,6.0,M,0.0
11529 arcana boulevard,4.0,United States of America,142444.0,,K,Kikuta,,GAYEL,,O,1-984-233-8818,75238,2456397.0,Wyeth,Kik60,382.0,Jackson,CA,8.0,M,0.0
2700 windwood north,3.0,United States of America,416168.0,15.0,,Chane,F,Man,,O,1-528-691-1642,85769,1284229.0,United Technologies,Cha61,475.0,St. Petersburg,SD,10.0,S,3.0
22279 gramercy road,2.0,United States of America,291420.0,,U,KILLEN,m,Klara,,O,,H5i 1o9,618787.0,Clorox,KIL62,539.0,Scottsdale,Saskatchewan,3.0,D,0.0
9828 west east,4.0,United States of America,413501.0,96.0,,kinley,f,Abdalla,,O,1-171-807-8213,90849,1171606.0,Discovery Communications,kin63,711.0,Charlotte,RI,6.0,M,5.0
5935 mcafee park,4.0,United States of America,,38.0,,MALAHER,,bal,,O,1-056-241-7009,43644,3983261.0,Williams-Sonoma,MAL64,606.0,Waterbury,NC,1.0,M,
12460 CLAYTON STREET,3.0,United States of America,419143.0,10.0,J,Odum,,Romy,,O,1-389-414-0570,99213,2328568.0,Manitowoc,Odu65,494.0,Chesapeake,SD,0.0,W,3.0
275 3rd drive,1.0,United States of America,155057.0,72.0,,DI NINNO,,KORAL,,O,1-583-542-1656,72226,2078600.0,Henry Schein,DI 66,309.0,Hialeah,IL,3.0,M,5.0
6907 FERNCLIFF CRESCENT,2.0,United States of America,313859.0,97.0,K,STUBBLEFIELD,,YUKIHIKO,,O,1-269-712-0672,V6Z 1Q9,2986155.0,Trinity Industries,STU67,630.0,Charleston,OR,3.0,M,5.0
885 crosby lane,4.0,United States of America,265907.0,48.0,,HAMBALI,,Khanh,,O,1-670-102-0463,20082,1864039.0,Pepsi Bottling,HAM68,330.0,Salem,Ontario,10.0,S,1.0
2344 kalani west,,Canada,283481.0,97.0,,LIBRARIAN,m,Darnell,,O,1-699-726-3895,35827,1293721.0,UGI,LIB69,710.0,Sacramento,FL,9.0,S,0.0
22870 LA CIENEGA STREET,4.0,United States of America,200635.0,73.0,,ohsone,M,feridoun,,R,1-640-666-2876,99692,3850114.0,Greif,ohs70,475.0,Santa Clarita,NM,7.0,M,0.0
8478 green avenue,0.0,United States of America,434519.0,71.0,O,HUMMEL,,Magdy,APT. 143,O,1-540-639-1311,V6c 1q5,1618743.0,Equifax,HUM71,596.0,Sherbrooke,NE,3.0,U,1.0
23639 purdue rue,5.0,United States of America,392315.0,93.0,,BRADD,,jiri,,O,1-285-874-8492,80158,3383487.0,,BRA72,670.0,Colorado Springs,MI,9.0,W,1.0
19202 ansley park,5.0,United States of America,493829.0,53.0,X,Boarder,,AILA,,O,1-121-904-0040,t6d 1b6,2981876.0,Freescale Semiconductor,Boa73,722.0,Berkeley,New Brunswick,,U,3.0
11319 devonshire rue,3.0,United States of America,97489.0,32.0,,Mcnally,,Vincenzo,,O,1-017-842-3201,33120,2109339.0,Aleris International,Mcn74,587.0,San Buenaventura,NJ,7.0,U,2.0
23665 deerwood park,4.0,United States of America,,1.0,,MARKOVICH,F,Minnnie,,O,1-215-859-3206,99742,791803.0,,MAR75,609.0,New Haven,ND,4.0,S,3.0
4855 union north,0.0,United States of America,383046.0,39.0,,Willekes,f,alfonzo,,O,1-764-520-7470,V6N 1T1,3523678.0,World Fuel Services,Wil76,401.0,Shreveport,Saskatchewan,7.0,S,1.0
9466 SHADOWBRIAR WEST,4.0,United States of America,1190.0,77.0,S,Deacetis,m,Swandi,,,1-414-130-0162,44104,1681902.0,R.R. Donnelley & Sons,Dea77,335.0,Lansing,KS,0.0,M,0.0
3504 regency avenue,5.0,United States of America,85733.0,18.0,,Houk,,Anya,,O,1-970-240-9990,14605,3851455.0,Brinker International,Hou78,569.0,Pembroke Pines,SD,7.0,U,5.0
7281 northland lower,0.0,Canada,387890.0,70.0,,Goyette,,Enrika,,R,1-408-684-6459,80076,2339382.0,Temple-Inland,Goy79,,Palmdale,FL,9.0,M,2.0
12481 hayden lower,2.0,United States of America,16808.0,26.0,Z,Mok-fung,f,SONJA,,O,1-330-353-5908,V6I 1V6,,Psychiatric Solutions,Mok80,679.0,Savannah,Saskatchewan,7.0,S,0.0
2328 gracie avenue,,United States of America,304589.0,,I,Rundle,,Liem,,,1-766-726-2675,97307,2065016.0,Nash-Finch,Run81,356.0,Amarillo,FL,10.0,M,4.0
4737 campbell street,2.0,United States of America,48506.0,58.0,,BELLEY,o,COLLETTE,,R,1-938-425-7509,46237,2454049.0,AMR,BEL82,308.0,Anchorage,UT,9.0,S,5.0
2401 stratmore lower,0.0,United States of America,,43.0,Y,BAER,,SIAMACK,,O,1-527-308-8874,V6B 1S6,2423395.0,Spartan Stores,BAE83,412.0,Louisville,WY,4.0,M,4.0
21477 JUNIPER CRESCENT,2.0,United States of America,358862.0,65.0,,MAULDIN,f,Toshihiro,,O,1-810-590-0635,H2d 1x1,1342045.0,Cigna,MAU84,618.0,Hilo,NH,4.0,D,3.0
19214 YAUPON BOULEVARD,5.0,United States of America,477614.0,24.0,,Koohgoli,,Casey,,O,1-274-548-2512,95108,861756.0,General Cable,Koo85,429.0,Sudbury,AR,5.0,S,3.0
7785 rusk boulevard,3.0,United States of America,175414.0,79.0,,Lauriston,,Daryn,,O,1-649-754-4601,80050,1215349.0,Dun & Bradstreet,Lau86,819.0,Orlando,CT,3.0,S,1.0
18002 cantrell upper,0.0,Canada,427598.0,48.0,L,Mangum,F,Adrianna,,O,1-905-932-1785,90122,3981554.0,Casey's General Stores,Man87,552.0,Missoula,VT,7.0,M,1.0
23341 brookside upper,0.0,United States of America,368207.0,69.0,,PIERCY,,Cortney,,O,1-031-004-7697,43614,3865937.0,Jack in the Box,PIE88,587.0,Abilene,Manitoba,9.0,S,4.0
20494 ROSS WEST,3.0,United States of America,449944.0,91.0,,Buscaglia,M,Duane,,O,1-994-812-4796,61110,2804700.0,Assurant,Bus89,304.0,Saskatoon,NJ,6.0,S,1.0
17552 SAVANNAH NORTH,5.0,United States of America,166247.0,75.0,,BABIONE,,Tele,,U,1-176-513-4041,70174,3283558.0,Psychiatric Solutions,BAB90,795.0,Irvine,KY,4.0,,5.0
4462 pace crescent,1.0,United States of America,391165.0,85.0,,Burkard,M,Ophelia,APT. 373,O,1-072-244-6337,90324,450524.0,Danaher,Bur91,830.0,Reno,GA,2.0,S,3.0
7161 tallowood upper,5.0,United States of America,165854.0,76.0,,Kinsella,,lorine,,R,1-924-669-9328,s7d 1n1,,Clorox,Kin92,709.0,Sacramento,NJ,3.0,M,3.0
3489 silver sage west,2.0,United States of America,326181.0,68.0,,POMMAINVILLE,,Viole,,O,1-598-488-3541,93829,,Boyd Gaming,POM93,493.0,Topeka,SC,8.0,S,1.0
12481 hayden lower,3.0,United States of America,173387.0,95.0,,BOATWRIGHT,M,Nani,,O,1-295-539-3868,89116,633760.0,Eaton,BOA94,680.0,Rancho Cucamonga,TN,,M,
13210 3RD DRIVE,1.0,United States of America,301127.0,15.0,R,Ronald,,cherey,,R,1-554-020-0267,94315,3634954.0,Dynegy,Ron95,800.0,Hilo,WY,,M,5.0
8899 starling lane,1.0,United States of America,487230.0,17.0,A,weihs,,Redgie,,R,1-793-621-4566,T5b 1u9,799268.0,AmeriCredit,wei96,614.0,Saint John,Ontario,4.0,M,5.0
11480 fennel south,4.0,Canada,425747.0,94.0,P,Helpb,M,Yousef,,R,1-787-267-4261,T6b 1a5,39093.0,SLM,Hel97,763.0,Torrance,DC,6.0,,0.0
7266 cherry upper,4.0,United States of America,401946.0,70.0,,moghe,m,Damaris,,O,1-668-247-1597,60699,2705353.0,NV Energy,mog98,561.0,Santa Clara,Alberta,3.0,S,4.0
10678 ENGLEWOOD WEST,1.0,United States of America,425422.0,29.0,,bozicevich,,Ilyssa,,O,1-901-346-8890,V6p 1s8,3565153.0,Landstar System,boz99,569.0,Torrance,ME,4.0,S,2.0
