AgID,FirN,MiIni,LN,AddLi1,NumCa,OORFl,AdL2,Gen,CreRa,Ci,NuChil,MariSta,Ag,Em,NumCrCar,NeWor
PEL0,Netti,,PELLAND,21847 olympia street,,O,,f,760.0,Fairbanks,3.0,W,20.0,Brink's,,1058868.0
LED1,TRUDY,,LEDUC,245 congress court,5.0,U,APT. 624,F,555.0,Quebec,1.0,U,3.0,,6.0,1988185.0
lat2,ireland,,latif,6517 frailing west,2.0,O,,,566.0,Henderson,1.0,S,,,6.0,3673128.0
RUD3,Misti,,RUDDICK,11449 blalock park,2.0,O,,,,Salem,1.0,W,77.0,Air Products & Chemicals,3.0,2005895.0
JAY4,sarena,M,JAYAMANNE,18354 dodd court,0.0,O,Apt. 619,f,815.0,Toledo,3.0,M,21.0,Oshkosh,4.0,624736.0
tod5,Paulette,Z,todo,14117 roxboro street,1.0,R,,M,333.0,Corpus Christi,4.0,M,77.0,,10.0,3064615.0
Kan6,AMALITA,R,Kanno,24697 FLORENCE WEST,4.0,O,,m,528.0,Salt Lake City,0.0,,23.0,VeraSun Energy,1.0,3489129.0
Din7,Ernesto,Z,Dinkel,6488 applewood drive,2.0,U,,,680.0,Brownsville,2.0,M,9.0,IDT,7.0,3430744.0
Thi8,Toby,,Thibodeaux,17404 gale court,3.0,O,,,761.0,Escondido,,U,63.0,Adams Resources & Energy,10.0,1743614.0
May9,evangelia,,Mayo,15913 alexis street,0.0,O,,,416.0,Los Angeles,2.0,M,32.0,MGIC Investment,,216299.0
mah10,umakanth,U,mahendra,18313 5th lane,2.0,O,,,493.0,West Covina,2.0,M,96.0,Iasis Healthcare,9.0,1528641.0
Siz11,terrie,,Sizto,13653 collier avenue,1.0,R,,,564.0,San Buenaventura,0.0,M,46.0,AMR,0.0,3752907.0
cra12,Mary-pat,,crawley,15306 pike park,1.0,U,,,817.0,Lexington,4.0,U,6.0,Embarq,0.0,582378.0
dac13,Catherin,,dacal,1540 crestmere north,3.0,R,,m,653.0,Hay River,5.0,U,39.0,Advanced Micro Devices,8.0,3458824.0
HIV14,annissa,W,HIVELY,10790 bonita crescent,3.0,O,,,587.0,Toronto,4.0,M,73.0,Cenveo,2.0,469408.0
Pes15,Amour,,Peschke,24679 AIRPORT CRESCENT,0.0,O,Apt. 290,,472.0,Denver,2.0,S,26.0,Kelly Services,6.0,1504480.0
CHI16,jenica,,CHILDERHOSE,7627 douglas road,5.0,O,,,817.0,St. Paul,4.0,M,54.0,Viacom,4.0,2763009.0
Din17,KATTIE,,Dinnin,6106 ashland east,5.0,R,,,441.0,Bellevue,4.0,M,87.0,Macy's,0.0,2787199.0
De 18,Roselle,M,De witte,1111 norden street,2.0,O,,,848.0,Detroit,3.0,M,85.0,Gardner Denver,6.0,2789368.0
Mck19,arlyne,,Mckeegan,2798 1st east,3.0,R,,m,843.0,Omaha,3.0,U,86.0,Family Dollar Stores,8.0,2784776.0
WIN20,Rong-chin,P,WINTERS,11358 elle lee street,2.0,R,,M,,Costa Mesa,0.0,U,59.0,,,288747.0
BIT21,Darlleen,,BITTMAN,21074 MALLORY LOWER,5.0,O,,,300.0,Berkeley,3.0,U,94.0,Sun Microsystems,0.0,876575.0
