AgencyID,NumberChildren,NumberCars,City,CreditRating,NetWorth,Gender,OwnOrRentFlag,NumberCreditCards,PostalCode,FirstName,LastName,MiddleInitial,AddressLine1,AddressLine2,State
PEL0,3.0,,Fairbanks,760.0,1058868.0,f,O,,T6b 1i1,Netti,PELLAND,,21847 olympia street,,MA
LED1,1.0,5.0,Quebec,555.0,1988185.0,F,U,6.0,77281,TRUDY,LEDUC,,245 congress court,APT. 624,PA
lat2,1.0,2.0,Henderson,566.0,3673128.0,,O,6.0,91355,ireland,latif,,6517 frailing west,,Alberta
RUD3,1.0,2.0,Salem,,2005895.0,,O,3.0,36615,Misti,RUDDICK,,11449 blalock park,,AR
JAY4,3.0,0.0,Toledo,815.0,624736.0,f,O,4.0,t6a 1i3,sarena,JAYAMANNE,M,18354 dodd court,Apt. 619,OR
tod5,4.0,1.0,Corpus Christi,333.0,3064615.0,M,R,10.0,A2b 1v3,Paulette,todo,Z,14117 roxboro street,,VA
Kan6,0.0,4.0,Salt Lake City,528.0,3489129.0,m,O,1.0,49513,AMALITA,Kanno,R,24697 FLORENCE WEST,,OH
Din7,2.0,2.0,Brownsville,680.0,3430744.0,,U,7.0,M5d 1v6,Ernesto,Dinkel,Z,6488 applewood drive,,Prince Edward Island
Thi8,,3.0,Escondido,761.0,1743614.0,,O,10.0,V6c 1q1,Toby,Thibodeaux,,17404 gale court,,NV
May9,2.0,0.0,Los Angeles,416.0,216299.0,,O,,99716,evangelia,Mayo,,15913 alexis street,,Ontario
mah10,2.0,2.0,West Covina,493.0,1528641.0,,O,9.0,A2b 1w1,umakanth,mahendra,U,18313 5th lane,,TX
Siz11,0.0,1.0,San Buenaventura,564.0,3752907.0,,R,0.0,M5F 1W1,terrie,Sizto,,13653 collier avenue,,NE
cra12,4.0,1.0,Lexington,817.0,582378.0,,U,0.0,95118,Mary-pat,crawley,,15306 pike park,,AR
dac13,5.0,3.0,Hay River,653.0,3458824.0,m,R,8.0,H2f 1v7,Catherin,dacal,,1540 crestmere north,,MI
HIV14,4.0,3.0,Toronto,587.0,469408.0,,O,2.0,19217,annissa,HIVELY,W,10790 bonita crescent,,MA
Pes15,2.0,0.0,Denver,472.0,1504480.0,,O,6.0,21228,Amour,Peschke,,24679 AIRPORT CRESCENT,Apt. 290,TN
CHI16,4.0,5.0,St. Paul,817.0,2763009.0,,O,4.0,85097,jenica,CHILDERHOSE,,7627 douglas road,,TN
Din17,4.0,5.0,Bellevue,441.0,2787199.0,,R,0.0,V6j 1q8,KATTIE,Dinnin,,6106 ashland east,,OK
De 18,3.0,2.0,Detroit,848.0,2789368.0,,O,6.0,43207,Roselle,De witte,M,1111 norden street,,Ontario
Mck19,3.0,3.0,Omaha,843.0,2784776.0,m,R,8.0,V6t 1q8,arlyne,Mckeegan,,2798 1st east,,KY
WIN20,0.0,2.0,Costa Mesa,,288747.0,M,R,,94467,Rong-chin,WINTERS,P,11358 elle lee street,,PA
BIT21,3.0,5.0,Berkeley,300.0,876575.0,,O,0.0,94321,Darlleen,BITTMAN,,21074 MALLORY LOWER,,MD
luz22,1.0,1.0,St. Louis,795.0,2041224.0,f,O,8.0,C2a 4w7,Radoslav,luzarraga,V,16124 weyland park,,TX
don23,0.0,4.0,Colorado Springs,367.0,2231509.0,,U,5.0,35808,Aryn,donovan,S,23822 marvin crescent,,IN
Gia24,5.0,1.0,Fontana,507.0,3206409.0,,O,1.0,M5f 1v6,Allisan,Giallo,T,2203 valita boulevard,,MD
