CreditRating,MiddleInitial,OwnOrRentFlag,Age,NumberChildren,AddressLine2,City,NetWorth,Employer,Phone,NumberCars,State,NumberCreditCards,Gender,LastName,AgencyID,FirstName,AddressLine1,Country,MaritalStatus,Income,PostalCode
760.0,,O,20.0,3.0,,Fairbanks,1058868.0,Brink's,1-712-522-6088,,MA,,f,PELLAND,PEL0,Netti,21847 olympia street,United States of America,W,368776.0,T6b 1i1
555.0,,U,3.0,1.0,APT. 624,Quebec,1988185.0,,1-626-426-4298,5.0,PA,6.0,F,LEDUC,LED1,TRUDY,245 congress court,United States of America,U,177967.0,77281
566.0,,O,,1.0,,Henderson,3673128.0,,1-524-787-8784,2.0,Alberta,6.0,,latif,lat2,ireland,6517 frailing west,United States of America,S,321772.0,91355
,,O,77.0,1.0,,Salem,2005895.0,Air Products & Chemicals,1-741-997-1688,2.0,AR,3.0,,RUDDICK,RUD3,Misti,11449 blalock park,Canada,W,25449.0,36615
815.0,M,O,21.0,3.0,Apt. 619,Toledo,624736.0,Oshkosh,1-002-194-1991,0.0,OR,4.0,f,JAYAMANNE,JAY4,sarena,18354 dodd court,Canada,M,166567.0,t6a 1i3
333.0,Z,R,77.0,4.0,,Corpus Christi,3064615.0,,1-441-371-7651,1.0,VA,10.0,M,todo,tod5,Paulette,14117 roxboro street,United States of America,M,43631.0,A2b 1v3
528.0,R,O,23.0,0.0,,Salt Lake City,3489129.0,VeraSun Energy,1-957-940-5980,4.0,OH,1.0,m,Kanno,Kan6,AMALITA,24697 FLORENCE WEST,Canada,,466230.0,49513
680.0,Z,U,9.0,2.0,,Brownsville,3430744.0,IDT,1-768-633-4096,2.0,Prince Edward Island,7.0,,Dinkel,Din7,Ernesto,6488 applewood drive,United States of America,M,420243.0,M5d 1v6
761.0,,O,63.0,,,Escondido,1743614.0,Adams Resources & Energy,1-107-689-2155,3.0,NV,10.0,,Thibodeaux,Thi8,Toby,17404 gale court,United States of America,U,141862.0,V6c 1q1
416.0,,O,32.0,2.0,,Los Angeles,216299.0,MGIC Investment,1-173-594-6096,0.0,Ontario,,,Mayo,May9,evangelia,15913 alexis street,United States of America,M,402011.0,99716
