indirizzo,città_id,email,data_creazione,nome,indirizzo2,telefono,cognome,negozio_id,cliente_id,indirizzo_id,codice_postale,attivo,distretto
1913 Hanoi Way,463,MARY.SMITH@sakilacustomer.org,2006-02-14 22:04:36,MARY,,28303384290,SMITH,1,1,5,35200,1,Nagasaki
1121 Loja Avenue,449,PATRICIA.JOHNSON@sakilacustomer.org,2006-02-14 22:04:36,PATRICIA,,838635286649,JOHNSON,1,2,6,17886,1,California
692 Joliet Street,38,LINDA.WILLIAMS@sakilacustomer.org,2006-02-14 22:04:36,LINDA,,448477190408,WILLIAMS,1,3,7,83579,1,Attika
1566 Inegöl Manor,349,BARBARA.JONES@sakilacustomer.org,2006-02-14 22:04:36,BARBARA,,705814003527,JONES,2,4,8,53561,1,Mandalay
53 Idfu Parkway,361,ELIZABETH.BROWN@sakilacustomer.org,2006-02-14 22:04:36,ELIZABETH,,10655648674,BROWN,1,5,9,42399,1,Nantou
1795 Santiago de Compostela Way,295,JENNIFER.DAVIS@sakilacustomer.org,2006-02-14 22:04:36,JENNIFER,,860452626434,DAVIS,2,6,10,18743,1,Texas
900 Santiago de Compostela Parkway,280,MARIA.MILLER@sakilacustomer.org,2006-02-14 22:04:36,MARIA,,716571220373,MILLER,1,7,11,93896,1,Central Serbia
478 Joliet Way,200,SUSAN.WILSON@sakilacustomer.org,2006-02-14 22:04:36,SUSAN,,657282285970,WILSON,2,8,12,77948,1,Hamilton
613 Korolev Drive,329,MARGARET.MOORE@sakilacustomer.org,2006-02-14 22:04:36,MARGARET,,380657522649,MOORE,2,9,13,45844,1,Masqat
1531 Salé Drive,162,DOROTHY.TAYLOR@sakilacustomer.org,2006-02-14 22:04:36,DOROTHY,,648856936185,TAYLOR,1,10,14,53628,1,Esfahan
1542 Tarlac Parkway,440,LISA.ANDERSON@sakilacustomer.org,2006-02-14 22:04:36,LISA,,635297277345,ANDERSON,2,11,15,1027,1,Kanagawa
808 Bhopal Manor,582,NANCY.THOMAS@sakilacustomer.org,2006-02-14 22:04:36,NANCY,,465887807014,THOMAS,1,12,16,10672,1,Haryana
270 Amroha Parkway,384,KAREN.JACKSON@sakilacustomer.org,2006-02-14 22:04:36,KAREN,,695479687538,JACKSON,2,13,17,29610,1,Osmaniye
770 Bydgoszcz Avenue,120,BETTY.WHITE@sakilacustomer.org,2006-02-14 22:04:36,BETTY,,517338314235,WHITE,2,14,18,16266,1,California
419 Iligan Lane,76,HELEN.HARRIS@sakilacustomer.org,2006-02-14 22:04:36,HELEN,,990911107354,HARRIS,1,15,19,72878,1,Madhya Pradesh
360 Toulouse Parkway,495,SANDRA.MARTIN@sakilacustomer.org,2006-02-14 22:04:36,SANDRA,,949312333307,MARTIN,2,16,20,54308,0,England
270 Toulon Boulevard,156,DONNA.THOMPSON@sakilacustomer.org,2006-02-14 22:04:36,DONNA,,407752414682,THOMPSON,1,17,21,81766,1,Kalmykia
320 Brest Avenue,252,CAROL.GARCIA@sakilacustomer.org,2006-02-14 22:04:36,CAROL,,747791594069,GARCIA,2,18,22,43331,1,Kaduna
1417 Lancaster Avenue,267,RUTH.MARTINEZ@sakilacustomer.org,2006-02-14 22:04:36,RUTH,,272572357893,MARTINEZ,1,19,23,72192,1,Northern Cape
1688 Okara Way,327,SHARON.ROBINSON@sakilacustomer.org,2006-02-14 22:04:36,SHARON,,144453869132,ROBINSON,2,20,24,21954,1,Nothwest Border Prov
262 A Coruña (La Coruña) Parkway,525,MICHELLE.CLARK@sakilacustomer.org,2006-02-14 22:04:36,MICHELLE,,892775750063,CLARK,1,21,25,34418,1,Dhaka
28 Charlotte Amalie Street,443,LAURA.RODRIGUEZ@sakilacustomer.org,2006-02-14 22:04:36,LAURA,,161968374323,RODRIGUEZ,1,22,26,37551,1,Rabat-Sal-Zammour-Z
1780 Hino Boulevard,303,SARAH.LEWIS@sakilacustomer.org,2006-02-14 22:04:36,SARAH,,902731229323,LEWIS,2,23,27,7716,1,Liepaja
96 Tafuna Way,128,KIMBERLY.LEE@sakilacustomer.org,2006-02-14 22:04:36,KIMBERLY,,934730187245,LEE,2,24,28,99865,1,Córdoba
934 San Felipe de Puerto Plata Street,472,DEBORAH.WALKER@sakilacustomer.org,2006-02-14 22:04:36,DEBORAH,,196495945706,WALKER,1,25,29,99780,1,Sind
18 Duisburg Boulevard,121,JESSICA.HALL@sakilacustomer.org,2006-02-14 22:04:36,JESSICA,,998009777982,HALL,2,26,30,58327,1,
