prospect_AgeID,prospect_AddrLi2,prospect_NumCreCar,prospect_LaNa,prospect_MaSta,prospect_AddrL1,prospect_Ag,prospect_NuCa,prospect_C,prospect_PoCo,prospect_Co,prospect_In,prospect_NuCh,prospect_CreRat,prospect_OwORF,prospect_Em,prospect_NeWor
Iok7501,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,,Iokwiqojocjanndatkdzgymym,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,7.0,3.0,Baltimore,Guudshirvcu,United States of America,94490.0,,580.0,U,FM Global,321776.0
tia7502,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,2.0,tiabxgseasiibxakctfzhfwotp,S,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,48.0,4.0,Kitchener,wyggjewbe,Canada,7037.0,4.0,683.0,R,MGIC Investment,2292324.0
AOI7503,Cdrxeolwrrxmwmhgexvcstvzz,2.0,AOIWIWTIHIXOJ,M,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,14.0,1.0,Saint John,YMZRQICUTHT,,419269.0,5.0,411.0,O,Ross Stores,969707.0
PJQ7504,WKSBVOFGJHQGAEKUYRZHHPH,9.0,PJQSPMBUHYQKBOZ,W,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,29.0,4.0,Berkeley,Bcjuycmcen,United States of America,76681.0,5.0,818.0,U,,3899461.0
SDV7505,skxijfqpzshmts,7.0,SDVLJWXENNGWCQMIW,U,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,69.0,2.0,Missoula,Nujxguyehf,United States of America,209116.0,4.0,370.0,R,Alliance One International,3749223.0
Hga7506,ZETOHHRKIBHCQCKZODIXJJSXCFY,6.0,Hgakmykzeunwkiaxayulpwyxrcuev,U,Ajpkrmtlcbdzr,47.0,0.0,Salinas,Neigswk,,212203.0,0.0,833.0,O,Sally Beauty Holdings,3658531.0
Beo7507,LJXAXKUJXQBGWBHJJAAM,2.0,Beotomyndkiqryllkvpavllytov,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,0.0,5.0,San Jose,WNCEOQPLW,Canada,42018.0,5.0,536.0,U,Wisconsin Energy,1738460.0
Qum7508,Jmlgjkjbqhrudrkqrm,0.0,Qumxrssnd,S,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,46.0,0.0,Cleveland,Cskdwtkf,United States of America,90446.0,0.0,775.0,R,Carpenter Technology,3307296.0
Hud7509,Qqcilgblxyikgr,3.0,Hudlpfwjagzbnznyhamjkhbf,M,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,6.0,1.0,Huntington,tcxswloetdt,United States of America,16274.0,1.0,765.0,R,Liberty Mutual Insurance Group,1816419.0
jba7510,Ahtohqjfzfarn,6.0,jbabemsfwdyeihxq,M,Ycltsquohmuugxihqyluhkoy,22.0,5.0,Paterson,Fkpemasoukih,Canada,22215.0,2.0,555.0,O,Black & Decker,2599250.0
dgc7511,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,3.0,dgcnbxfhc,M,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,72.0,5.0,Greensboro,NCEVKLQEEWTA,United States of America,210038.0,1.0,,O,Interstate Bakeries,490443.0
lql7512,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,9.0,lqlslgqsvyfxqnzuwbfg,M,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,40.0,4.0,Concord,DODDIDDHXS,Canada,307402.0,5.0,318.0,O,eBay,3348923.0
Wsk7513,ucxdpiwilpxxhv,4.0,Wskjvrujdwku,D,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,8.0,4.0,Colorado Springs,Oqnzttrldq,United States of America,,1.0,613.0,R,Boise,331799.0
Ffs7514,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0,Ffshsiomkzjonhxjhunfsao,U,,10.0,4.0,Mobile,Lwbawk,,432425.0,1.0,786.0,R,MDU Resources Group,1167013.0
Kvv7515,,10.0,Kvvverfkpazpzzkrqniixrhnw,U,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,24.0,0.0,Thousand Oaks,Ppsrzjdtg,United States of America,122041.0,3.0,,O,Freescale Semiconductor,3960216.0
mpz7516,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,5.0,mpzqnwnrmaozfsstcqtrc,M,,18.0,1.0,Rochester,,United States of America,302205.0,4.0,623.0,O,Superior Energy Services,242246.0
Jhc7517,Havgczldcpfmwfzj,1.0,Jhcbaxyzijphmmvpampdgvgisnab,S,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,79.0,1.0,Garden Grove,,United States of America,367555.0,1.0,845.0,O,Monsanto,1217660.0
dbq7518,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,7.0,dbqcukoddoiwg,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,36.0,4.0,Tampa,Rxdsunq,United States of America,106025.0,5.0,645.0,U,Newfield Exploration,1229655.0
Xch7519,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,1.0,Xchoxlbkffuvox,W,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,21.0,2.0,Fullerton,JXHVEEOU,Canada,106690.0,2.0,495.0,O,Loews,1157831.0
oir7520,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,8.0,oirfujtvl,M,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,4.0,2.0,Washington,XHJQCDPOO,Canada,29373.0,2.0,371.0,O,Apache,
Fqb7521,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,1.0,Fqbovz,S,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,72.0,2.0,Norfolk,rapkjpmvp,United States of America,168189.0,3.0,462.0,R,Robert Half International,
qex7522,Rirmrpvlknyho,7.0,qextfjyytqwbmdrlykbfnhvqrmota,S,Dmyivtczopuqajpnjqvvgbhxynvduub,1.0,,Sydney,Slskxm,United States of America,264756.0,,375.0,U,Viacom,3467922.0
Hpi7523,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,10.0,Hpiedhvkedqqdxsoedt,S,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,98.0,1.0,Winnipeg,FXHXLG,Canada,44480.0,2.0,516.0,U,Robert Half International,46859.0
Fjd7524,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,Fjdafgbcrml,,Esuycdxsjfbrqbtluspxsehk,35.0,1.0,Wilmington,ovlziicdezok,Canada,87207.0,5.0,703.0,R,CSX,2937668.0
