prospect_AgencyID,prospect_Income,prospect_City,prospect_OwnOrRentFlag,prospect_FirstName,prospect_LastName,prospect_NumberCars,prospect_NumberChildren,prospect_MaritalStatus,prospect_Age,prospect_CreditRating,prospect_Employer,prospect_NumberCreditCards,prospect_NetWorth
Iok7501,94490.0,Baltimore,U,wbwsqgtaa,Iokwiqojocjanndatkdzgymym,3.0,,U,7.0,580.0,FM Global,,321776.0
tia7502,7037.0,Kitchener,R,QGJWCPAPZMWHYHZTNOYSSOQBI,tiabxgseasiibxakctfzhfwotp,4.0,4.0,S,48.0,683.0,MGIC Investment,2.0,2292324.0
AOI7503,419269.0,Saint John,O,BHGXDDPUMBESLQMNEPREPTZNNKM,AOIWIWTIHIXOJ,1.0,5.0,M,14.0,411.0,Ross Stores,2.0,969707.0
PJQ7504,76681.0,Berkeley,U,Xgnvppcxgfnmawlupgfa,PJQSPMBUHYQKBOZ,4.0,5.0,W,29.0,818.0,,9.0,3899461.0
SDV7505,209116.0,Missoula,R,Tfiozpstcftslqtwkgngiiwo,SDVLJWXENNGWCQMIW,2.0,4.0,U,69.0,370.0,Alliance One International,7.0,3749223.0
Hga7506,212203.0,Salinas,O,fbcahlrhhjoslfzqvvwwvhk,Hgakmykzeunwkiaxayulpwyxrcuev,0.0,0.0,U,47.0,833.0,Sally Beauty Holdings,6.0,3658531.0
Beo7507,42018.0,San Jose,U,Dcgkohfcwyoaxckalqnkrzwq,Beotomyndkiqryllkvpavllytov,5.0,5.0,M,0.0,536.0,Wisconsin Energy,2.0,1738460.0
Qum7508,90446.0,Cleveland,R,Vmnmcsinflxxmmifydckncc,Qumxrssnd,0.0,0.0,S,46.0,775.0,Carpenter Technology,0.0,3307296.0
Hud7509,16274.0,Huntington,R,Vrkbkkxkddtximspigmlbwzt,Hudlpfwjagzbnznyhamjkhbf,1.0,1.0,M,6.0,765.0,Liberty Mutual Insurance Group,3.0,1816419.0
jba7510,22215.0,Paterson,O,RMWCTFTLSVTMCBI,jbabemsfwdyeihxq,5.0,2.0,M,22.0,555.0,Black & Decker,6.0,2599250.0
dgc7511,210038.0,Greensboro,O,Zaijioc,dgcnbxfhc,5.0,1.0,M,72.0,,Interstate Bakeries,3.0,490443.0
lql7512,307402.0,Concord,O,Mdwdjpdfmbqjaygkfqzqx,lqlslgqsvyfxqnzuwbfg,4.0,5.0,M,40.0,318.0,eBay,9.0,3348923.0
Wsk7513,,Colorado Springs,R,Ccbccgvldfvoqtzestvkwunn,Wskjvrujdwku,4.0,1.0,D,8.0,613.0,Boise,4.0,331799.0
Ffs7514,432425.0,Mobile,R,nyakrhdyxravdnhgbtol,Ffshsiomkzjonhxjhunfsao,4.0,1.0,U,10.0,786.0,MDU Resources Group,4.0,1167013.0
Kvv7515,122041.0,Thousand Oaks,O,NDNBTVCLKSC,Kvvverfkpazpzzkrqniixrhnw,0.0,3.0,U,24.0,,Freescale Semiconductor,10.0,3960216.0
mpz7516,302205.0,Rochester,O,Zmstbluqkipzaojfsomtbdddguq,mpzqnwnrmaozfsstcqtrc,1.0,4.0,M,18.0,623.0,Superior Energy Services,5.0,242246.0
Jhc7517,367555.0,Garden Grove,O,dpqgvuaoijmkxsesvililpxcrwqe,Jhcbaxyzijphmmvpampdgvgisnab,1.0,1.0,S,79.0,845.0,Monsanto,1.0,1217660.0
dbq7518,106025.0,Tampa,U,IHUGYGSRDWILVOFBAKUR,dbqcukoddoiwg,4.0,5.0,M,36.0,645.0,Newfield Exploration,7.0,1229655.0
Xch7519,106690.0,Fullerton,O,aefotdcronamhkzsfpvifmobgchmsp,Xchoxlbkffuvox,2.0,2.0,W,21.0,495.0,Loews,1.0,1157831.0
oir7520,29373.0,Washington,O,jdeyqkerjerjpht,oirfujtvl,2.0,2.0,M,4.0,371.0,Apache,8.0,
Fqb7521,168189.0,Norfolk,R,Lwihnxoihqqrvjydsijd,Fqbovz,2.0,3.0,S,72.0,462.0,Robert Half International,1.0,
qex7522,264756.0,Sydney,U,nmnervucuk,qextfjyytqwbmdrlykbfnhvqrmota,,,S,1.0,375.0,Viacom,7.0,3467922.0
Hpi7523,44480.0,Winnipeg,U,hgjkxxbf,Hpiedhvkedqqdxsoedt,1.0,2.0,S,98.0,516.0,Robert Half International,10.0,46859.0
Fjd7524,87207.0,Wilmington,R,Zangtryzlhmxo,Fjdafgbcrml,1.0,5.0,,35.0,703.0,CSX,,2937668.0
Cgt7525,238434.0,El Monte,O,FFJGEQD,Cgtcmbl,4.0,2.0,W,99.0,734.0,Country Financial Services,7.0,2388613.0
Lwx7526,,Sterling Heights,U,Pdcxrihnl,Lwxudfgcqawccntqaucdaeym,0.0,2.0,M,49.0,469.0,Procter & Gamble,4.0,3116283.0
epy7527,391354.0,Pembroke Pines,O,Zckhcacwaelzutaodqalxyjrkh,epyxtfsrijhddstgaxkbgmlayjtk,3.0,0.0,S,72.0,595.0,Ingles Markets,2.0,2671950.0
Aff7528,419165.0,Philadelphia,O,sqrosgqnpifxjx,Affcha,3.0,0.0,U,41.0,410.0,Forest Laboratories,1.0,3899593.0
mfc7529,396509.0,Glendale,O,Erqzkkllazeobgthnmgsbtj,mfcestd,3.0,2.0,W,54.0,475.0,Dentsply International,10.0,2537332.0
Slf7530,145161.0,El Monte,R,Lcziayaozecoqqluasolkmmcldm,Slfbmvc,0.0,2.0,,11.0,,RadioShack,2.0,733236.0
Cxu7531,263206.0,Warwick,O,Gcnczmuxviqaxtsdzmzhtro,Cxuousxqyrfgjvpvuopyfguqva,2.0,5.0,W,0.0,519.0,Century Aluminum,3.0,
GZO7532,190371.0,Milwaukee,U,Rsoobsqytvjycob,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,3.0,3.0,D,27.0,841.0,,5.0,3397276.0
DRW7533,203968.0,Phoenix,O,Pjvadgt,DRWTVTDSG,3.0,1.0,U,95.0,540.0,FPL Group,6.0,2444257.0
set7534,428323.0,Anchorage,R,GUBKOKITTSKVYM,setksinlvlrjwnfu,1.0,3.0,U,35.0,540.0,Lockheed Martin,10.0,71520.0
Pyo7535,159980.0,Madison,O,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Pyoixliri,4.0,1.0,M,96.0,,Sanmina-SCI,6.0,1911091.0
FSH7536,266852.0,Fontana,O,Kuteauo,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,0.0,0.0,W,96.0,424.0,Iron Mountain,6.0,988775.0
Tdx7537,206973.0,Charlotte,R,Hkfofpndygljbeo,Tdxyljuxporjhdumcvfmv,5.0,5.0,M,49.0,623.0,OfficeMax,2.0,3919363.0
Sbn7538,258221.0,Richmond,O,Kengxgsu,Sbnxcsrozzcufdoyvckpplofysx,5.0,1.0,S,,792.0,AMR,4.0,428918.0
Piq7539,428508.0,Santa Clarita,O,Plywuoa,Piqizouhxiw,4.0,4.0,S,27.0,718.0,Kohl's,6.0,58134.0
IXD7540,,Yellow Knife,O,zfcwsxpjzyqelkxg,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,4.0,0.0,M,98.0,401.0,Cigna,6.0,3703767.0
wsn7541,58953.0,Oxnard,R,Yxvczhqjwgnhowiu,wsnjomkxbtybfnmtcjhvmblfwamnwd,4.0,5.0,M,,557.0,West,2.0,433859.0
Jkp7542,409682.0,Huntington Beach,O,Grkknjyfgbhtyrhxzeaoeoyirwfa,Jkpmtcj,5.0,5.0,W,56.0,393.0,Monsanto,7.0,3002044.0
CCF7543,340191.0,Durham,,Vfrdst,CCFFVCOHCLUUXZIQTCFCUHEYN,2.0,4.0,M,94.0,557.0,Reliant Energy,10.0,1124168.0
ylj7544,238216.0,Naperville,O,Hqcswumjvwbemosmy,yljvuglvt,4.0,5.0,U,98.0,465.0,Idearc,5.0,2081541.0
ZBB7545,113171.0,Albuquerque,O,Ectbhkmbvwkwdbn,ZBBXAWVJAAL,0.0,1.0,M,8.0,,Neiman Marcus,6.0,1897076.0
fqe7546,234797.0,Newark,,Bdbgqpllbnrmiirpct,fqekemquvstw,5.0,,W,90.0,485.0,O'Reilly Automotive,10.0,235172.0
Wpw7547,225322.0,Miami,,Ftszluaxcsoxdfbmdd,Wpwhilrlzng,4.0,2.0,M,34.0,303.0,Cliffs Natural Resources,2.0,639573.0
vpz7548,192689.0,London,O,Qrdnpjquwnixfocqhsrlkcxmelwijl,vpzxgcwljllsq,1.0,2.0,W,25.0,846.0,Health Management Associates,4.0,2667082.0
Yfz7549,348685.0,Worcester,O,Kkiolpmrgzmnjanqc,Yfzmtcvxc,5.0,4.0,,50.0,621.0,Chevron,1.0,2598634.0
dou7550,401229.0,Jacksonville,O,unzegilpp,douvwdwiwrxoivzaojazinrhswjv,3.0,4.0,D,85.0,331.0,Exide Technologies,,1074671.0
FDJ7551,38597.0,Nashua,R,xetqkitwlh,FDJOVRSOCWEIKZ,5.0,4.0,M,60.0,401.0,Convergys,9.0,2272997.0
ufu7552,,Newport News,R,TWRRGULRYKYUWZYBQQFMIFFKVK,ufutrfkevxnbupjcetrpltw,2.0,2.0,S,95.0,644.0,Dominion Resources,0.0,702000.0
bbg7553,161204.0,Corona,R,Yqfljvgkfucafpjpamdtcppiipc,bbgzmquoeecumw,4.0,1.0,M,8.0,769.0,Sentry Insurance Group,5.0,1289800.0
Znk7554,202650.0,Lincoln,O,mjeasoritwctufyojamzbeeoo,Znkkdbkvxcxeuackyodqlkpl,3.0,4.0,M,31.0,481.0,Cintas,2.0,1007390.0
CGQ7555,,Toronto,O,Udxaujgiratgthwkvdibgvwfo,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,1.0,2.0,U,51.0,732.0,Medtronic,7.0,124290.0
add7556,492433.0,Fayetteville,O,GHFUKZPOKMXWZF,addxtssyhezwro,4.0,4.0,M,24.0,802.0,Pride International,2.0,1820002.0
Anw7557,344858.0,Charlotte,O,ybtkiifyhbgchnuctnhnqspk,Anwyusqezrjppzkaevffwljm,2.0,4.0,M,78.0,329.0,A. Schulman,5.0,2200347.0
Hvt7558,197290.0,Tulsa,R,Fhkymmgjsbmpduuffgavhfcxm,Hvtanebvipbdd,5.0,0.0,W,56.0,839.0,Oneok,0.0,3669569.0
Yqj7559,283654.0,Winston-Salem,,DEZDTMSMWKALBRPALCFIME,Yqjaammjlhgpw,2.0,,U,50.0,539.0,Danaher,,2140537.0
Ztn7560,317423.0,Thousand Oaks,R,phoxfeiqoldgmnojmzunmargkla,Ztnstwpjxatqveppicohpzilnn,4.0,5.0,M,52.0,561.0,Del Monte Foods,4.0,3258909.0
bni7561,399126.0,Lubbock,O,Upuabfflh,bnizllrrofn,4.0,5.0,W,14.0,814.0,American Electric Power,2.0,1825422.0
swx7562,398180.0,Winnipeg,R,owagfolbfwjzeg,swxorhmdydwbrtdqxroghsddlpbdgi,5.0,0.0,M,29.0,305.0,TJX,7.0,1845263.0
DSA7563,,Laredo,O,Qdmppehqxloc,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,2.0,4.0,S,50.0,457.0,Philip Morris International,4.0,1463114.0
BXZ7564,485429.0,Overland Park,O,jqbetxkci,BXZUTWBUFSGPPXKR,4.0,1.0,U,67.0,349.0,Cincinnati Financial,8.0,2354683.0
pcz7565,118018.0,Calgary,O,Wsmywgbvwspgdwhmdxsqjwqb,pczqycbwefse,2.0,0.0,M,22.0,590.0,Stryker,0.0,436677.0
Zqa7566,309693.0,Peoria,O,ocgwi,Zqaknviqngvemehvpzrcgkcvre,5.0,4.0,U,20.0,533.0,Kansas City Southern,0.0,2383335.0
Htl7567,90718.0,Durham,O,Pcotdnngmurhkcd,Htltlfnvjctvvdvulpkhcbyfi,4.0,0.0,W,75.0,686.0,IDT,9.0,2574739.0
afw7568,280645.0,Pueblo,O,bvcosqzcleknjzvkygbawlc,afwafvxxdr,2.0,0.0,U,60.0,582.0,Vornado Realty Trust,10.0,1596838.0
Wna7569,231559.0,Las Cruces,O,ECLENELTSXGTNWOP,Wnakgzhqfhtavtvegjtdmdosnjr,,4.0,S,,807.0,Dollar General,0.0,591965.0
